TIC_ID,Prot,eProt,Flare_star,Variability_Classification,
38846515,nan,nan,no,Noisy_LCs,
39699648,nan,nan,no,Noisy_LCs,
41227743,nan,nan,no,Noisy_LCs,
42015200,10.941,1.387,yes,Unambiguous_Rotation,
42054565,nan,nan,no,Noisy_LCs,
42755801,3.841,0.304,no,Unambiguous_Rotation,
42821097,nan,nan,no,Noisy_LCs,
43064903,nan,nan,no,Noisy_LCs,
43647325,nan,nan,no,Noisy_LCs,
44631965,nan,nan,no,Ambiguous_Variability,
44647437,nan,nan,no,Noisy_LCs,
44737596,nan,nan,no,Noisy_LCs,
44745077,nan,nan,no,Noisy_LCs,
44797824,1.414,0.022,no,Unambiguous_Rotation,
46096489,nan,nan,no,Noisy_LCs,
46307587,4.000,0.12,no,unambiguous rotation,
46631742,4.500,0.164,no,Unambiguous Rotation,
47094691,5.170,0.35,no,Unambiguous Rotation,
47316976,nan,nan,no,Noisy_LCs,
47384844,3.610,0.31,yes,Unambiguous_Rotation,
47484268,nan,nan,no,Noisy_LCs,
47525799,nan,nan,no,Noisy_LCs,
47911178,nan,nan,no,Ambiguous_Variability,
48103627,nan,nan,no,Noisy_LCs,
48476907,nan,nan,no,Ambiguous_Variability,
48476908,nan,nan,no,Ambiguous_Variability,
49687222,nan,nan,no,Noisy_LCs,
49771092,nan,nan,no,Noisy_LCs,
49899799,nan,nan,no,Ambiguous_Variability,
50309953,nan,nan,no,Noisy_LCs,
50312495,nan,nan,no,Noisy_LCs,
50618703,nan,nan,no,Ambiguous_Variability,
51024887,nan,nan,no,Noisy_LCs,
51234631,nan,nan,no,Noisy_LCs,
51912829,nan,nan,no,Noisy_LCs,
52204645,nan,nan,no,Noisy_LCs,
52280468,nan,nan,no,Noisy_LCs,
52368076,nan,nan,no,Noisy_LCs,
52640302,nan,nan,no,Noisy_LCs,
53189332,nan,nan,no,Noisy_LCs,
53593457,nan,nan,no,Noisy_LCs,
53735810,nan,nan,no,Noisy_LCs,
54085154,nan,nan,no,Noisy_LCs,
54962195,nan,nan,no,Noisy_LCs,
55092869,nan,nan,no,Noisy_LCs,
55266835,3.420,0.13,yes,unambiguous rotation,
55383975,nan,nan,no,Noisy_LCs,
55452495,nan,nan,no,Noisy_LCs,
55488511,nan,nan,no,Noisy_LCs,
55525572,nan,nan,no,Noisy_LCs,
55559618,nan,nan,no,Noisy_LCs,
55650590,nan,nan,no,Noisy_LCs,
55652896,nan,nan,no,Noisy_LCs,
56399553,5.250,0.317,no,Unambiguous Rotation,
58472992,6.400,0.467,yes,Unambiguous Rotation,
58542531,nan,nan,no,Ambiguous_Variability,
59003115,nan,nan,no,Noisy_LCs,
59843967,nan,nan,no,Noisy_LCs,
61109252,7.490,0.41,no,Unambiguous Rotation,
61538902,nan,nan,no,Noisy_LCs,
61988212,nan,nan,no,Noisy_LCs,
62483237,6.83/11.09,nan,no,Dubious_Rotation,
63898957,nan,nan,no,Noisy_LCs,
64071894,nan,nan,no,Ambiguous_Variability,
66818296,nan,nan,no,Noisy_LCs,
67418624,nan,nan,no,Noisy_LCs,
67646988,1.105,0.027,yes,Unambiguous_Rotation,
67666096,nan,nan,no,Ambiguous_Variability,
69679391,nan,nan,no,Noisy_LCs,
69747919,nan,nan,no,Noisy_LCs,
70440470,nan,nan,no,Noisy_LCs,
70513361,nan,nan,no,Noisy_LCs,
70797900,2.037,0.086,yes,Unambiguous_Rotation,
70899085,nan,nan,no,Noisy_LCs,
70914192,nan,nan,no,Noisy_LCs,
71268730,1.900,0.036,yes,Unambiguous Rotation,
71396541,4.790,0.512,no,unambiguous rotation,
71431780,nan,nan,no,Noisy_LCs,
71512186,nan,nan,no,Noisy_LCs,
72985822,nan,nan,no,Noisy_LCs,
73228647,nan,nan,no,Noisy_LCs,
73649615,nan,nan,no,Noisy_LCs,
73717937,nan,nan,no,Noisy_LCs,
73723286,nan,nan,no,Ambiguous_Variability,
74534430,nan,nan,no,Noisy_LCs,
76923707,nan,nan,no,Ambiguous_Variability,
76989773,nan,nan,no,Ambiguous_Variability,
77031414,7.765,1.37,no,Unambiguous_Rotation,
77044471,11.280,nan,no,Dubious_Rotation,
77156829,nan,nan,no,Noisy_LCs,
77228304,nan,nan,no,Noisy_LCs,
77253676,nan,nan,no,Noisy_LCs,
77951245,5.388,0.338,yes,Unambiguous_Rotation,
78055054,nan,nan,no,Noisy_LCs,
78154865,4.634,0.596,no,Unambiguous_Rotation,
79748331,nan,nan,no,Ambiguous_Variability,
81212286,nan,nan,no,Noisy_LCs,
82128636,3.329,0.142,no,Unambiguous_Rotation,
82362447,nan,nan,no,Noisy_LCs,
82707763,4.447,0.506,no,Unambiguous_Rotation,
83092282,nan,nan,no,Noisy_LCs,
85031598,nan,nan,no,Noisy_LCs,
85242435,nan,nan,no,Ambiguous_Variability,
85293053,nan,nan,no,Ambiguous_Variability,
86273567,5.430,0.644,no,Unambiguous Rotation,
86396382,nan,nan,no,Noisy_LCs,
86951294,6.740,1.042,no,Unambiguous Rotation,
88977253,nan,nan,no,Noisy_LCs,
89020549,nan,nan,no,Noisy_LCs,
89256802,nan,nan,yes,Ambiguous_Variability,
90504905,nan,nan,no,Noisy_LCs,
91481801,1.300,0.014,no,Unambiguous Rotation,
92013169,2.374,0.117,no,Unambiguous_Rotation,
92226327,nan,nan,no,Noisy_LCs,
92352620,nan,nan,no,Noisy_LCs,
92359850,3.042,0.231,no,Unambiguous_Rotation,
93125144,1.427,0.051,yes,Unambiguous_Rotation,
94986319,nan,nan,no,Noisy_LCs,
96097215,nan,nan,no,Ambiguous_Variability,
97158538,2.510,0.066,no,Unambiguous_Rotation,
97409519,nan,nan,no,Noisy_LCs,
98796344,1.393,0.046,yes,Unambiguous_Rotation,
99834717,nan,nan,no,Noisy_LCs,
100097716,3.040,0.108,no,Unambiguous_Rotation,
100100827,nan,nan,no,Binary,
100608026,nan,nan,no,Noisy_LCs,
100757807,3.081,0.099,no,Unambiguous_Rotation,
100990000,nan,nan,no,Noisy_LCs,
101011575,7.170,nan,no,Dubious_Rotation,
101230735,nan,nan,no,Ambiguous_Variability,
101395259,nan,nan,no,Noisy_LCs,
101497191,nan,nan,no,Noisy_LCs,
101948569,8.810,nan,no,Dubious_Rotation,
101955023,nan,nan,no,Noisy_LCs,
102195674,4.908,0.574,no,Unambiguous_Rotation,
102283403,2.430,0.122,no,Unambiguous_Rotation,
102672709,nan,nan,no,Noisy_LCs,
103448870,3.103,0.219,no,Unambiguous_Rotation,
103633434,nan,nan,no,Noisy_LCs,
104024556,1.073,0.029,no,Unambiguous_Rotation,
105840719,5.579,0.65,no,Unambiguous_Rotation,
106402532,nan,nan,no,Noisy_LCs,
108645766,nan,nan,no,Noisy_LCs,
108835813,2.063,0.092,no,Unambiguous_Rotation,
110428269,nan,nan,no,Noisy_LCs,
111991770,nan,nan,no,Noisy_LCs,
112395568,10.780,nan,no,Dubious_Rotation,
115242351,5.677,0.784,no,Unambiguous_Rotation,
115457180,2.720,0.055,no,unambiguous rotation,
115623434,7.715,0.408,no,Unambiguous_Rotation,
115771549,nan,nan,no,Noisy_LCs,
116257066,3.140,0.073,no,unambiguous rotation,
116483514,nan,nan,no,Noisy_LCs,
116483734,nan,nan,no,Noisy_LCs,
116608612,1.670,0.021,no,unambiguous rotation,
117979455,nan,nan,no,Noisy_LCs,
117979694,8.521,1.513,no,Unambiguous_Rotation,
117979850,nan,nan,no,Noisy_LCs,
117979897,nan,nan,no,Noisy_LCs,
118327550,nan,nan,no,Noisy_LCs,
119081096,nan,nan,no,Noisy_LCs,
119292328,nan,nan,no,Noisy_LCs,
119700084,nan,nan,no,Noisy_LCs,
120247528,nan,nan,no,Noisy_LCs,
120585579,nan,nan,no,Noisy_LCs,
120602501,nan,nan,no,Noisy_LCs,
120610833,nan,nan,no,Noisy_LCs,
120757718,nan,nan,no,Noisy_LCs,
120896927,nan,nan,no,Noisy_LCs,
120916706,nan,nan,no,Noisy_LCs,
120960812,nan,nan,no,Noisy_LCs,
121338379,nan,nan,no,Noisy_LCs,
121966220,nan,nan,no,Noisy_LCs,
122220263,nan,nan,no,Noisy_LCs,
122612091,nan,nan,no,Ambiguous_Variability,
122613513,nan,nan,no,Noisy_LCs,
123482865,4.330,0.24,no,Unambiguous_Rotation,
123702439,nan,nan,no,Noisy_LCs,
124573851,nan,nan,no,Noisy_LCs,
125405602,nan,nan,no,Noisy_LCs,
125442121,nan,nan,no,Ambiguous_Variability,
125735470,5.740,0.758,no,unambiguous rotation,
126733133,nan,nan,no,Noisy_LCs,
127530399,nan,nan,no,Noisy_LCs,
128449971,2.281,0.107,no,Unambiguous_Rotation,
128790976,1.361,0.04,no,Unambiguous_Rotation,
129979528,nan,nan,no,Pulsation,
130181866,6.508,0.921,no,Unambiguous_Rotation,
130924120,nan,nan,no,Noisy_LCs,
131081852,7.140,nan,no,Dubious_Rotation,
131419878,nan,nan,no,Noisy_LCs,
133334108,4.906,0.301,no,Unambiguous_Rotation,
134200185,nan,nan,no,Noisy_LCs,
134404603,4.706,0.469,yes,Unambiguous_Rotation,
134537478,nan,nan,no,Noisy_LCs,
137881699,nan,nan,no,Noisy_LCs,
137906197,nan,nan,no,Noisy_LCs,
138017750,2.623,0.181,no,Unambiguous_Rotation,
138168780,nan,nan,no,Noisy_LCs,
138588540,9.236,0.87,no,Unambiguous_Rotation,
138968089,nan,nan,no,Noisy_LCs,
139528693,nan,nan,no,Noisy_LCs,
139733308,nan,nan,no,Noisy_LCs,
140068425,1.064,0.024,no,Unambiguous_Rotation,
140691463,nan,nan,no,Noisy_LCs,
140760434,nan,nan,no,Noisy_LCs,
