Planet,Flag,l_Mp,Mp,E_Mp,e_Mp,f_Mp,Rp,E_Rp,e_Rp,f_Rp,Per,a,e,S,R1,R2,R3,R4,CHZ,OHZ,TSM,K,Mstar,Rstar,Teff,logg,Lstar,Jmag,Vmag
HD 100777 b,,,327.36,12.71,-12.71,,13.68,,,1,383.7,1.03,0.36,1171.1,0.726,0.92,1.634,1.723,71,87,,34.9,0.83,1.04,5533,4.32,0.91,7.152,8.42
HD 10180 g,,,23.27,4.39,-4.39,,5.19,,,1,604.67,1.427,0.263,905.3,0.865,1.096,1.926,2.031,89,100,112.3,1.8,1.06,1.11,5911,4.39,1.35,6.246,7.33
HD 102365 b,,,15.89,2.6,-2.6,,3.95,,,1,122.1,0.46,0.34,3644.8,0.569,0.721,1.276,1.346,0,33,652.4,2.4,0.85,0.79,5630,4.57,0.565,3.931,4.89
HD 103891 b,,,457.68,19.07,-15.89,,13.44,,,1,1919.0,3.27,0.31,779.9,1.822,2.308,4.041,4.263,64,91,,21.0,1.28,2.22,6072,3.79,6.109,5.556,6.595
HD 10442 b,,,472.61,24.16,-24.16,,13.46,,,1,1032.3,2.01,0.132,685.4,1.12,1.419,2.577,2.718,100,100,,29.9,1.01,1.97,4912,3.19,2.028,6.158,7.828
HD 106252 b,,,2202.56,85.81,-85.81,,12.47,,,1,1531.0,2.61,0.48,259.2,0.849,1.075,1.891,1.994,18,20,,137.8,1.01,1.1,5874,4.36,1.293,6.302,7.41
HD 106270 b,,,3219.62,85.81,-85.81,,12.3,,,1,1888.0,3.34,0.185,716.0,1.844,2.336,4.152,4.379,100,100,,135.5,1.39,2.66,5509,3.72,5.851,6.249,7.58
HD 10647 b,,,298.76,25.43,-25.43,,13.82,,,1,989.2,2.015,0.15,473.8,0.867,1.099,1.918,2.023,35,46,,18.1,1.11,1.1,6218,4.62,1.409,4.791,5.52
HD 106515 A b,,,3054.35,44.49,-44.49,,12.38,,,1,3630.0,4.59,0.572,79.7,0.853,1.08,1.929,2.034,0,3,,157.1,0.97,1.62,5362,4.41,1.23,6.585,7.971
HD 10697 b,,,2028.71,24.79,-24.79,,12.56,,,1,1075.69,2.14,0.1043,843.3,1.276,1.616,2.864,3.021,100,100,,116.9,1.13,1.79,5600,3.96,2.829,5.386,6.283
HD 108341 b,,,1112.41,1080.6,-381.4,,12.89,,,1,1129.0,2.0,0.85,131.6,0.484,0.612,1.103,1.164,5,7,,145.3,0.84,0.79,5122,4.45,0.386,7.863,9.38
HD 108874 b,,,451.32,28.6,-28.6,,13.53,,,1,394.48,1.04,0.13,1228.6,0.748,0.948,1.68,1.772,77,100,,37.2,1.1,1.05,5600,4.44,0.973,7.479,8.76
HD 109286 b,,,950.31,47.67,-47.67,,13.11,,,1,520.1,1.259,0.338,965.6,0.799,1.012,1.788,1.886,79,100,,81.2,0.98,1.09,5694,4.44,1.121,7.588,8.78
HD 111998 b,,,1433.41,158.92,-158.92,,12.84,,,1,825.9,1.82,0.03,1438.0,1.338,1.694,2.942,3.103,100,100,,87.3,1.18,1.45,6557,4.19,3.489,5.3,6.11
HD 114613 b,,,113.47,10.17,-10.17,,12.99,,,1,4000.0,5.34,0.458,199.3,1.544,1.955,3.462,3.651,12,15,,4.4,1.27,2.14,5641,3.87,4.163,3.692,4.85
HD 114729 b,,,262.21,2.22,-2.22,,13.83,,,1,1121.79,2.067,0.079,723.0,1.124,1.424,2.507,2.645,100,100,,16.9,0.94,1.47,5844,4.05,2.263,5.559,6.68
HD 11506 b,,,1535.12,165.27,-165.27,,12.74,,,1,1622.1,2.9,0.3743,347.0,1.081,1.369,2.399,2.53,24,27,,77.9,1.24,1.34,6030,,2.138,6.508,7.51
HD 11964 b,,,197.69,18.0,-18.0,,13.89,,,1,1945.0,3.16,0.041,393.3,1.308,1.657,2.965,3.128,0,41,,10.8,0.91,2.01,5303,3.79,2.877,5.023,6.415
HD 120084 b,,,1430.24,,,,12.81,,,1,2082.0,4.3,0.66,3222.6,5.201,6.588,11.974,12.63,33,60,,53.3,2.39,9.12,4892,2.71,43.652,4.091,5.907
HD 124330 b,,,238.37,19.07,-19.07,,13.94,,,1,270.66,0.86,0.34,3571.8,1.038,1.315,2.313,2.44,0,38,,22.8,1.15,1.35,5873,4.24,1.935,6.712,7.88
HD 125390 b,,,7043.11,305.12,-305.12,,12.02,,,1,1756.2,3.16,0.591,2842.8,3.597,4.556,8.295,8.749,36,61,,373.1,1.36,6.47,4850,3.13,20.796,6.421,8.21
HD 125612 b,,,985.27,127.13,-127.13,,13.1,,,1,557.04,1.372,0.4553,832.6,0.801,1.015,1.786,1.884,44,65,,80.1,1.11,1.05,5841,,1.148,7.179,8.31
HD 12661 b,,,772.33,44.5,-44.5,,13.1,,,1,262.71,0.84,0.38,2539.8,0.867,1.098,1.943,2.05,27,59,,73.7,1.2,1.2,5645,4.36,1.313,6.182,7.43
HD 126614 b,,,130.31,19.07,-19.07,,13.45,,,1,1244.0,2.37,0.41,365.4,0.932,1.18,2.094,2.208,28,32,,7.3,1.26,1.32,5568,4.3,1.504,7.47,8.81
HD 128356 b,,,282.87,22.25,-22.25,,13.61,,,1,298.2,0.87,0.57,648.8,0.473,0.599,1.089,1.148,32,45,,43.9,0.65,0.85,4875,4.52,0.36,,8.241
HD 131664 b,,,6076.91,540.31,-540.31,,11.86,,,1,1951.0,3.17,0.64,171.4,0.837,1.061,1.865,1.967,12,13,,356.8,1.19,1.08,5892,4.45,1.262,6.973,8.13
HD 13167 b,,,1052.02,50.85,-50.85,,13.03,,,1,2613.0,4.1,0.563,430.7,1.739,2.203,3.897,4.11,20,32,,48.3,1.35,2.39,5671,3.72,5.304,7.081,8.34
HD 132406 b,,,1709.93,416.36,-416.36,,12.74,,,1,974.0,1.98,0.34,627.8,1.007,1.276,2.25,2.373,53,61,,114.6,1.03,1.34,5783,4.2,1.803,7.25,8.45
HD 132563 b,,,473.57,28.6,-28.6,,13.44,,,1,1544.0,2.62,0.22,470.5,1.119,1.417,2.471,2.607,35,42,,23.4,1.23,1.3,6289,4.3,2.366,8.003,8.928
HD 133131 A b,,,451.32,12.71,-12.71,,13.46,,,1,649.0,1.44,0.33,708.2,0.777,0.985,1.736,1.831,57,75,,36.5,0.95,1.03,5799,4.39,1.076,7.256,7.66
HD 134987 b,,,511.71,22.25,-22.25,,13.38,,,1,258.18,0.81,0.23,3009.7,0.905,1.146,2.024,2.134,0,39,,49.5,1.1,1.22,5736,4.31,1.447,5.268,6.47
HD 137388 b,,,63.57,6.36,-6.36,,9.45,,,1,330.0,0.89,0.36,863.3,0.549,0.696,1.251,1.319,80,100,248.0,8.2,0.68,0.88,5181,4.39,0.501,7.23,8.71
HD 137496 c,,,2434.58,34.96,-34.96,,12.45,,,1,479.9,1.2163,0.477,2368.5,1.201,1.521,2.681,2.828,45,66,,219.4,1.04,1.59,5799,4.05,2.567,8.646,9.899
HD 13908 c,,,1630.47,79.45,-79.45,,12.88,,,1,931.0,2.03,0.12,1324.8,1.458,1.847,3.222,3.398,80,100,,90.5,1.29,1.67,6255,4.11,3.999,6.497,7.52
HD 141399 d,,,375.04,25.43,-25.43,,13.61,,,1,1069.8,2.09,0.074,424.2,0.884,1.119,1.984,2.092,24,48,,22.5,1.07,1.24,5600,4.28,1.357,5.89,7.209
HD 141937 b,,,3079.77,127.13,-127.13,,12.49,,,1,653.22,1.5,0.41,686.1,0.794,1.005,1.769,1.865,40,60,,233.6,1.09,1.03,5870,4.45,1.131,6.127,7.25
HD 142022 A b,,,1411.17,1007.52,-1007.52,,12.67,,,1,1928.0,2.93,0.53,133.3,0.702,0.889,1.584,1.671,8,10,,91.4,0.9,1.04,5421,4.35,0.839,6.384,7.7
HD 142245 b,,,975.74,133.49,-133.49,,12.83,,,1,1299.0,2.78,0.0,1995.2,2.642,3.347,6.076,6.408,0,100,,24.8,3.5,4.63,4922,3.65,11.296,5.689,7.46
HD 142415 b,,,530.78,38.14,-38.14,,13.25,,,1,386.3,1.06,0.5,1468.7,0.817,1.035,1.818,1.917,68,80,,51.4,1.07,1.04,5940,4.44,1.209,6.235,7.33
HD 147379 b,,,28.55,1.49,-1.45,,5.78,,,1,86.78,0.323,0.07,1398.7,0.264,0.335,0.629,0.664,35,100,,5.8,0.6,0.0,4156,,0.107,5.779,8.61
HD 147513 b,,,384.57,,,,13.54,,,1,528.4,1.32,0.26,765.6,0.737,0.934,1.642,1.732,86,100,,29.4,1.11,0.97,5883,4.51,0.977,4.405,5.37
HD 148156 b,,,270.16,212.94,-15.89,,13.73,,,1,1027.0,2.45,0.52,404.4,0.969,1.227,2.139,2.256,22,28,,17.5,1.22,1.21,6308,4.56,1.778,6.688,7.69
HD 148164 b,,,390.93,79.46,-79.46,,13.69,,,1,328.55,0.993,0.587,2959.7,1.081,1.369,2.399,2.53,42,64,,39.4,1.21,1.34,6032,,2.138,7.229,8.23
HD 152079 b,,,845.75,14.62,-14.62,,13.12,,,1,2918.92,4.187,0.532,108.7,0.88,1.114,1.959,2.066,0,4,,40.7,1.15,1.13,5907,4.37,1.396,7.984,9.18
HD 153950 b,,,937.6,92.17,-92.17,,13.06,,,1,499.4,1.28,0.34,1723.8,1.057,1.339,2.342,2.47,57,77,,69.1,1.25,1.28,6124,4.32,2.069,6.313,7.39
HD 154857 b,,,778.68,34.96,-34.96,,13.23,,,1,408.6,1.29,0.46,3801.5,1.634,2.069,3.669,3.87,0,42,,48.2,1.96,2.3,5589,4.01,4.634,5.938,7.24
HD 155193 b,,,238.37,19.07,-19.07,,13.84,,,1,352.65,1.04,0.21,3151.3,1.153,1.461,2.549,2.688,0,38,,19.3,1.22,1.35,6239,4.26,2.497,6.01,7.009
HD 155358 c,,,260.62,22.0,-22.0,,13.78,,,1,391.9,1.02,0.16,2487.4,1.026,1.299,2.284,2.409,0,54,,24.4,0.92,1.32,5900,4.16,1.896,6.158,7.28
HD 156279 b,,,3140.16,219.3,-219.3,,12.33,,,1,131.05,0.49,0.71,4073.2,0.647,0.82,1.46,1.54,17,55,,577.1,0.95,0.95,5453,4.46,0.716,6.677,8.07
HD 156411 b,,,235.19,15.89,-12.71,,13.88,,,1,842.2,1.88,0.22,2078.9,1.728,2.189,3.849,4.059,28,69,,14.1,1.25,2.16,5900,4.07,5.383,5.563,6.67
HD 156846 b,,,3391.25,235.19,-235.19,,12.32,,,1,359.51,1.12,0.85,4851.6,1.555,1.969,3.447,3.636,27,59,,464.8,1.38,1.9,6090,4.02,4.458,5.47,6.5
HD 159243 c,,,603.88,41.32,-41.32,,13.39,,,1,248.4,0.8,0.075,2773.1,0.838,1.061,1.857,1.958,0,30,,57.1,1.12,1.12,6123,4.55,1.3,7.581,8.65
HD 159868 b,,,704.95,18.75,-18.75,,13.07,,,1,1184.1,2.32,0.024,968.9,1.488,1.885,3.347,3.531,100,100,,37.9,1.19,2.13,5534,3.92,3.82,5.941,7.24
HD 1605 c,,,1150.54,73.1,-73.1,,12.9,,,1,2149.0,3.584,0.099,686.1,1.998,2.531,4.596,4.848,100,100,,47.3,1.33,3.49,4915,,6.457,5.85,7.52
HD 16175 b,,,1620.93,257.44,-257.44,,12.61,,,1,990.0,2.12,0.6,1032.3,1.367,1.731,3.037,3.204,41,58,,93.7,1.63,1.72,5981,4.18,3.399,6.166,7.297
HD 163607 c,,,699.54,11.76,-11.76,,13.14,,,1,1272.0,2.39,0.08,618.0,1.225,1.552,2.757,2.908,100,100,,38.4,1.12,1.76,5522,3.97,2.586,6.648,8.0
HD 164509 b,,,140.8,26.38,-26.38,,14.12,,,1,280.17,0.87,0.238,2377.4,0.857,1.086,1.911,2.016,0,60,,13.1,1.12,1.11,5859,,1.318,6.938,8.1
HD 165155 b,,,918.53,73.1,-73.1,,13.05,,,1,434.5,1.13,0.2,748.1,0.641,0.812,1.446,1.526,100,100,,78.0,1.02,0.95,5426,4.49,0.7,8.027,9.36
HD 168443 c,,,5464.45,66.74,-66.74,,12.16,,,1,1749.83,2.8373,0.2113,315.6,1.041,1.319,2.345,2.474,15,24,,295.4,0.99,1.51,5491,4.07,1.861,5.641,6.921
HD 169830 c,,,1284.03,,,,12.84,,,1,2102.0,3.6,0.33,483.7,1.558,1.973,3.44,3.629,35,40,,54.2,1.4,1.74,6299,4.1,4.592,4.974,5.9
HD 170469 b,,,209.77,34.96,-34.96,,13.97,,,1,1145.0,2.24,0.11,437.5,0.948,1.201,2.114,2.23,30,45,,12.1,1.1,1.24,5842,4.3,1.608,7.047,8.21
HD 171028 b,,,832.71,50.85,-50.85,,13.09,,,1,550.0,1.32,0.59,4438.4,1.798,2.277,4.027,4.248,0,44,,60.6,1.53,2.47,5671,3.84,5.665,6.99,8.292
HD 175167 b,,,2850.94,1055.2,-1055.2,,12.52,,,1,1290.0,2.4,0.54,657.0,1.26,1.596,2.826,2.981,29,42,,160.6,1.37,1.75,5635,4.09,2.772,6.713,8.01
HD 17674 b,,,276.51,22.25,-19.07,,13.75,,,1,623.8,1.42,0.13,1028.3,0.918,1.163,2.044,2.156,100,100,,21.1,0.98,1.18,5904,4.34,1.519,6.449,7.535
HD 18015 b,,,1010.7,73.1,-73.1,,13.06,,,1,2278.0,3.87,0.148,790.1,2.233,2.828,5.012,5.286,100,100,,38.0,1.49,3.13,5603,3.64,8.669,6.628,7.89
HD 180617 b,,,12.21,1.05,-1.05,,3.52,,,1,105.91,0.343,0.101,375.5,0.147,0.186,0.361,0.381,65,100,431.3,2.7,0.48,0.48,3534,4.9,0.032,5.583,9.12
HD 181720 b,,,127.13,19.07,-19.07,,14.0,,,1,956.0,1.85,0.26,872.2,1.113,1.409,2.488,2.624,91,100,,8.4,1.03,1.5,5736,4.09,2.187,6.652,7.84
HD 183263 b,,,1255.43,69.92,-69.92,,12.95,,,1,626.52,1.49,0.36,1045.4,0.969,1.227,2.154,2.272,77,95,,83.8,1.31,1.23,5948,4.37,1.7,6.782,7.86
HD 187085 b,,,265.71,3.5,-3.5,,13.7,,,1,1019.74,2.1,0.251,627.6,1.047,1.326,2.319,2.446,56,67,,15.5,1.19,1.27,6117,4.28,2.027,6.19,7.22
HD 188015 b,,,476.75,41.32,-41.32,,13.36,,,1,461.2,1.203,0.137,977.5,0.765,0.97,1.711,1.805,100,100,,37.6,1.09,1.03,5746,4.45,1.036,7.008,8.24
HD 190647 b,,,630.89,10.49,-10.49,,13.08,,,1,1176.45,2.231,0.224,479.9,1.0,1.267,2.241,2.364,43,52,,37.4,1.07,1.38,5656,4.16,1.75,6.546,7.78
HD 190984 b,,,985.27,,,,13.01,,,1,4885.0,5.5,0.57,121.5,1.216,1.54,2.701,2.849,6,8,,48.0,0.91,1.53,5988,4.02,2.692,7.671,8.76
HD 191806 b,,,2707.91,200.23,-200.23,,12.39,,,1,1606.3,2.8,0.259,388.0,1.105,1.399,2.453,2.588,27,32,,139.6,1.14,1.05,6010,4.45,2.228,6.966,8.09
HD 192310 c,,,24.16,5.0,-5.0,,5.3,,,1,525.8,1.18,0.32,377.0,0.482,0.61,1.097,1.157,33,38,290.8,2.3,0.8,0.82,5166,4.51,0.385,4.112,5.73
HD 196050 b,,,1010.7,95.35,-95.35,,13.03,,,1,1378.0,2.51,0.23,468.6,1.097,1.389,2.444,2.578,39,46,,49.8,1.31,1.42,5879,4.25,2.163,6.378,7.5
HD 196067 b,,,2193.03,1239.5,-349.6,,12.59,,,1,3638.0,5.02,0.66,202.2,1.429,1.81,3.173,3.347,11,15,,102.1,1.29,1.73,6017,4.24,3.733,5.417,6.51
HD 196885 A b,,,820.0,50.85,-50.85,,13.12,,,1,1333.0,2.37,0.48,583.0,1.129,1.43,2.495,2.632,28,42,,46.0,1.28,1.31,6254,4.31,2.399,5.414,6.397
HD 197037 b,,,251.09,16.0,-16.0,,13.72,,,1,1035.7,2.07,0.22,495.0,0.915,1.158,2.025,2.136,40,48,,15.2,1.11,1.1,6150,4.4,1.554,5.772,6.823
HD 203473 b,,,2479.07,349.61,-349.61,,12.37,,,1,1552.9,2.73,0.289,325.7,1.001,1.267,2.235,2.357,21,26,,132.0,1.12,1.33,5780,,1.778,7.074,8.23
HD 2039 b,,,1999.15,368.68,-368.68,,12.5,,,1,1120.0,2.2,0.71,447.9,0.936,1.186,2.082,2.197,15,21,,151.8,1.23,1.19,5945,4.38,1.588,7.912,9.0
HD 205739 b,,,435.43,22.25,-28.6,,13.63,,,1,279.8,0.896,0.27,3895.2,1.109,1.404,2.454,2.588,0,20,,38.7,1.22,1.33,6176,4.29,2.291,7.585,8.56
HD 20782 b,,,472.87,33.22,-33.88,,13.47,,,1,597.06,1.3649,0.95,937.4,0.849,1.075,1.895,1.999,23,31,,111.9,1.04,1.13,5782,4.35,1.279,6.229,7.36
HD 207832 b,,,177.98,28.92,-28.92,,14.0,,,1,160.07,0.586,0.197,3085.7,0.663,0.84,1.484,1.565,0,31,,20.7,1.05,0.89,5726,,0.776,7.587,8.78
HD 207832 c,,,232.02,57.21,-15.89,,13.83,,,1,1155.7,2.112,0.27,236.5,0.662,0.839,1.482,1.563,0,6,,15.3,0.94,0.9,5710,,0.773,7.587,8.78
HD 20868 b,,,397.29,187.52,-187.52,,13.61,,,1,380.85,0.95,0.75,417.1,0.415,0.526,0.959,1.012,16,22,,99.1,0.39,0.76,4802,4.26,0.276,8.138,9.92
HD 210277 b,,,410.0,15.89,-15.89,,13.54,,,1,442.19,1.13,0.48,1033.6,0.748,0.948,1.683,1.776,76,86,,38.9,1.01,1.07,5538,4.38,0.967,5.275,6.543
HD 211810 b,,,212.95,139.85,-139.85,,14.08,,,1,1558.0,2.656,0.68,227.3,0.82,1.038,1.837,1.938,11,17,,15.7,1.03,1.13,5652,,1.175,7.339,8.59
HD 213240 b,,,1773.49,98.53,-98.53,,12.74,,,1,882.7,1.89,0.42,999.7,1.199,1.519,2.665,2.811,68,90,,96.2,1.57,1.51,5979,4.27,2.616,5.708,6.81
HD 214823 b,,,6451.95,826.36,-826.36,,12.01,,,1,1854.4,3.23,0.1641,612.0,1.608,2.037,3.577,3.773,69,100,,281.6,1.31,2.04,5933,,4.677,6.952,8.06
HD 215497 c,,,104.88,,,,12.96,,,1,567.94,1.282,0.49,323.1,0.486,0.615,1.109,1.17,26,29,,10.2,0.87,1.08,5113,4.31,0.389,7.339,8.96
HD 216435 b,,,400.47,41.3,-41.3,,13.53,,,1,1311.0,2.56,0.07,610.3,1.267,1.605,2.816,2.97,100,100,,19.7,1.3,1.59,5999,4.15,2.93,5.008,6.03
HD 216437 b,,,706.54,18.43,-18.43,,13.26,,,1,1334.28,2.497,0.317,463.0,1.083,1.371,2.41,2.542,36,42,,38.9,1.17,1.39,5909,4.19,2.115,5.044,6.04
HD 216520 c,,,9.44,1.63,-1.63,,2.9,,,1,154.43,0.528,0.12,1729.3,0.463,0.587,1.057,1.115,14,100,154.6,1.3,0.82,0.76,5103,4.54,0.353,5.951,7.53
HD 216770 b,,,181.16,15.89,-15.89,,13.98,,,1,118.45,0.46,0.37,4256.4,0.623,0.789,1.408,1.485,0,13,,31.0,0.74,0.93,5399,4.37,0.66,6.752,8.11
HD 217786 b,,,4131.79,254.25,-254.25,,12.26,,,1,1319.0,2.38,0.4,455.0,1.019,1.291,2.267,2.391,33,38,,257.3,1.02,1.27,5966,4.35,1.888,6.685,7.78
HD 217850 b,,,6865.13,826.36,-826.36,,11.97,,,1,3501.3,4.56,0.7621,82.6,0.854,1.081,1.92,2.025,6,7,,432.1,1.03,1.21,5544,,1.259,7.148,8.52
HD 218566 b,,,63.57,19.07,-19.07,,9.25,,,1,225.7,0.69,0.3,931.0,0.452,0.572,1.047,1.105,77,100,306.6,8.4,0.76,0.85,4730,4.46,0.325,6.824,8.6
HD 219077 b,,,3302.25,28.6,-28.6,,12.29,,,1,5501.0,6.22,0.77,93.9,1.254,1.588,2.836,2.992,6,8,,180.4,1.05,1.91,5362,4.0,2.661,4.64,6.12
HD 219415 b,,,317.83,,,,13.49,,,1,2093.3,3.2,0.4,555.7,1.612,2.042,3.723,3.927,43,59,,17.3,1.0,2.9,4820,3.51,4.169,7.023,8.909
HD 219828 c,,,4640.32,731.01,-731.01,,12.15,,,1,4682.0,5.79,0.8102,107.1,1.215,1.539,2.712,2.86,5,7,,268.9,1.18,1.61,5807,,2.63,6.871,8.04
HD 220773 b,,,460.85,95.0,-95.0,,13.38,,,1,3724.7,4.94,0.51,114.3,1.062,1.345,2.363,2.492,0,3,,20.0,1.16,1.35,5940,4.24,2.043,6.001,7.108
HD 221287 b,,,982.09,251.08,-251.08,,13.08,,,1,456.1,1.25,0.08,1449.9,0.936,1.186,2.067,2.181,74,100,,70.4,1.25,1.13,6304,4.43,1.66,6.843,7.82
HD 221585 b,,,511.71,44.5,-44.5,,13.36,,,1,1173.0,2.306,0.123,678.3,1.231,1.56,2.763,2.914,100,100,,27.8,1.19,1.7,5620,4.05,2.642,6.157,7.457
HD 222582 b,,,2660.24,127.13,-127.13,,12.54,,,1,572.38,1.34,0.73,979.5,0.851,1.078,1.901,2.005,31,44,,276.7,1.12,1.13,5790,4.38,1.288,6.522,7.68
HD 224538 b,,,1897.45,133.49,-133.49,,12.66,,,1,1189.1,2.28,0.464,775.0,1.264,1.602,2.803,2.956,37,56,,106.1,1.34,1.54,6097,4.19,2.951,7.041,8.06
HD 22781 b,,,4338.38,308.0,-308.0,,12.21,,,1,528.07,1.167,0.8191,296.4,0.425,0.539,0.974,1.027,10,14,,716.5,0.75,0.72,5027,4.6,0.296,7.149,8.78
HD 23079 b,,,829.54,34.96,-34.96,,13.02,,,1,730.6,1.6,0.1,698.1,0.849,1.075,1.886,1.989,100,100,,54.8,1.12,1.07,5974,4.43,1.309,6.03,7.12
HD 23127 b,,,485.33,11.76,-12.08,,13.43,,,1,1211.17,2.37,0.406,564.6,1.139,1.443,2.541,2.68,38,48,,28.0,1.21,1.49,5843,4.15,2.323,7.423,8.58
HD 23596 b,,,2870.0,235.19,-235.19,,12.4,,,1,1561.0,2.77,0.27,497.6,1.235,1.565,2.742,2.892,40,47,,126.6,1.47,1.53,6040,4.23,2.797,6.173,7.261
HD 238914 b,,,1906.98,858.14,-858.14,,12.68,,,1,4100.0,5.7,0.56,2974.4,6.659,8.435,15.411,16.255,27,57,,70.9,1.47,12.73,4769,2.37,70.795,6.941,8.77
HD 24040 c,,,63.88,8.58,-8.58,,9.27,,,1,515.4,1.3,0.11,1560.1,1.043,1.321,2.33,2.458,49,100,167.9,4.8,1.1,1.39,5776,4.2,1.931,6.279,7.515
HD 27442 b,,,495.81,44.5,-44.5,,13.55,,,1,428.1,1.271,0.06,2338.2,1.312,1.662,3.027,3.193,0,34,,36.7,1.23,2.36,4846,3.78,2.767,2.374,4.44
HD 27969 b,,,1525.58,76.28,-73.1,,12.71,,,1,654.5,1.552,0.182,1039.7,1.005,1.273,2.234,2.357,96,100,,103.2,1.16,1.27,5966,4.12,1.835,6.516,7.66
HD 28185 b,,,1875.2,76.28,-76.28,,12.65,,,1,379.0,1.02,0.05,1284.4,0.748,0.947,1.675,1.767,100,100,,163.1,1.02,1.03,5662,4.42,0.979,6.578,7.8
HD 28254 b,,,368.68,31.78,-19.07,,13.36,,,1,1116.0,2.15,0.81,646.1,1.118,1.416,2.504,2.641,19,25,,37.3,1.06,1.48,5664,4.12,2.188,6.395,7.69
HD 29021 b,,,762.79,63.57,-63.57,,13.2,,,1,1362.3,2.28,0.459,162.8,0.599,0.758,1.345,1.419,8,11,,55.1,0.85,0.85,5560,4.44,0.62,6.518,7.76
HD 30562 b,,,387.75,44.5,-44.5,,13.47,,,1,1157.0,2.34,0.76,694.5,1.245,1.577,2.773,2.925,20,28,,33.7,1.12,1.61,5882,4.07,2.786,4.984,5.775
HD 31253 b,,,197.05,38.14,-38.14,,13.96,,,1,466.0,1.26,0.3,3338.3,1.447,1.833,3.206,3.382,0,42,,12.0,1.7,1.75,6130,4.18,3.883,6.06,7.133
HD 31527 d,,,11.82,1.7,-1.64,,3.52,,,1,271.67,0.8098,0.24,2496.8,0.816,1.034,1.817,1.917,0,57,122.8,1.2,0.96,0.97,5898,4.45,1.199,6.373,7.49
HD 331093 b,,,476.75,34.96,-34.96,,13.39,,,1,621.62,1.44,0.59,993.5,0.935,1.184,2.102,2.217,45,65,,43.3,1.03,1.33,5544,4.2,1.509,7.043,8.38
HD 34445 b,,,260.62,28.6,-28.6,,13.85,,,1,1049.0,2.07,0.27,650.7,1.066,1.35,2.375,2.505,61,73,,15.6,1.14,1.38,5879,4.21,2.043,6.122,7.31
HD 34445 f,,,37.82,6.5,-6.5,,6.72,,,1,676.8,1.543,0.031,1151.9,1.06,1.343,2.364,2.494,100,100,108.9,2.6,1.07,1.38,5836,4.21,2.009,6.122,7.31
HD 38283 b,,,127.13,12.71,-12.71,,13.62,,,1,363.2,1.02,0.41,3346.6,1.184,1.5,2.631,2.775,0,49,,10.1,1.37,1.49,5981,4.23,2.551,5.645,6.69
HD 38529 c,,,4128.61,47.67,-47.67,,12.15,,,1,2136.1,3.64,0.3407,571.4,1.792,2.27,4.031,4.251,50,57,,172.4,1.41,2.56,5541,3.77,5.547,4.905,5.928
HD 38801 b,,,3082.32,182.12,-186.57,,12.5,,,1,685.25,1.623,0.017,1556.7,1.334,1.69,3.02,3.186,0,100,,195.9,1.21,2.03,5338,3.88,3.004,6.8,8.26
HD 39091 b,,,3184.66,47.67,-47.67,,12.47,,,1,2093.07,3.1,0.637,205.3,0.888,1.125,1.971,2.079,14,15,,193.9,1.09,1.1,6037,4.42,1.445,4.869,5.65
HD 40307 g,!,,7.09,2.6,-2.6,,2.53,,,1,197.8,0.6,0.29,870.6,0.376,0.476,0.864,0.911,82,100,116.7,1.0,0.77,0.85,4956,4.47,0.23,5.412,7.17
HD 40979 b,,,1484.27,108.06,-108.06,,12.78,,,1,264.15,0.85,0.25,3587.6,1.01,1.279,2.236,2.358,0,28,,119.0,1.45,1.21,6165,4.43,1.899,5.742,6.755
HD 4113 b,,,495.81,12.71,-12.71,,13.55,,,1,526.62,1.28,0.903,1015.6,0.833,1.055,1.865,1.967,27,36,,91.9,0.99,1.04,5688,4.4,1.219,6.672,7.88
HD 4203 b,,,708.76,66.74,-66.74,,13.17,,,1,431.88,1.17,0.52,1770.3,1.011,1.28,2.269,2.394,61,75,,60.4,1.25,1.42,5596,4.23,1.775,7.389,8.7
HD 43197 b,,,190.7,38.14,-12.71,,13.94,,,1,327.8,0.92,0.83,1176.4,0.651,0.825,1.466,1.546,37,52,,32.6,0.96,1.0,5508,4.31,0.729,7.658,8.98
HD 44219 b,,,184.34,19.07,-12.71,,14.07,,,1,472.3,1.19,0.61,1754.1,1.014,1.284,2.266,2.39,65,77,,19.1,1.0,1.32,5752,4.21,1.82,6.509,7.69
HD 45350 b,,,568.92,44.49,-44.49,,13.28,,,1,963.6,1.92,0.778,512.3,0.894,1.132,2.009,2.119,16,22,,59.4,0.98,1.26,5566,4.23,1.384,6.587,7.89
HD 45364 b,,,59.5,,,,8.85,,,1,226.93,0.6813,0.1684,1676.7,0.578,0.732,1.305,1.376,40,88,265.0,7.2,0.82,0.97,5434,4.38,0.57,6.748,8.08
HD 45364 c,,,209.1,,,,13.89,,,1,342.85,0.8972,0.0974,966.9,0.578,0.732,1.305,1.376,100,100,,21.9,0.82,0.97,5434,4.38,0.57,6.748,8.08
HD 4732 c,,,753.26,120.77,-120.77,,13.03,,,1,2732.0,4.6,0.23,999.1,3.089,3.912,7.091,7.48,78,100,,24.5,1.74,5.4,4959,3.16,15.488,4.338,5.9
HD 48265 b,,,484.69,15.57,-15.89,,13.39,,,1,778.51,1.814,0.211,1452.5,1.408,1.783,3.149,3.321,59,100,,28.8,1.31,1.9,5733,3.97,3.501,6.842,8.05
