Planet,Flag,l_Mp,Mp,E_Mp,e_Mp,f_Mp,Rp,E_Rp,e_Rp,f_Rp,Per,a,e,S,R1,R2,R3,R4,CHZ,OHZ,TSM,K,Mstar,Rstar,Teff,logg,Lstar,Jmag,Vmag
Kepler-296 e,,,3.07,,,1,1.49,0.27,-0.25,,34.14,0.169,0.33,1934.4,0.164,0.208,0.399,0.42,33,63,0.8,1.0,0.5,0.48,3740,4.77,0.04,13.391,16.363
Kepler-296 f,,,3.77,,,1,1.77,0.31,-0.3,,63.34,0.255,0.33,849.6,0.164,0.208,0.399,0.42,78,100,5.9,1.0,0.5,0.48,3740,4.77,0.04,13.391,16.363
Kepler-298 d,,,6.47,,,1,2.45,0.2,-0.2,,77.47,0.305,0.0,1761.5,0.277,0.351,0.651,0.686,0,100,6.4,,,0.58,4465,4.71,0.12,13.718,15.617
Kepler-309 c,,,6.47,,,1,2.46,0.18,-0.18,,105.36,0.401,0.0,1949.4,0.38,0.482,0.882,0.93,0,100,4.8,,,0.72,4713,4.61,0.23,13.504,15.418
Kepler-315 c,,,14.53,,,1,4.06,0.96,-0.96,,265.47,0.791,0.0,2390.9,0.785,0.994,1.752,1.848,0,100,3.5,,,1.04,5796,4.38,1.096,13.982,15.546
Kepler-351 d,,,7.33,,,1,2.67,0.19,-0.3,,142.54,0.49779702,0.0,2242.7,0.494,0.626,1.123,1.185,0,100,2.8,1.0,0.81,0.78,5225,4.58,0.407,14.669,16.229
Kepler-419 c,,,2320.16,127.1,-127.1,,12.49,,,1,675.47,1.68,0.184,2247.3,1.555,1.97,3.426,3.614,13,69,,137.7,1.39,1.74,6430,4.1,4.647,12.088,13.089
Kepler-424 c,,,2215.28,197.05,-197.05,,12.52,,,1,223.3,0.73,0.0,1813.4,0.643,0.815,1.45,1.53,0,100,,230.9,1.01,0.94,5460,4.5,0.708,12.905,14.429
Kepler-436 b,,,6.88,,,1,2.63,0.23,-0.24,,64.0,0.339,0.19,2364.5,0.355,0.449,0.825,0.871,0,48,4.7,1.4,0.73,0.7,4651,4.62,0.199,14.083,15.971
Kepler-438 b,,,1.94,,,1,1.1,0.16,-0.17,,35.23,0.166,0.03,2177.4,0.171,0.216,0.415,0.438,0,7,0.8,0.6,0.54,0.52,3748,4.74,0.044,12.13,15.104
Kepler-440 b,,,4.23,,,1,1.87,0.24,-0.19,,101.11,0.242,0.34,1843.0,0.227,0.288,0.542,0.572,40,66,6.7,0.9,0.57,0.56,4134,4.71,0.079,12.96,15.637
Kepler-441 b,,,3.62,,,1,1.65,0.22,-0.24,,207.25,0.64,0.1,296.3,0.24,0.304,0.566,0.597,0,24,3.4,0.6,0.57,0.55,4340,4.71,0.089,13.04,15.567
Kepler-442 b,,,2.88,,,1,1.32,0.11,-0.18,,112.31,0.409,0.04,954.3,0.274,0.348,0.646,0.681,100,100,0.3,0.5,0.61,0.6,4402,4.67,0.117,13.233,15.322
Kepler-443 b,,,5.71,,,1,2.3,0.19,-0.22,,177.67,0.495,0.11,1207.6,0.369,0.468,0.856,0.903,70,100,2.7,0.8,0.74,0.71,4723,4.61,0.217,14.365,16.207
Kepler-452 b,!,,3.47,,,1,1.59,0.23,-0.2,,384.84,1.046,0.0,1516.0,0.828,1.049,1.851,1.953,0,100,1.1,0.3,1.04,1.11,5757,4.32,1.215,12.263,13.54
Kepler-454 c,,,1417.52,38.14,-38.14,,12.77,,,1,523.9,1.28440553,0.0214,898.5,0.786,0.995,1.759,1.855,100,100,,110.0,1.03,1.07,5701,4.37,1.086,10.357,11.567
Kepler-539 c,,,762.79,381.4,-381.4,,13.04,,,1,1000.0,2.42,0.5,216.7,0.722,0.914,1.61,1.699,15,17,,54.4,1.05,0.95,5820,4.5,0.93,11.294,12.444
Kepler-553 c,,,2267.97,,,1,10.96,0.32,-0.31,,328.24,0.90569311,0.0,830.1,0.546,0.691,1.239,1.306,100,100,,221.2,0.92,0.85,5266,4.55,0.499,13.578,15.034
Kepler-56 d,,,1783.03,120.0,-120.0,,12.76,,,1,1002.0,2.16,0.2,2523.8,2.319,2.938,5.356,5.65,0,44,,,,4.22,4819,,8.626,10.813,12.598
Kepler-61 b,,,5.15,,,1,2.11,0.13,-0.13,,59.88,0.25812311,0.25,1841.1,0.243,0.308,0.583,0.615,27,65,3.9,1.2,0.64,0.62,4017,,0.09,13.078,15.277
Kepler-62 e,,,3.51,,,1,1.58,0.05,-0.05,,122.39,0.427,0.0,1571.4,0.36,0.456,0.828,0.873,0,100,3.3,0.6,0.69,0.64,4925,4.68,0.21,12.256,13.965
Kepler-62 f,,,2.65,,,1,1.38,0.07,-0.07,,267.29,0.718,0.0,555.8,0.36,0.456,0.828,0.873,100,100,0.3,0.3,0.69,0.64,4925,4.68,0.21,12.256,13.965
Kepler-68 d,,,244.73,9.53,-9.53,,13.84,,,1,634.6,1.47353173,0.112,1070.1,0.973,1.233,2.169,2.288,100,100,,17.6,1.06,1.26,5875,4.26,1.702,8.975,10.077
Kepler-69 c,,,3.47,,,1,1.68,0.34,-0.23,,242.46,0.64,0.14,2665.5,0.677,0.857,1.518,1.601,0,41,1.8,0.4,0.81,0.93,5638,4.4,0.8,12.631,13.866
Kepler-705 b,,,4.84,,,1,2.06,0.1,-0.08,,56.06,0.23196963,0.0,1136.9,0.173,0.219,0.42,0.443,100,100,6.8,1.2,0.53,0.51,3722,4.75,0.045,13.446,16.331
Kepler-712 c,,,19.42,,,1,4.75,0.26,-0.41,,226.89,0.68690196,0.0,1109.9,0.482,0.61,1.098,1.158,100,100,5.1,2.3,0.84,0.78,5148,4.58,0.384,14.399,16.161
Kepler-88 d,,,969.53,44.01,-44.01,,12.88,,,1,1403.0,2.44441161,0.41,148.3,0.616,0.78,1.388,1.464,0,4,,61.0,0.99,0.9,5466,,0.649,11.882,13.209
Kepler-967 c,,,11.81,,,1,3.58,0.15,-0.13,,198.71,0.62878025,0.0,1426.2,0.499,0.632,1.136,1.198,0,100,7.8,1.5,0.84,0.8,5178,4.56,0.413,12.991,14.702
Kepler-97 c,,>=,343.26,,,,13.57,,,1,789.0,1.63688479,0.0,490.0,0.736,0.932,1.644,1.734,100,100,,24.7,0.94,0.98,5779,4.43,0.962,11.744,12.994
Kepler-991 b,,,6.47,,,1,2.49,0.13,-0.12,,82.53,0.31969828,0.0,1660.2,0.283,0.358,0.666,0.703,0,100,7.2,1.3,0.64,0.61,4392,4.67,0.124,13.329,15.626
KIC 10525077 b,,,26.51,,,1,5.39,0.9,-0.8,,854.08,1.76752135,0.0,550.8,0.827,1.047,1.833,1.933,100,100,3.1,1.8,1.01,1.01,6091,4.42,1.261,14.143,15.592
KIC 5437945 b,,,31.29,,,1,6.27,1.6,-1.6,,440.78,1.15931341,0.0,2265.4,1.083,1.372,2.39,2.521,0,100,7.7,2.5,1.07,1.24,6340,4.16,2.23,12.667,13.834
KIC 5951458 b,!,,35.44,,,1,6.46,26.3,-4.2,,1320.1,2.33921822,0.0,793.7,1.3,1.647,2.873,3.03,100,100,6.1,2.1,0.98,1.52,6258,4.08,3.181,11.64,12.836
KIC 7917485 b,,,3750.39,254.26,-190.7,,12.26,,,1,840.0,2.05040452,0.15,3217.1,2.195,2.781,4.801,5.064,0,39,,184.8,1.63,2.11,7067,4.0,9.908,12.303,13.166
KIC 9663113 b,,,17.87,,,1,4.5,0.6,-0.7,,572.38,1.34006191,0.0,979.7,0.837,1.06,1.857,1.959,100,100,5.5,1.4,0.98,1.03,6065,4.42,1.289,12.823,14.027
KOI-351 h,,,2438.61,,,1,11.06,1.0,,,331.6,1.01,0.0,2364.2,0.979,1.24,2.172,2.291,0,100,,198.7,1.2,1.2,6080,4.4,1.767,12.79,13.883
KOI-3680 b,,,613.41,60.39,-66.74,,10.86,0.673,-0.785,,141.24,0.534,0.496,4575.9,0.731,0.926,1.632,1.721,0,34,,86.1,1.01,0.96,5830,4.47,0.956,13.384,14.616
LHS 1140 b,,,6.38,0.46,-0.44,,1.6,0.05,-0.05,,24.74,0.0957,0.096,484.5,0.047,0.059,0.118,0.125,100,100,83.4,4.3,0.19,0.21,2988,,0.003,9.612,14.15
PH2 b,,,1768.24,,,1,9.91,0.56,-0.56,,282.53,0.828,0.41,1574.3,0.673,0.853,1.51,1.593,61,77,0.9,196.2,0.94,1.0,5629,4.41,0.791,11.501,12.645
Proxima Cen b,,,1.27,0.19,-0.17,,1.09,,,1,11.19,0.0485,0.35,898.8,0.032,0.041,0.081,0.086,75,94,195.6,1.6,0.12,0.14,3050,,0.002,5.357,11.01
psi 1 Dra B b,,,486.28,31.78,-31.78,,13.56,,,1,3117.0,4.43,0.4,191.2,1.212,1.535,2.68,2.827,3,8,,20.7,1.19,1.43,6212,4.2,2.748,5.001,5.808
Ross 128 b,,,1.4,0.21,-0.21,,1.09,,,1,9.87,0.0496,0.116,2009.9,0.049,0.063,0.123,0.13,0,55,66.1,1.4,0.17,0.2,3192,,0.004,6.505,11.12
Ross 508 b,,,4.0,0.53,-0.55,,1.78,,,1,10.77,0.05366,0.33,1701.5,0.049,0.062,0.124,0.13,43,69,251.7,3.9,0.18,0.21,3071,5.04,0.004,9.105,14.18
Teegarden's Star b,,,1.05,0.13,-0.12,,1.03,,,1,4.91,0.0252,0.0,1568.0,0.022,0.028,0.056,0.059,0,100,140.9,2.0,0.09,0.11,2904,,0.001,8.394,15.13
