pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff,st_rad,st_raderr1,st_raderr2,st_rad,st_mass,st_masserr1,st_masserr2,st_mass,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin,st_rotp,st_rotperr1,st_rotperr2,st_rotp,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum,sy_pnum,sy_mnum
"Kepler-106 c","c","Kepler-106",,,"TIC 184997417","Gaia DR2 2082074942519913344",1,4,0,1,0,0,1,0,0,0,0,0,0,0.109803,,,0.109803,2.500,0.320,-0.320,2.500,10.44000,3.20000,-3.20000,0.223,0.029,-0.029,0.223,0.03300,0.01000,-0.01000,"Mass",0.000000,,,0.000000,13.57080000,,,87.070,,,,4.830,,,-0.120,0.110,-0.110,"[Fe/H]",0.083,0.025,-0.031,5858.00,114.00,-114.00,5858.00,1.04,0.17,-0.17,1.04,1.00,0.06,-0.06,1.00,0.3000,,,0.3000,,,,,444.3220000,6.1010000,-5.9410000,12.9230000,0.0800000,-0.0800000,11.4310000,0.0180000,-0.0180000,1,4,0
"Kepler-957 b","b","Kepler-957",,,"TIC 267748934","Gaia DR2 2129576559253685632",1,1,0,0,0,0,1,0,0,0,0,0,0,0.055900,,,0.055900,5.500,0.290,-0.320,5.500,25.90000,,,0.491,0.026,-0.029,0.491,0.08160,,,"M-R relationship",0.000000,,,0.000000,5.90741354,0.00000507,-0.00000507,89.780,,,,2.750,6.280,-1.300,-0.010,0.184,-0.177,"[Fe/H]",-0.468,,,4963.00,47.52,-58.85,4963.00,0.75,0.03,-0.04,0.75,0.81,0.03,-0.04,0.81,,,,,,,,,824.6880000,20.2220000,-20.2220000,15.8330000,0.1150000,-0.1150000,13.4530000,0.0400000,-0.0400000,1,1,0
"Kepler-124 d","d","Kepler-124",,,"TIC 399860218","Gaia DR2 2131287021388901504",1,3,0,0,0,0,1,0,0,0,0,0,0,0.170000,,,0.170000,1.110,0.070,-0.070,1.110,1.41000,,,0.099,0.006,-0.006,0.099,0.00444,,,"M-R relationship",0.000000,,,0.000000,30.95085100,0.00036100,-0.00036100,86.470,,,,1.820,2.100,-0.609,-0.460,0.097,-0.094,"[Fe/H]",-0.467,,,4984.00,100.00,-100.00,4984.00,0.64,0.03,-0.03,0.64,0.84,0.03,-0.03,0.84,,,,,,,,,420.0460000,3.0470000,-3.0040000,14.4000000,0.1260000,-0.1260000,12.2330000,0.0260000,-0.0260000,1,3,0
"Kepler-309 b","b","Kepler-309",,,"TIC 273373488","Gaia DR2 2086315415269037696",1,2,0,0,0,0,1,0,0,0,0,0,0,0.059000,,,0.059000,1.560,0.140,-0.140,1.560,3.05000,,,0.139,0.012,-0.012,0.139,0.00961,,,"M-R relationship",0.000000,,,0.000000,5.92365300,0.00002800,-0.00002800,89.850,,,"M0 V",3.020,1.980,-1.330,0.110,0.097,-0.091,"[Fe/H]",-0.574,,,4713.00,100.00,-100.00,4713.00,0.72,0.04,-0.04,0.72,0.67,0.02,-0.02,0.67,,,,,,,,,544.5680000,5.8740000,-5.8740000,15.4180000,0.1140000,-0.1140000,12.8520000,0.0280000,-0.0280000,1,2,0
"Kepler-691 b","b","Kepler-691",,,"TIC 121787669","Gaia DR2 2101242934881164416",1,1,0,0,0,0,1,0,0,0,0,0,0,0.064900,,,0.064900,2.090,0.090,-0.090,2.090,5.02000,,,0.186,0.008,-0.008,0.186,0.01580,,,"M-R relationship",0.000000,,,0.000000,8.11437900,0.00001125,-0.00001125,88.610,,,,3.980,5.610,-2.240,0.040,0.080,-0.077,"[Fe/H]",-1.305,0.092,-0.117,3715.00,37.37,-36.77,3715.00,0.50,0.02,-0.02,0.50,0.53,0.02,-0.02,0.53,,,,,,,,,279.1150000,3.4340000,-3.3530000,16.6000000,0.2000000,-0.2000000,12.4920000,0.0250000,-0.0250000,1,1,0
"Kepler-1433 b","b","Kepler-1433",,,"TIC 399951196",,1,1,0,0,0,0,1,0,0,0,0,0,0,0.051600,,,0.051600,1.560,0.450,-0.180,1.560,3.05000,,,0.139,0.040,-0.016,0.139,0.00961,,,"M-R relationship",0.000000,,,0.000000,4.13592271,0.00002888,-0.00002888,89.270,,,,3.020,1.200,-1.360,0.070,0.140,-0.138,"[Fe/H]",0.247,,,6097.00,97.58,-116.39,6097.00,1.19,0.33,-0.13,1.19,1.14,0.11,-0.07,1.14,,,,,,,,,1328.0000000,370.2170000,-149.1020000,15.0510000,0.2520000,-0.2520000,13.4920000,0.0360000,-0.0360000,1,1,0
"Kepler-419 b","b","Kepler-419",,,"TIC 27454084","Gaia DR2 2135604425595213440",1,2,0,1,0,0,1,0,0,0,0,0,0,0.370000,0.007000,-0.006000,0.370000,10.800,1.400,-1.300,10.800,794.50000,95.30000,-95.30000,0.960,0.120,-0.120,0.960,2.50000,0.30000,-0.30000,"Mass",0.833000,0.013000,-0.013000,0.833000,69.75460000,0.00070000,-0.00090000,88.950,0.140,-0.170,,1.290,0.300,-0.200,0.176,0.070,-0.070,"[Fe/H]",0.727,0.026,-0.028,6430.00,79.00,-79.00,6430.00,1.74,0.07,-0.07,1.74,1.39,0.08,-0.07,1.39,14.4100,1.3000,-1.3000,14.4100,4.49,0.01,-0.01,4.49,1011.3600000,25.4100000,-24.2200000,13.0890000,0.1490000,-0.1490000,11.8590000,0.0180000,-0.0180000,1,2,0
"Kepler-154 d","d","Kepler-154",,,"TIC 416282268","Gaia DR2 2133022669212268800",1,5,0,0,0,0,1,0,0,0,0,0,0,0.141500,,,0.141500,3.840,0.320,-0.240,3.840,14.10000,,,0.343,0.029,-0.021,0.343,0.04440,,,"M-R relationship",0.000000,,,0.000000,20.54981883,0.00002572,-0.00002572,88.380,,,,4.470,2.580,-2.420,-0.040,0.104,-0.115,"[Fe/H]",0.033,,,5769.00,78.26,-70.85,5769.00,0.98,0.08,-0.06,0.98,0.98,0.04,-0.04,0.98,,,,,,,,,915.2120000,16.9200000,-16.3270000,14.6460000,0.0920000,-0.0920000,12.9860000,0.0290000,-0.0290000,1,5,0
"Kepler-81 b","b","Kepler-81",,,"TIC 270611154","Gaia DR2 2077816087307845248",1,3,0,0,0,0,1,0,0,0,0,0,0,0.052200,0.002210,-0.002210,0.052200,2.420,0.380,-0.380,2.420,17.20000,6.30000,-5.50000,0.216,0.034,-0.034,0.216,0.05400,0.02000,-0.01700,"Mass",0.000000,,,0.000000,5.95500000,,,89.000,,,"M0 V",3.630,5.430,-2.020,-0.180,0.100,-0.100,"[M/H]",-0.889,0.045,-0.050,4385.00,49.10,-36.59,4385.00,0.59,0.03,-0.03,0.59,0.64,0.38,-0.23,0.64,,,,,,,,,348.2910000,3.1665000,-3.1665000,15.2580000,0.0920000,-0.0920000,12.3920000,0.0210000,-0.0210000,1,3,0
"Kepler-1740 b","b","Kepler-1740",,,"TIC 138479461","Gaia DR2 2052381737659167488",1,1,0,0,0,0,1,0,0,0,0,0,0,0.077900,,,0.077900,3.323,,,3.323,11.00000,,,0.296,,,0.296,0.03470,,,"M-R relationship",0.000000,,,0.000000,8.17240047,,,82.800,,,,,,,-0.060,0.150,-0.150,"[Fe/H]",-0.079,,,5705.00,76.00,-76.00,5705.00,0.91,0.12,-0.05,0.91,0.94,0.05,-0.06,0.94,,,,,,,,,1061.7700000,36.6850000,-36.6850000,15.4540000,0.1950000,-0.1950000,13.6950000,0.0480000,-0.0480000,1,1,0
"Kepler-713 b","b","Kepler-713",,,"TIC 271762145","Gaia DR2 2078003897636955008",1,1,0,0,0,0,1,0,0,0,0,0,0,0.074800,,,0.074800,2.480,0.500,-0.290,2.480,6.71000,,,0.221,0.045,-0.026,0.221,0.02110,,,"M-R relationship",0.000000,,,0.000000,7.41114100,0.00001344,-0.00001344,87.540,,,,3.800,3.730,-2.100,-0.030,0.148,-0.181,"[Fe/H]",0.085,,,5785.00,265.49,-233.97,5785.00,0.99,0.20,-0.12,0.99,0.98,0.11,-0.08,0.98,,,,,,,,,1089.8700000,32.8100000,-30.9800000,15.1710000,0.1030000,-0.1030000,13.3000000,0.0350000,-0.0350000,1,1,0
"Kepler-758 b","b","Kepler-758",,,"TIC 137968594","Gaia DR2 2053552270863859712",1,4,0,0,0,0,1,0,0,0,0,0,0,0.101900,,,0.101900,2.480,0.550,-0.400,2.480,6.71000,,,0.221,0.049,-0.036,0.221,0.02110,,,"M-R relationship",0.000000,,,0.000000,12.10971040,0.00007142,-0.00007142,81.620,,,,3.800,0.950,-0.878,-0.100,0.120,-0.132,"[Fe/H]",0.563,,,6228.00,72.21,-60.59,6228.00,1.42,0.31,-0.23,1.42,1.16,0.12,-0.08,1.16,,,,,,,,,1502.3200000,44.9800000,-42.4800000,14.3790000,0.1490000,-0.1490000,13.1100000,0.0350000,-0.0350000,1,4,0
"Kepler-176 d","d","Kepler-176",,,"TIC 271159950","Gaia DR2 2078286197246582016",1,4,0,0,0,0,1,0,0,0,0,0,0,0.163000,,,0.163000,2.510,1.320,-1.320,2.510,15.20000,10.40000,-5.80000,0.224,0.118,-0.118,0.224,0.04800,0.03300,-0.01800,"Mass",0.000000,,,0.000000,25.75197400,0.00011500,-0.00011500,89.530,,,,13.700,2.900,-2.900,0.160,0.150,-0.150,"[Fe/H]",-0.404,,,5232.00,200.00,-200.00,5232.00,0.89,0.46,-0.46,0.89,0.79,0.06,-0.03,0.79,,,,,,,,,527.3210000,6.0580000,-5.9250000,14.7670000,0.1260000,-0.1260000,12.5670000,0.0240000,-0.0240000,1,4,0
"Kepler-1029 b","b","Kepler-1029",,,"TIC 137409907","Gaia DR2 2101670026430316416",1,1,0,0,0,0,1,0,0,0,0,0,0,0.047000,,,0.047000,1.260,0.080,-0.070,1.260,2.13000,,,0.112,0.007,-0.006,0.112,0.00669,,,"M-R relationship",0.000000,,,0.000000,4.41769648,0.00000890,-0.00000890,78.170,,,,4.070,6.070,-2.340,0.010,0.163,-0.172,"[Fe/H]",-0.620,,,5030.00,68.38,-91.81,5030.00,0.77,0.04,-0.04,0.77,0.82,0.04,-0.04,0.82,,,,,,,,,366.6560000,2.5695000,-2.5695000,14.4340000,0.1500000,-0.1500000,12.1690000,,,1,1,0
"Kepler-897 b","b","Kepler-897",,,"TIC 290005350","Gaia DR2 2139225048663855872",1,1,0,0,0,0,1,0,0,0,0,0,0,0.077000,,,0.077000,2.390,0.660,-0.250,2.390,6.30000,,,0.213,0.059,-0.022,0.213,0.01980,,,"M-R relationship",0.000000,,,0.000000,8.04726420,0.00002943,-0.00002943,79.300,,,,4.370,2.960,-2.520,0.040,0.142,-0.156,"[Fe/H]",0.288,,,5839.00,103.48,-143.96,5839.00,1.04,0.29,-0.11,1.04,1.03,0.06,-0.07,1.03,,,,,,,,,1519.2500000,53.8900000,-50.3800000,15.1770000,0.0920000,-0.0920000,13.4660000,0.0440000,-0.0440000,1,1,0
"Kepler-20 g","g","Kepler-20",,,"TIC 158554588","Gaia DR2 2102548708017562112",2,6,0,1,0,0,0,0,0,0,0,0,0,0.205500,0.002200,-0.002100,0.205500,4.710,,,4.710,19.96000,3.08000,-3.61000,0.420,,,0.420,0.06280,0.00969,-0.01136,"Msini",0.150000,0.010000,-0.100000,0.150000,34.94000000,0.03800000,-0.03500000,,,,,7.600,3.700,-3.700,0.070,0.080,-0.080,"[M/H]",-0.189,0.005,-0.005,5495.00,50.00,-50.00,5495.00,0.96,0.02,-0.02,0.96,0.95,0.05,-0.05,0.95,2.0000,,,2.0000,,,,,282.5630000,1.7760000,-1.7530000,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,2,6,0
"Kepler-317 b","b","Kepler-317",,,"TIC 138890353","Gaia DR2 2052163518963966336",1,2,0,0,0,0,1,0,0,0,0,0,0,0.061000,,,0.061000,2.090,0.960,-0.960,2.090,109.80000,113.60000,-95.90000,0.186,0.086,-0.086,0.186,0.34500,0.35700,-0.30200,"Mass",0.000000,,,0.000000,5.52424200,0.00002700,-0.00002700,87.890,,,,3.720,2.800,-2.040,0.130,0.152,-0.144,"[Fe/H]",-0.208,,,5497.00,200.00,-200.00,5497.00,0.94,0.43,-0.43,0.94,0.86,0.06,-0.03,0.86,,,,,,,,,940.5840000,26.1290000,-24.7770000,15.6650000,0.1830000,-0.1830000,13.6680000,0.0470000,-0.0470000,1,2,0
"Kepler-1279 b","b","Kepler-1279",,,"TIC 121465371","Gaia DR2 2100559554044410624",1,1,0,0,0,0,1,0,0,0,0,0,0,0.163300,,,0.163300,1.750,0.880,-0.270,1.750,3.71000,,,0.156,0.079,-0.024,0.156,0.01170,,,"M-R relationship",0.000000,,,0.000000,23.47741010,0.00024450,-0.00024450,89.970,,,,2.820,0.804,-1.100,0.060,0.134,-0.141,"[Fe/H]",0.693,,,6221.00,97.80,-110.44,6221.00,1.33,0.62,-0.19,1.33,1.21,0.19,-0.10,1.21,,,,,,,,,1494.2200000,36.0000000,-34.3800000,14.1370000,0.1720000,-0.1720000,12.6200000,0.0240000,-0.0240000,1,1,0
"Kepler-1083 b","b","Kepler-1083",,,"TIC 164458639","Gaia DR2 2106904698207543936",1,1,0,0,0,0,1,0,0,0,0,0,0,0.189900,,,0.189900,3.360,0.160,-0.630,3.360,11.20000,,,0.300,0.014,-0.056,0.300,0.03540,,,"M-R relationship",0.000000,,,0.000000,33.41779930,0.00018540,-0.00018540,88.080,,,,4.680,5.750,-2.820,-0.020,0.155,-0.166,"[Fe/H]",-0.473,,,5049.00,45.47,-46.43,5049.00,0.77,0.03,-0.04,0.77,0.81,0.04,-0.04,0.81,,,,,,,,,902.6330000,24.9990000,-23.7090000,16.1030000,0.0350000,-0.0350000,13.8150000,0.0580000,-0.0580000,1,1,0
"Kepler-435 b","b","Kepler-435",,,"TIC 63211674","Gaia DR2 2125913531966017408",1,1,0,1,0,0,1,0,0,0,0,0,0,0.094800,0.001800,-0.001800,0.094800,22.310,2.020,-2.020,22.310,266.97000,47.67000,-47.67000,1.990,0.180,-0.180,1.990,0.84000,0.15000,-0.15000,"Mass",0.114000,0.077000,-0.077000,0.114000,8.60015360,0.00000180,-0.00000180,85.510,0.520,-0.520,,2.250,0.420,-0.420,-0.180,0.110,-0.110,"[Fe/H]",1.129,0.089,-0.089,6161.00,94.00,-94.00,6161.00,3.21,0.30,-0.30,3.21,1.54,0.09,-0.09,1.54,6.0000,1.0000,-1.0000,6.0000,,,,,1418.7700000,35.3700000,-35.3700000,13.7040000,0.1140000,-0.1140000,12.2910000,0.0220000,-0.0220000,1,1,0
"Kepler-1829 b","b","Kepler-1829",,,"TIC 299028577","Gaia DR2 2133457388621345024",1,1,0,0,0,0,1,0,0,0,0,0,0,0.055900,,,0.055900,2.479,,,2.479,6.71000,,,0.221,,,0.221,0.02110,,,"M-R relationship",0.000000,,,0.000000,5.18671989,,,88.440,,,,4.400,2.400,-2.400,0.000,0.300,-0.300,"[Fe/H]",-0.394,,,5230.00,158.00,-158.00,5230.00,0.78,0.12,-0.06,0.78,0.87,0.06,-0.10,0.87,,,,,,,,,679.9210000,9.7340000,-9.4670000,15.2180000,0.1490000,-0.1490000,13.0810000,0.0350000,-0.0350000,1,1,0
"Kepler-79 d","d","Kepler-79",,,"TIC 239306681","Gaia DR2 2076085318570299136",1,4,0,0,0,0,1,0,0,0,0,0,0,0.287000,0.004000,-0.004000,0.287000,7.160,0.130,-0.160,7.160,6.00000,2.10000,-1.60000,0.639,0.012,-0.014,0.639,0.01900,0.00660,-0.00500,"Mass",0.025000,0.059000,-0.023000,0.025000,52.09020000,0.00090000,-0.00100000,89.930,0.070,-0.030,,3.440,0.600,-0.910,-0.073,0.062,-0.009,"[M/H]",0.342,0.034,-0.041,6174.00,83.00,-117.00,6174.00,1.30,0.03,-0.03,1.30,1.17,0.04,-0.05,1.17,,,,,,,,,1020.7200000,17.0750000,-17.0750000,14.0360000,0.1260000,-0.1260000,12.6060000,0.0310000,-0.0310000,1,4,0
"Kepler-215 b","b","Kepler-215",,,"TIC 271352188","Gaia DR2 2079885608708649344",1,4,0,0,0,0,1,0,0,0,0,0,0,0.084000,,,0.084000,1.620,0.400,-0.400,1.620,3.26000,,,0.145,0.036,-0.036,0.145,0.01020,,,"M-R relationship",0.000000,,,0.000000,9.36067200,0.00004000,-0.00004000,86.690,,,,1.620,0.900,-0.422,-0.443,0.012,-0.012,"[M/H]",-0.117,,,5739.00,164.00,-164.00,5739.00,1.03,0.24,-0.24,1.03,0.94,0.03,-0.04,0.94,,,,,,,,,485.9970000,3.6540000,-3.6540000,13.6780000,0.1260000,-0.1260000,11.9960000,0.0190000,-0.0190000,1,4,0
"Kepler-65 c","c","Kepler-65",,,"TIC 121731834","Gaia DR2 2102119176929154304",1,4,0,1,0,0,1,0,0,0,0,0,0,0.068000,0.004000,-0.002000,0.068000,2.580,0.060,-0.060,2.580,5.40000,1.70000,-1.70000,0.230,0.005,-0.005,0.230,0.01700,0.00540,-0.00520,"Mass",0.020000,0.022000,-0.013000,0.020000,5.85994400,0.00000300,-0.00000300,92.330,0.290,-0.260,,2.900,0.700,-0.700,0.170,0.060,-0.060,"[Fe/H]",0.467,0.016,-0.016,6211.00,66.00,-66.00,6211.00,1.41,0.03,-0.03,1.41,1.25,0.06,-0.06,1.25,10.4000,0.6000,-0.6000,10.4000,,,,,303.7280000,2.7080000,-2.6610000,10.9220000,0.0080000,-0.0080000,9.8060000,0.0170000,-0.0170000,1,4,0
"Kepler-901 b","b","Kepler-901",,,"TIC 122712179","Gaia DR2 2101525749889208576",1,1,0,0,0,0,1,0,0,0,0,0,0,0.037800,,,0.037800,1.370,0.070,-0.060,1.370,2.45000,,,0.122,0.006,-0.005,0.122,0.00771,,,"M-R relationship",0.000000,,,0.000000,3.51749439,0.00000352,-0.00000352,86.490,,,,3.800,5.190,-2.120,-0.300,0.138,-0.143,"[Fe/H]",-0.984,,,4184.00,52.61,-49.25,4184.00,0.57,0.03,-0.02,0.57,0.59,0.04,-0.04,0.59,,,,,,,,,253.8670000,1.5100000,-1.4920000,15.8500000,0.2000000,-0.2000000,11.9070000,0.0190000,-0.0190000,1,1,0
"Kepler-1172 b","b","Kepler-1172",,,"TIC 122507231","Gaia DR2 2051103314872392192",1,1,0,0,0,0,1,0,0,0,0,0,0,0.168000,,,0.168000,3.200,0.400,-0.280,3.200,10.30000,,,0.285,0.036,-0.025,0.285,0.03250,,,"M-R relationship",0.000000,,,0.000000,26.02044230,0.00018860,-0.00018860,88.670,,,,4.370,5.380,-2.680,-0.040,0.145,-0.193,"[Fe/H]",-0.161,,,5558.00,144.94,-137.66,5558.00,0.89,0.11,-0.07,0.89,0.92,0.06,-0.06,0.92,,,,,,,,,1306.5300000,53.1200000,-53.1200000,16.0830000,0.0920000,-0.0920000,14.1400000,0.0620000,-0.0620000,1,1,0
"Kepler-345 b","b","Kepler-345",,,"TIC 271546191","Gaia DR2 2080067749681845504",1,2,0,0,0,0,1,0,0,0,0,0,0,0.066000,,,0.066000,0.740,0.060,-0.060,0.740,0.50000,0.30000,-0.30000,0.066,0.005,-0.005,0.066,0.00157,0.00094,-0.00094,"Mass",0.000000,,,0.000000,7.41556300,0.00005400,-0.00005400,89.050,,,,2.750,2.340,-1.100,0.191,0.013,-0.013,"[M/H]",-0.495,0.040,-0.044,4504.00,100.00,-100.00,4504.00,0.62,0.03,-0.03,0.62,0.61,0.01,-0.01,0.61,,,,,,,,,260.0000000,6.3960000,-7.2100000,14.3440000,0.0800000,-0.0800000,11.5510000,0.0170000,-0.0170000,1,2,0
"Kepler-195 c","c","Kepler-195",,,"TIC 298837729","Gaia DR2 2130982113070876160",1,2,0,0,0,0,1,0,0,0,0,0,0,0.197000,,,0.197000,1.550,0.570,-0.570,1.550,3.02000,,,0.138,0.051,-0.051,0.138,0.00951,,,"M-R relationship",0.000000,,,0.000000,34.09686300,0.00037100,-0.00037100,89.650,,,,0.700,3.800,-3.800,-0.110,0.157,-0.194,"[Fe/H]",-0.367,,,5329.00,200.00,-200.00,5329.00,0.78,0.28,-0.28,0.78,0.84,0.05,-0.05,0.84,,,,,,,,,652.0510000,8.9000000,-8.6680000,14.8630000,0.1140000,-0.1140000,12.9590000,0.0290000,-0.0290000,1,2,0
"Kepler-724 b","b","Kepler-724",,,"TIC 270521439","Gaia DR2 2126432196518051200",1,1,0,0,0,0,1,0,0,0,0,0,0,0.043300,,,0.043300,3.290,0.400,-0.230,3.290,10.80000,,,0.294,0.036,-0.021,0.294,0.03410,,,"M-R relationship",0.000000,,,0.000000,3.31494634,0.00000172,-0.00000172,85.110,,,,4.370,6.060,-2.670,-0.020,0.136,-0.174,"[Fe/H]",-0.223,,,5437.00,176.17,-122.72,5437.00,0.86,0.10,-0.06,0.86,0.90,0.06,-0.05,0.90,,,,,,,,,853.1190000,20.1720000,-20.1720000,15.2840000,0.1030000,-0.1030000,13.3670000,0.0360000,-0.0360000,1,1,0
"Kepler-186 b","b","Kepler-186",,,"TIC 268159861","Gaia DR2 2079000330051813504",1,5,0,0,0,0,1,0,0,0,0,0,0,0.034300,0.004600,-0.004600,0.034300,1.070,0.120,-0.120,1.070,1.24000,,,0.095,0.011,-0.011,0.095,0.00390,,,"M-R relationship",0.000000,,,0.000000,3.88679070,0.00000620,-0.00000630,89.600,,,"M1",4.000,,,-0.280,0.100,-0.100,"[M/H]",-1.385,0.086,-0.107,3788.00,54.00,-54.00,3788.00,0.47,0.05,-0.05,0.47,0.48,0.06,-0.06,0.48,,,,,,,,,177.5940000,0.7740000,-0.7740000,15.1380000,0.0800000,-0.0800000,11.6050000,0.0180000,-0.0180000,1,5,0
"Kepler-277 c","c","Kepler-277",,,"TIC 120961424","Gaia DR2 2100389610777053056",1,2,0,0,0,0,1,0,0,0,0,0,0,0.212900,,,0.212900,3.360,0.830,-0.720,3.360,64.20000,18.10000,-15.70000,0.300,0.074,-0.064,0.300,0.20200,0.05700,-0.04900,"Mass",0.000000,,,0.000000,33.00600000,,,89.330,,,,5.000,1.000,-1.000,0.100,0.107,-0.083,"[Fe/H]",0.568,0.022,-0.022,5946.00,56.00,-56.00,5946.00,1.69,0.42,-0.36,1.69,1.12,0.19,-0.11,1.12,,,,,,,,,976.6430000,15.7380000,-15.2540000,13.5440000,0.1030000,-0.1030000,11.9660000,0.0230000,-0.0230000,1,2,0
"Kepler-1487 b","b","Kepler-1487",,,"TIC 184015844","Gaia DR2 2073153024144692736",1,2,0,0,0,0,1,0,0,0,0,0,0,0.089800,,,0.089800,2.130,0.850,-0.450,2.130,5.18000,,,0.190,0.076,-0.040,0.190,0.01630,,,"M-R relationship",0.000000,,,0.000000,7.31946363,0.00004683,-0.00004683,89.440,,,,1.950,0.705,-0.474,0.040,0.131,-0.153,"[Fe/H]",0.557,,,6541.00,230.55,-190.33,6541.00,1.63,0.65,-0.32,1.63,1.38,0.21,-0.16,1.38,,,,,,,,,1014.6200000,18.8600000,-18.1960000,13.6000000,0.1030000,-0.1030000,12.2890000,0.0170000,-0.0170000,1,2,0
"Kepler-1350 b","b","Kepler-1350",,,"TIC 158664221","Gaia DR2 2130405728459739520",1,2,0,0,0,0,1,0,0,0,0,0,0,0.041300,,,0.041300,2.520,0.160,-0.250,2.520,6.90000,,,0.225,0.014,-0.022,0.225,0.02170,,,"M-R relationship",0.000000,,,0.000000,4.49686040,0.00001273,-0.00001273,89.950,,,,4.570,5.830,-2.710,-0.060,0.120,-0.160,"[Fe/H]",-1.283,0.091,-0.114,3827.00,45.42,-59.63,3827.00,0.53,0.03,-0.05,0.53,0.55,0.03,-0.05,0.55,,,,,,,,,340.6910000,5.8225000,-5.8225000,16.5770000,0.6640000,-0.6640000,13.1220000,0.0270000,-0.0270000,1,2,0
"Kepler-190 b","b","Kepler-190",,,"TIC 158789380","Gaia DR2 2127179245948119424",1,2,0,0,0,0,1,0,0,0,0,0,0,0.030000,,,0.030000,1.560,0.110,-0.110,1.560,3.05000,,,0.139,0.010,-0.010,0.139,0.00961,,,"M-R relationship",0.000000,,,0.000000,2.01999900,0.00000300,-0.00000300,86.200,,,,3.720,2.830,-1.830,0.020,0.104,-0.109,"[Fe/H]",-0.441,,,5106.00,100.00,-100.00,5106.00,0.80,0.05,-0.05,0.80,0.86,0.03,-0.03,0.86,,,,,,,,,433.3870000,2.7670000,-2.7330000,14.3360000,0.0690000,-0.0690000,12.2310000,0.0160000,-0.0160000,1,2,0
"Kepler-995 b","b","Kepler-995",,,"TIC 120315006","Gaia DR2 2100214788429438336",1,1,0,0,0,0,1,0,0,0,0,0,0,0.170100,,,0.170100,2.700,0.190,-0.170,2.700,7.75000,,,0.241,0.017,-0.015,0.241,0.02440,,,"M-R relationship",0.000000,,,0.000000,28.26731672,0.00008643,-0.00008643,89.990,,,,5.010,6.050,-3.200,-0.070,0.148,-0.170,"[Fe/H]",-0.419,,,5206.00,110.94,-74.71,5206.00,0.80,0.05,-0.05,0.80,0.83,0.04,-0.05,0.83,,,,,,,,,609.6380000,9.1200000,-8.8590000,15.1730000,0.1140000,-0.1140000,13.0210000,0.0270000,-0.0270000,1,1,0
"Kepler-442 b","b","Kepler-442",,,"TIC 120499135","Gaia DR2 2100258047339711488",1,1,0,0,0,0,1,0,0,0,0,0,0,0.409000,0.209000,-0.060000,0.409000,1.340,0.110,-0.180,1.340,2.36000,,,0.120,0.010,-0.020,0.120,0.00742,,,"M-R relationship",0.040000,0.080000,-0.040000,0.040000,112.30530000,0.00240000,-0.00280000,89.940,0.060,-0.120,,2.900,8.100,-0.200,-0.370,0.100,-0.100,"[Fe/H]",-0.932,0.081,-0.064,4402.00,100.00,-100.00,4402.00,0.60,0.02,-0.02,0.60,0.61,0.03,-0.03,0.61,,,,,,,,,365.9650000,2.7630000,-2.7240000,15.3220000,0.0570000,-0.0570000,12.4880000,0.0220000,-0.0220000,1,1,0
"Kepler-539 c","c","Kepler-539",,,"TIC 171510762","Gaia DR2 2075377679763353984",1,2,0,0,0,0,0,0,0,0,0,0,0,2.420000,0.500000,-0.510000,2.420000,13.300,,,13.300,762.79200,381.39600,-381.39600,1.180,,,1.180,2.40000,1.20000,-1.20000,"Mass",0.500000,0.100000,-0.100000,0.500000,1000.00000000,,,,,,"G2 V",0.910,0.840,-0.840,-0.010,0.070,-0.070,"[Fe/H]",-0.094,0.008,-0.008,5820.00,80.00,-80.00,5820.00,0.95,0.02,-0.02,0.95,1.05,0.04,-0.04,1.05,4.4000,0.5000,-0.5000,4.4000,11.77,0.02,-0.02,11.77,307.3180000,3.5700000,-3.4890000,12.4440000,0.0570000,-0.0570000,10.9150000,0.0180000,-0.0180000,1,2,0
