hostname,Prot,e_Prot,db
AU Mic,4.86,0.0,nasa
K2-36,17.13,0.1,nasa
HATS-75,35.04,0.0,nasa
TRAPPIST-1,1.4,0.05,nasa
TOI-1272,28.3,0.6,nasa
K2-332,31.71,3.6,nasa
Qatar-5,12.1,,nasa
WASP-10,11.91,0.05,nasa
HD 73583,12.2,0.2,nasa
TOI-2095,40.0,0.4,nasa
LHS 1815,47.8,0.7,nasa
GJ 367,51.3,0.13,nasa
WASP-89,20.2,0.4,nasa
K2-264,22.2,0.6,nasa
GJ 9827,28.16,3.38,nasa
K2-240,10.8,0.1,nasa
TOI-2981,18.3,,nasa
EPIC 249893012,41.0,10.0,nasa
TOI-4438,68.0,6.0,nasa
K2-18,38.6,0.5,nasa
K2-19,20.54,0.3,nasa
NGTS-21,17.89,0.08,nasa
TOI-260,31.0,6.0,nasa
NGTS-10,17.29,0.01,nasa
K2-237,5.07,0.02,nasa
LTT 9779,45.0,,nasa
2MASS J04372171+2651014,1.84,,nasa
HD 3167,23.52,2.87,nasa
GJ 1002,126.0,15.0,nasa
HAT-P-19,35.5,2.5,nasa
HD 164922,42.3,1.3,nasa
HD 4760,1531.0,1535.0,nasa
HD 80653,19.55,0.57,nasa
K2-31,18.38,0.06,nasa
Qatar-1,23.7,0.1,nasa
GJ 806,41.4,6.8,nasa
HD 48265,45.0,,nasa
TOI-4010,37.7,15.0,nasa
HD 74698,30.0,3.0,nasa
K2-415,4.3,0.06,nasa
HIP 67522,1.42,0.02,nasa
HD 23472,40.1,1.0,nasa
TOI-1820,25.0,6.0,nasa
GJ 3470,21.54,0.49,nasa
GJ 463,14.0,,nasa
TOI-1201,21.0,2.0,nasa
BD-14 3065 A,4.3,0.2,nasa
TOI-2447,13.0,,nasa
V1298 Tau,2.87,0.02,nasa
HD 207496,12.36,0.12,nasa
GJ 649,24.89,0.35,nasa
HIP 113103,9.92,0.23,nasa
GJ 273,99.0,,nasa
XO-2 N,28.6,1.3,nasa
TOI-836,21.99,0.1,nasa
GJ 1132,122.3,6.0,nasa
TOI-2134,45.78,5.56,nasa
WASP-22,16.0,3.0,nasa
L 168-9,29.0,2.0,nasa
TOI-622,3.77,0.22,nasa
K2-351,25.23,1.82,nasa
CoRoT-6,6.4,0.5,nasa
TOI-286,36.0,15.0,nasa
TOI-5005,21.01,0.6,nasa
Gl 686,38.73,0.29,nasa
TOI-4914,25.7,,nasa
TOI-2025,13.2,0.7,nasa
WASP-148,26.2,1.3,nasa
TYC 2187-512-1,40.0,1.0,nasa
USco1621 A,2.06,,nasa
Gliese 12,85.0,,nasa
WASP-166,12.1,0.9,nasa
HD 27894,44.0,,nasa
HD 30177,45.0,,nasa
HD 60292,400.0,,nasa
TOI-2374,50.2,2.8,nasa
YZ Cet,68.28,0.28,nasa
K2-102,11.5,0.7,nasa
WASP-107,17.0,1.0,nasa
HD 141937,13.25,,nasa
GJ 3323,33.0,,nasa
GJ 625,77.8,5.5,nasa
Wolf 1061,95.0,,nasa
AF Lep,1.01,0.01,nasa
HD 117207,39.0,,nasa
CoRoT-2,4.52,0.02,nasa
TOI-663,30.0,3.1,nasa
TOI-4515,15.5,0.3,nasa
HD 183579,24.8,5.4,nasa
TOI-776,21.13,0.06,nasa
HATS-18,9.8,0.4,nasa
GJ 3988,116.0,3.0,nasa
TOI-2641,35.6,13.1,nasa
TOI-4201,17.3,0.4,nasa
HD 110082,2.34,0.07,nasa
TOI-2141,21.0,5.0,nasa
HD 260655,37.5,0.4,nasa
TOI-1347,16.1,0.3,nasa
HIP 94235,2.24,0.11,nasa
TOI-1235,44.7,4.5,nasa
TOI-1135,5.13,0.27,nasa
TOI-1338 A,19.0,3.0,nasa
HD 48948,43.45,1.0,nasa
TOI-1710,22.5,2.0,nasa
TOI-5293 A,20.6,0.4,nasa
HD 17156,12.8,,nasa
TOI-1130,25.6,1.2,nasa
WASP-85 A,15.1,0.6,nasa
HD 112300,4200.0,,nasa
TOI-908,21.93,6.17,nasa
TOI-3984 A,50.0,2.8,nasa
HD 63433,6.45,0.05,nasa
TOI-540,0.73,0.0,nasa
TOI-942,3.39,0.01,nasa
HATS-47,6.42,0.28,nasa
TOI-904,17.1,,nasa
TOI-1224,1.23,,nasa
TOI-615,5.38,0.31,nasa
LHS 3154,114.0,22.0,nasa
TOI-2076,6.84,0.58,nasa
WASP-84,14.36,0.35,nasa
LHS 475,79.32,,nasa
TOI-1759,35.65,0.17,nasa
HATS-57,12.71,0.04,nasa
TOI-1685,18.66,0.71,nasa
HATS-76,15.16,0.0,nasa
GJ 1151,140.0,10.0,nasa
GJ 9066,1.96,0.02,nasa
HD 73256,13.97,,nasa
HD 16175,19.7,5.5,nasa
K2-29,10.79,0.02,nasa
TOI-2048,7.97,0.19,nasa
TOI-2260,8.45,0.03,nasa
WASP-69,23.07,0.16,nasa
WASP-93,1.45,0.4,nasa
GJ 86,30.0,,nasa
GJ 96,29.6,2.8,nasa
HATS-16,12.35,0.02,nasa
HD 104067,18.3,4.9,nasa
Qatar-6,12.75,1.75,nasa
TOI-1052,12.8,2.3,nasa
TOI-1468,42.5,1.5,nasa
HD 115404 A,19.0,,nasa
HD 207897,37.0,7.0,nasa
HD 77946,13.56,0.28,nasa
TOI-1333,5.3,0.16,nasa
TOI-1448,42.28,0.09,nasa
TOI-1842,13.4,0.9,nasa
HD 209458,10.65,0.75,nasa
GJ 514,28.0,2.9,nasa
HAT-P-21,15.9,0.8,nasa
HD 152079,31.0,,nasa
YSES 2,2.73,,nasa
K2-180,15.7,7.5,nasa
K2-185,17.35,2.87,nasa
HD 141004,18.0,,nasa
HD 219828,31.7,0.8,nasa
TOI-4633,12.1,1.3,nasa
WASP-118,6.12,1.11,nasa
TOI-2158,19.0,3.0,nasa
WASP-32,11.6,1.0,nasa
TOI-674,52.0,5.0,nasa
HD 118203,32.0,8.0,nasa
K2-286,23.8,3.7,nasa
K2-33,6.29,0.17,nasa
HS Psc,1.09,0.0,nasa
GJ 238,44.0,2.0,nasa
K2-136,15.0,1.0,nasa
K2-139,17.24,0.12,nasa
K2-100,4.3,0.1,nasa
WASP-113,10.56,1.8,nasa
GJ 160.2,43.6,,nasa
K2-95,23.9,2.4,nasa
LHS 1678,64.0,22.0,nasa
GJ 1265,70.0,,nasa
WASP-180 A,3.3,,nasa
HAT-P-68,24.59,0.06,nasa
eps Ind A,-35.73,0.01,nasa
TOI-1268,10.9,0.5,nasa
TIC 257060897,92.0,,nasa
TOI-544,19.34,0.08,nasa
TOI-1416,17.6,,nasa
HD 34445,22.0,,nasa
HN Peg,4.5,0.5,nasa
GJ 3473,168.3,4.2,nasa
HD 62364,14.0,1.0,nasa
TOI-2015,8.7,0.9,nasa
HD 73344,9.09,0.04,nasa
