,pl-name,pl-letter,hostname,hd-name,hip-name,tic-id,gaia-id,pl-orbsmax,pl-orbsmaxerr1,pl-orbsmaxerr2,pl-rade,pl-radeerr1,pl-radeerr2,pl-bmasse,pl-bmasseerr1,pl-bmasseerr2,pl-radj,pl-radjerr1,pl-radjerr2,pl-bmassj,pl-bmassjerr1,pl-bmassjerr2,pl-bmassprov,pl-orbeccen,pl-orbeccenerr1,pl-orbeccenerr2,pl-orbper,pl-orbpererr1,pl-orbpererr2,st-spectype,st-age,st-ageerr1,st-ageerr2,st-met,st-meterr1,st-meterr2,st-metratio,st-lum,st-lumerr1,st-lumerr2,st-teff,st-tefferr1,st-tefferr2,st-rad,st-raderr1,st-raderr2,st-mass,st-masserr1,st-masserr2,st-vsin,st-vsinerr1,st-vsinerr2,st-rotp,st-rotperr1,st-rotperr2,sy-dist,sy-disterr1,sy-disterr2,sy-vmag,sy-vmagerr1,sy-vmagerr2,sy-kmag,sy-kmagerr1,sy-kmagerr2,sy-snum,sy-pnum,sy-mnum,KIC,koi-name,kepler-name,KOI,TIC,GAIA,e_pl_orbsmax,e_pl_rade,e_pl_bmasse,e_pl_radj,e_pl_bmassj,e_pl_orbeccen,e_pl_orbper,e_st_age,e_st_met,e_st_lum,e_st_teff,e_st_rad,e_st_mass,e_st_vsin,e_st_rotp,e_sy_dist,e_sy_vmag,e_sy_kmag,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
409,TOI-4137 b,b,TOI-4137,,,TIC 417646390,Gaia DR2 497750842338402560,0.05222,0.00089,-0.00096,13.574,0.448,-0.437,457.67291,54.03083,-47.67426,1.211,0.04,-0.039,1.44,0.17,-0.15,Mass,0.0,0.048,-0.052,3.8016122,6.5e-06,-6.5e-06,,2.1,1.3,-1.0,0.182,0.083,-0.085,[Fe/H],0.439,0.03,-0.028,6202.0,94.0,-90.0,1.44,0.04,-0.04,1.31,0.07,-0.07,,,,,,,334.993,3.313,-3.25,11.31,0.009,-0.009,10.004,0.022,-0.022,1,1,0,-1,,,-1,417646390,4.9775084233840256e+17,0.00096,0.448,54.03083,0.04,0.17,0.052,6.5e-06,1.3,0.085,0.03,94.0,0.04,0.07,,,3.313,0.009,0.022,-16.33912819949504,,,,,
410,TOI-2145 b,b,TOI-2145,,HIP 86040,TIC 88992642,Gaia DR2 1344163891352965632,0.111,0.002,-0.002,12.419,0.31,-0.254,1767.0,71.0,-72.0,1.108,0.028,-0.023,5.5596,0.22339,-0.22654,Mass,0.21,0.018,-0.018,10.261127,1.1e-05,-1.1e-05,,1.6,0.2,-0.1,0.285,0.061,-0.051,[Fe/H],1.007,0.026,-0.027,6200.0,84.0,-81.0,2.75,0.06,-0.05,1.72,0.03,-0.04,,,,,,,224.731,1.102,-1.092,9.07,0.03,-0.03,7.761,0.031,-0.031,1,1,0,-1,,,-1,88992642,1.3441638913529656e+18,0.002,0.31,72.0,0.028,0.22654,0.018,1.1e-05,0.2,0.061,0.027,84.0,0.06,0.04,,,1.102,0.03,0.031,-15.424382703837297,,,,,
411,TOI-4010 e,e,TOI-4010,,,TIC 352682207,Gaia DR2 525352325110310400,1.57,0.12,-0.13,13.3,,,692.0,66.0,-63.0,1.19,,,2.17728,0.20766,-0.19822,Msini,0.26,0.04,-0.04,762.0,90.0,-90.0,K V,6.1,3.1,-3.1,0.37,0.07,-0.07,[Fe/H],-0.4,0.028,-0.015,4960.0,36.0,-36.0,0.83,0.01,-0.01,0.88,0.03,-0.03,1.3,0.5,-0.5,37.7,15.0,-15.0,177.504,0.994,-0.982,12.291,0.069,-0.069,10.157,0.021,-0.021,1,4,0,-1,,,-1,352682207,5.253523251103104e+17,0.13,,66.0,,0.20766,0.04,90.0,3.1,0.07,0.028,36.0,0.01,0.03,0.5,15.0,0.994,0.069,0.021,-16.6264730236286,K,, V,,K V
412,TOI-3693 b,b,TOI-3693,,,TIC 240823272,Gaia DR2 404433018447476096,0.0813,0.0011,-0.0012,12.599,0.325,-0.258,324.18498,76.27882,-69.92225,1.124,0.029,-0.023,1.02,0.24,-0.22,Mass,0.0,0.048,-0.052,9.088516,2.6e-05,-2.7e-05,,3.0,3.8,-2.1,0.071,0.079,-0.076,[Fe/H],-0.344,0.031,-0.03,5321.0,86.0,-82.0,0.79,0.02,-0.01,0.87,0.04,-0.04,,,,,,,176.436,1.224,-1.208,11.948,0.018,-0.018,10.151,0.02,-0.02,1,1,0,-1,,,-1,240823272,4.044330184474761e+17,0.0012,0.325,76.27882,0.029,0.24,0.052,2.7e-05,3.8,0.079,0.031,86.0,0.02,0.04,,,1.224,0.018,0.02,-16.56523114179095,,,,,
413,HD 17156 b,b,HD 17156,HD 17156,HIP 13192,TIC 302773669,Gaia DR2 545560867790611072,0.16278,0.00076,-0.00076,12.33,0.336,-0.336,1115.5833,66.7443,-66.7443,1.1,0.03,-0.03,3.51,0.21,-0.21,Mass,0.68,0.0,0.0,21.21663,0.00045,-0.00045,G5,3.37,0.2,-0.47,0.19,,,[Fe/H],0.39,0.05,-0.05,6040.0,24.0,-24.0,1.55,0.04,-0.04,1.41,0.12,-0.12,2.8,0.5,-0.5,12.8,,,78.0863,0.2397,-0.2383,8.17,0.03,-0.03,6.763,0.024,-0.024,1,1,0,-1,,,-1,302773669,5.455608677906111e+17,0.00076,0.336,66.7443,0.03,0.21,0.0,0.00045,0.47,,0.05,24.0,0.04,0.12,0.5,,0.2397,0.03,0.024,-15.123206425103216,G,5.0,,25.0,G5 
414,TOI-3023 b,b,TOI-3023,,,TIC 454248975,Gaia DR2 5227928170880093568,0.0505,0.0015,-0.0009,16.432,0.482,-0.359,197.05361,31.78284,-28.60456,1.466,0.043,-0.032,0.62,0.1,-0.09,Mass,0.0,,,3.9014971,3.1e-06,-3.1e-06,,7.0,1.7,-2.2,0.085,0.084,-0.083,[Fe/H],0.444,0.033,-0.034,5760.0,85.0,-88.0,1.67,0.05,-0.03,1.12,0.11,-0.06,,,,,,,389.916,3.196,-3.146,12.252,0.08,-0.08,10.243,0.023,-0.023,1,1,0,-1,,,-1,454248975,5.227928170880093e+18,0.0015,0.482,31.78284,0.043,0.1,,3.1e-06,2.2,0.084,0.034,88.0,0.05,0.11,,,3.196,0.08,0.023,-16.46599884843417,,,,,
415,HAT-P-2 b,b,HAT-P-2,HD 147506,HIP 80076,TIC 39903405,Gaia DR2 1380825667768742144,0.06814,0.00051,-0.00051,10.66,0.437,-0.594,2866.81223,31.78284,-31.78284,0.951,0.039,-0.053,9.02,0.1,-0.1,Mass,0.5172,0.0019,-0.0019,5.6335158,3.6e-06,-3.6e-06,F8,1.44,0.47,-0.47,0.18,,,[Fe/H],0.53,0.08,-0.08,6380.0,,,1.39,0.09,-0.09,1.33,0.03,-0.03,20.8,0.3,-0.3,,,,127.774,0.425,-0.423,8.72,0.03,-0.03,7.603,0.02,-0.02,1,2,0,-1,,,-1,39903405,1.380825667768742e+18,0.00051,0.594,31.78284,0.053,0.1,0.0019,3.6e-06,0.47,,0.08,,0.09,0.03,0.3,,0.425,0.03,0.02,-15.410941716658526,F,8.0,,38.0,F8 
416,TOI-4127 b,b,TOI-4127,,,TIC 141488193,Gaia DR2 1111639314047794944,0.3081,0.0055,-0.0058,12.285,0.437,-0.359,731.00534,34.96112,-34.96112,1.096,0.039,-0.032,2.3,0.11,-0.11,Mass,0.7471,0.0078,-0.0086,56.39879,0.0001,-0.0001,F V,4.8,2.1,-2.1,0.14,0.12,-0.12,[Fe/H],0.316,0.006,-0.006,6096.0,115.0,-115.0,1.29,0.05,-0.05,1.23,0.07,-0.07,7.7,0.5,-0.5,,,,319.632,3.351,-3.283,11.441,0.01,-0.01,10.245,0.016,-0.016,1,1,0,-1,,,-1,141488193,1.111639314047795e+18,0.0058,0.437,34.96112,0.039,0.11,0.0086,0.0001,2.1,0.12,0.006,115.0,0.05,0.07,0.5,,3.351,0.01,0.016,-16.421357239767378,F,, V,,F V
417,NGTS-17 b,b,NGTS-17,,,TIC 1309019,Gaia DR2 4873225513593736960,0.0391,0.0043,-0.0043,13.899,1.233,-1.233,242.8209,61.97654,-52.12386,1.24,0.11,-0.11,0.764,0.195,-0.164,Mass,0.0,,,3.24253,1e-05,-1e-05,G4 V,9.22,1.41,-1.4,0.15,0.1,-0.1,[Fe/H],0.241,,,5650.0,100.0,-100.0,1.34,0.12,-0.12,1.03,0.03,-0.03,4.1,1.0,-1.0,,,,1040.28,22.05,-21.16,14.412,0.126,-0.126,12.724,0.029,-0.029,1,1,0,-1,,,-1,1309019,4.873225513593737e+18,0.0043,1.233,61.97654,0.11,0.195,,1e-05,1.41,0.1,,100.0,0.12,0.03,1.0,,22.05,0.126,0.029,-17.52135723322927,G,4.0, V,24.0,G4  V
418,TOI-3919 b,b,TOI-3919,,,TIC 23769326,Gaia DR2 1497132660589966976,0.0795,0.0014,-0.0016,12.319,0.583,-0.56,1233.17422,73.10053,-73.10053,1.099,0.052,-0.05,3.88,0.23,-0.23,Mass,0.259,0.033,-0.036,7.433234,1.4e-05,-1.4e-05,,3.1,1.9,-1.7,0.175,0.096,-0.094,[Fe/H],0.336,0.016,-0.016,6100.0,110.0,-110.0,1.32,0.05,-0.05,1.21,0.07,-0.07,7.73,0.09,-0.09,,,,604.591,9.023,-8.767,12.858,0.069,-0.069,11.502,0.02,-0.02,1,1,0,-1,,,-1,23769326,1.4971326605899668e+18,0.0016,0.583,73.10053,0.052,0.23,0.036,1.4e-05,1.9,0.096,0.016,110.0,0.05,0.07,0.09,,9.023,0.069,0.02,-16.954980091111768,,,,,
419,TOI-3331 A b,b,TOI-3331 A,,,TIC 194795551,Gaia DR2 4042548116644168832,0.03144,0.00048,-0.00055,12.98,0.482,-0.482,721.47048,50.85255,-50.85255,1.158,0.043,-0.043,2.27,0.16,-0.16,Mass,0.0,0.048,-0.052,2.0180231,4.3e-06,-4.4e-06,,2.1,2.7,-1.5,0.148,0.084,-0.084,[Fe/H],-0.093,0.042,-0.038,5609.0,92.0,-87.0,0.95,0.03,-0.03,1.02,0.05,-0.05,,,,,,,217.193,2.748,-2.681,11.635,0.038,-0.038,9.914,0.026,-0.026,2,1,0,-1,,,-1,194795551,4.0425481166441687e+18,0.00055,0.482,50.85255,0.043,0.16,0.052,4.4e-06,2.7,0.084,0.042,92.0,0.03,0.05,,,2.748,0.038,0.026,-16.494748383414986,,,,,
420,TOI-4145 A b,b,TOI-4145 A,,,TIC 279947414,Gaia DR2 568619413331898240,0.04823,0.00075,-0.00079,13.305,0.359,-0.347,136.66622,41.31769,-41.31769,1.187,0.032,-0.031,0.43,0.13,-0.13,Mass,0.0,,,4.0664428,5.8e-06,-5.8e-06,,4.7,4.2,-3.1,0.168,0.084,-0.087,[Fe/H],-0.287,0.032,-0.027,5281.0,86.0,-76.0,0.86,0.02,-0.02,0.91,0.04,-0.04,,,,,,,205.387,1.197,-1.184,12.084,0.025,-0.025,10.286,0.021,-0.021,2,1,0,-1,,,-1,279947414,5.6861941333189824e+17,0.00079,0.359,41.31769,0.032,0.13,,5.8e-06,4.2,0.087,0.032,86.0,0.02,0.04,,,1.197,0.025,0.021,-16.64020263802883,,,,,
421,TOI-1736 c,c,TOI-1736,,,TIC 408618999,Gaia DR2 541725187117160960,1.37,0.03,-0.03,12.5,,,2800.0,500.0,-200.0,1.12,,,8.7,1.5,-0.6,Mass,0.3685,0.0021,-0.0021,571.25,0.46,-0.46,,9.2,1.3,-1.4,0.148,0.061,-0.058,[Fe/H],0.271,0.026,-0.026,5636.0,86.0,-80.0,1.43,0.03,-0.02,1.04,0.04,-0.03,4.0,0.6,-0.6,28.0,5.0,-5.0,88.9482,0.3219,-0.3198,8.953,0.002,-0.002,7.283,0.023,-0.023,1,2,0,-1,,,-1,408618999,5.4172518711716096e+17,0.03,,500.0,,1.5,0.0021,0.46,1.4,0.061,0.026,86.0,0.03,0.04,0.6,5.0,0.3219,0.002,0.023,-15.35533106305072,,,,,
422,NGTS-26 b,b,NGTS-26,,,TIC 392747437,Gaia DR2 6216644481523819776,0.049,0.0038,-0.0032,14.886,0.661,-0.538,92.80589,20.65885,-19.0697,1.328,0.059,-0.048,0.292,0.065,-0.06,Mass,0.0,,,4.5199279,9e-06,-9.2e-06,,11.5,1.3,-1.7,0.2,0.1,-0.1,[Fe/H],0.101,0.038,-0.041,5550.0,100.0,-100.0,1.16,0.05,-0.02,0.96,0.04,-0.03,1.5,0.8,-0.8,,,,1093.69,43.12,-40.03,15.009,0.206,-0.206,13.119,0.04,-0.04,1,1,0,-1,,,-1,392747437,6.21664448152382e+18,0.0038,0.661,20.65885,0.059,0.065,,9.2e-06,1.7,0.1,0.041,100.0,0.05,0.04,0.8,,43.12,0.206,0.04,-17.704845217676013,,,,,
423,HAT-P-53 b,b,HAT-P-53,,,TIC 189380158,Gaia DR2 323386882492982144,0.03159,0.00042,-0.00042,14.773,1.02,-1.02,471.65972,17.79848,-17.79848,1.318,0.091,-0.091,1.484,0.056,-0.056,Mass,0.134,,,1.9616241,3.9e-06,-3.9e-06,,4.67,1.45,-0.83,0.0,0.08,-0.08,[Fe/H],0.217,0.059,-0.05,5956.0,50.0,-50.0,1.21,0.08,-0.06,1.09,0.04,-0.04,4.1,0.5,-0.5,,,,666.802,15.276,-14.619,13.78,0.126,-0.126,12.1,0.019,-0.019,1,1,0,-1,,,-1,189380158,3.2338688249298214e+17,0.00042,1.02,17.79848,0.091,0.056,,3.9e-06,1.45,0.08,0.059,50.0,0.08,0.04,0.5,,15.276,0.126,0.019,-17.159050522784987,,,,,
424,NGTS-6 b,b,NGTS-6,,,TIC 1528696,Gaia DR2 4875693023844840448,0.01677,0.00032,-0.00032,14.863,1.087,-1.255,425.57437,8.89924,-8.89924,1.326,0.097,-0.112,1.339,0.028,-0.028,Mass,0.0,,,0.882059,8e-07,-8e-07,,9.77,0.25,-0.54,0.11,0.09,-0.09,[Fe/H],-0.592,0.015,-0.016,4730.0,44.0,-40.0,0.75,0.01,-0.01,0.77,0.03,-0.03,2.851,0.431,-0.431,,,,308.262,1.418,-1.407,14.237,0.126,-0.126,11.65,0.032,-0.032,1,1,0,-1,,,-1,1528696,4.87569302384484e+18,0.00032,1.255,8.89924,0.112,0.028,,8e-07,0.54,0.09,0.016,44.0,0.01,0.03,0.431,,1.418,0.126,0.032,-17.297896718790785,,,,,
425,HAT-P-64 b,b,HAT-P-64,,,TIC 455036659,Gaia DR2 3279418602369232000,0.05387,0.0003,-0.0003,19.089,0.785,-0.785,184.34048,57.20911,-41.31769,1.703,0.07,-0.07,0.58,0.18,-0.13,Mass,0.101,,,4.007232,1.7e-06,-1.7e-06,,2.88,0.13,-0.13,-0.113,0.027,-0.056,[Fe/H],0.668,0.026,-0.016,6457.0,29.0,-29.0,1.74,0.04,-0.03,1.3,0.02,-0.02,,,,,,,651.897,15.413,-14.728,12.855,0.149,-0.149,11.123,0.021,-0.021,1,1,0,-1,,,-1,455036659,3.279418602369232e+18,0.0003,0.785,57.20911,0.07,0.18,,1.7e-06,0.13,0.056,0.026,29.0,0.04,0.02,,,15.413,0.149,0.021,-16.68841470011424,,,,,
426,TOI-3629 b,b,TOI-3629,,,TIC 455784423,Gaia DR2 2881820324294985856,0.043,0.002,-0.002,8.295,0.224,-0.224,82.63539,6.35657,-6.35657,0.74,0.02,-0.02,0.26,0.02,-0.02,Mass,0.05,0.05,-0.04,3.936551,5e-06,-6e-06,M1,7.0,2.0,-2.0,0.4,0.1,-0.1,[Fe/H],-1.125,0.038,-0.041,3870.0,90.0,-90.0,0.6,0.02,-0.01,0.63,0.02,-0.02,2.0,,,,,,130.091,0.548,-0.545,14.639,0.061,-0.061,10.553,0.02,-0.02,1,1,0,-1,,,-1,455784423,2.8818203242949857e+18,0.002,0.224,6.35657,0.02,0.02,0.05,6e-06,2.0,0.1,0.041,90.0,0.02,0.02,,,0.548,0.061,0.02,-17.081551239414413,M,1.0,,1.0,M1 
427,NGTS-27 b,b,NGTS-27,,,TIC 305739565,Gaia DR2 6171451912217279872,0.0446,0.0026,-0.0036,15.648,0.426,-0.392,188.47225,30.1937,-22.88365,1.396,0.038,-0.035,0.593,0.095,-0.072,Mass,0.0,,,3.3704181,5.9e-06,-5.7e-06,,7.9,0.8,-0.8,0.0,0.08,-0.08,[Fe/H],0.514,0.031,-0.033,5700.0,80.0,-80.0,1.77,0.03,-0.03,1.07,0.06,-0.06,1.6,0.5,-0.5,,,,942.122,29.592,-27.874,13.523,0.149,-0.149,11.859,0.028,-0.028,1,1,0,-1,,,-1,305739565,6.171451912217279e+18,0.0036,0.426,30.1937,0.038,0.095,,5.9e-06,0.8,0.08,0.033,80.0,0.03,0.06,0.5,,29.592,0.149,0.028,-17.16227102594653,,,,,
428,TOI-4791 b,b,TOI-4791,,,TIC 100389539,Gaia DR2 2930141657016297216,0.0555,0.0011,-0.0012,12.442,0.56,-0.56,734.18362,101.70509,-104.88337,1.11,0.05,-0.05,2.31,0.32,-0.33,Mass,0.0,,,4.28088,2.2e-05,-2.3e-05,,3.3,1.8,-1.4,0.207,0.085,-0.089,[Fe/H],0.38,0.033,-0.03,6058.0,99.0,-94.0,1.41,0.04,-0.04,1.24,0.07,-0.08,,,,,,,328.802,3.696,-3.616,11.541,0.014,-0.014,10.019,0.023,-0.023,1,1,0,-1,,,-1,100389539,2.930141657016297e+18,0.0012,0.56,104.88337,0.05,0.33,,2.3e-05,1.8,0.089,0.033,99.0,0.04,0.08,,,3.696,0.014,0.023,-16.381925636338927,,,,,
429,TOI-5205 b,b,TOI-5205,,,TIC 419411415,Gaia DR2 1842656663520849024,0.0199,0.0002,-0.0002,11.6,0.3,-0.3,343.0,18.0,-17.0,1.03,0.03,-0.03,1.08,0.06,-0.06,Mass,0.02,0.02,-0.014,1.630757,1e-06,-1e-06,M4.0,,,,0.0,,,[Fe/H],-1.712,0.034,-0.037,3430.0,54.0,-54.0,0.39,0.01,-0.01,0.39,0.02,-0.02,2.0,,,,,,86.4493,0.4178,-0.4139,15.899,1.03,-1.03,11.006,0.023,-0.023,1,1,0,-1,,,-1,419411415,1.842656663520849e+18,0.0002,0.3,18.0,0.03,0.06,0.02,1e-06,,,0.037,54.0,0.01,0.02,,,0.4178,1.03,0.023,-17.313579697313507,M,4.0,,4.0,M4.0 
430,NGTS-23 b,b,NGTS-23,,,TIC 77287067,Gaia DR2 4816462091938129408,0.0504,0.012,-0.012,14.202,0.336,-0.336,194.82881,30.82936,-30.82936,1.267,0.03,-0.03,0.613,0.097,-0.097,Mass,0.0,,,4.0764326,4.1e-06,-4.1e-06,F9 V,6.39,1.93,-1.6,-0.26,0.11,-0.11,[Fe/H],0.283,0.021,-0.025,6057.0,64.0,-64.0,1.24,0.03,-0.03,1.01,0.06,-0.07,1.46,1.08,-1.08,,,,1074.95,19.91,-19.21,14.126,0.16,-0.16,12.73,0.036,-0.036,1,1,0,-1,,,-1,77287067,4.81646209193813e+18,0.012,0.336,30.82936,0.03,0.097,,4.1e-06,1.93,0.11,0.025,64.0,0.03,0.07,1.08,,19.91,0.16,0.036,-17.50783326330812,F,9.0, V,39.0,F9  V
431,TOI-4201 b,b,TOI-4201,,,TIC 95057860,Gaia DR2 2997312063605005056,0.04,0.001,-0.001,13.675,0.448,-0.448,788.21445,28.60456,-28.60456,1.22,0.04,-0.04,2.48,0.09,-0.09,Mass,0.041,0.015,-0.015,3.5819194,1.1e-06,-1.1e-06,M1.0+/-0.5,1.4,0.6,-0.7,0.52,0.08,-0.08,[Fe/H],-1.119,0.022,-0.023,3794.0,79.0,-79.0,0.63,0.02,-0.02,0.61,0.02,-0.02,,,,17.3,0.4,-0.4,189.011,0.9885,-0.9885,15.163,0.08,-0.08,11.368,0.025,-0.025,1,1,0,-1,,,-1,95057860,2.9973120636050053e+18,0.001,0.448,28.60456,0.04,0.09,0.015,1.1e-06,0.7,0.08,0.023,79.0,0.02,0.02,,0.4,0.9885,0.08,0.025,-17.400030894903384,M,1.0,,1.0,M1.0 
432,NGTS-30 b,b,NGTS-30,,,TIC 322807371,Gaia DR2 3533836281547278848,0.408,0.019,-0.019,10.402,0.359,-0.359,305.11527,17.79839,-17.79839,0.928,0.032,-0.032,0.96,0.056,-0.056,Mass,0.294,0.014,-0.01,98.29838,0.0001,-9e-05,,1.1,0.4,-0.4,-0.03,0.08,-0.08,[Fe/H],-0.187,0.016,-0.025,5455.0,80.0,-80.0,0.91,0.03,-0.03,0.94,0.06,-0.06,3.5,0.8,-0.8,,,,238.377,2.438,-2.389,12.537,0.214,-0.214,10.501,0.022,-0.022,1,1,0,-1,,,-1,322807371,3.533836281547279e+18,0.019,0.359,17.79839,0.032,0.056,0.014,0.0001,0.4,0.08,0.025,80.0,0.03,0.06,0.8,,2.438,0.214,0.022,-16.66958543489305,,,,,
433,NGTS-21 b,b,NGTS-21,,,TIC 441422655,Gaia DR2 6779308394419726848,0.0236,0.0005,-0.0005,14.908,0.336,-0.336,750.07504,66.74397,-66.74397,1.33,0.03,-0.03,2.36,0.21,-0.21,Mass,0.0,,,1.5433897,1.6e-06,-1.6e-06,K3 V,10.02,3.29,-7.3,-0.26,0.07,-0.07,[Fe/H],-0.539,,,4660.0,41.0,-41.0,0.86,0.04,-0.04,0.72,0.04,-0.04,,,,17.89,0.08,-0.08,592.891,15.995,-15.19,15.506,0.103,-0.103,12.951,0.029,-0.029,1,1,0,-1,,,-1,441422655,6.779308394419726e+18,0.0005,0.336,66.74397,0.03,0.21,,1.6e-06,7.3,0.07,,41.0,0.04,0.04,,0.08,15.995,0.103,0.029,-17.81300645096573,K,3.0, V,13.0,K3  V
434,NGTS-3 A b,b,NGTS-3 A,,,TIC 124778445,Gaia DR2 2885350546895266432,0.023,0.007,-0.005,16.589,4.147,-4.147,756.4354,82.6358,-82.6358,1.48,0.37,-0.37,2.38,0.26,-0.26,Mass,,,,1.6753728,3e-06,-3e-06,G6 V,,,,0.12,0.15,-0.15,[Fe/H],-0.144,0.017,-0.018,5600.0,150.0,-150.0,0.93,0.23,-0.23,1.02,0.09,-0.09,1.0,0.7,-0.7,,,,743.972,10.892,-10.588,14.669,0.057,-0.057,12.814,0.03,-0.03,2,1,0,-1,,,-1,124778445,2.8853505468952663e+18,0.007,4.147,82.6358,0.37,0.26,,3e-06,,0.15,0.018,150.0,0.23,0.09,0.7,,10.892,0.057,0.03,-17.61516991687577,G,6.0, V,26.0,G6  V
435,TrES-5 b,b,TrES-5,,,TIC 233948455,Gaia DR2 2188601779406152448,0.02459,0.0007,-0.0007,13.384,0.168,-0.168,568.9157,21.61244,-21.61244,1.194,0.015,-0.015,1.79,0.068,-0.068,Mass,0.03,,,1.48224686,6.14e-06,-6.14e-06,,7.4,1.9,-1.9,0.2,0.1,-0.1,[Fe/H],-0.344,0.007,-0.007,5171.0,36.0,-36.0,0.87,0.01,-0.01,0.9,0.03,-0.03,3.8,0.36,-0.36,,,,360.313,1.921,-1.901,13.677,0.069,-0.069,11.591,0.019,-0.019,1,1,0,-1,,,-1,233948455,2.1886017794061524e+18,0.0007,0.168,21.61244,0.015,0.068,,6.14e-06,1.9,0.1,0.007,36.0,0.01,0.03,0.36,,1.921,0.069,0.019,-17.185416598507135,,,,,
436,Qatar-10 b,b,Qatar-10,,,TIC 229791084,Gaia DR2 2262322556576778752,0.0286,0.0006,-0.0006,17.295,0.448,-0.448,233.92288,28.6047,-28.6047,1.543,0.04,-0.04,0.736,0.09,-0.09,Mass,0.0,,,1.645321,1e-05,-1e-05,F7 V,3.2,1.9,-1.9,0.016,0.089,-0.089,[Fe/H],0.3,0.02,-0.021,6124.0,46.0,-46.0,1.25,0.03,-0.03,1.16,0.07,-0.07,5.9,0.5,-0.5,,,,559.068,6.085,-5.957,12.868,0.057,-0.057,11.382,0.017,-0.017,1,1,0,-1,,,-1,229791084,2.2623225565767788e+18,0.0006,0.448,28.6047,0.04,0.09,,1e-05,1.9,0.089,0.021,46.0,0.03,0.07,0.5,,6.085,0.057,0.017,-16.92298600477388,F,7.0, V,37.0,F7  V
437,WASP-162 b,b,WASP-162,,,TIC 308098254,Gaia DR2 3558354604869150208,0.0871,0.0013,-0.0013,11.209,0.56,-0.56,1652.716,63.566,-63.566,1.0,0.05,-0.05,5.2,0.2,-0.2,Mass,0.434,0.005,-0.005,9.62468,1e-05,-1e-05,K0,12.97,2.35,-2.35,0.28,0.13,-0.13,,0.054,0.008,-0.008,5300.0,100.0,-100.0,1.11,0.05,-0.05,0.95,0.04,-0.04,1.0,0.8,-0.8,,,,310.841,4.122,-4.017,12.213,0.092,-0.092,10.466,0.021,-0.021,1,1,0,-1,,,-1,308098254,3.55835460486915e+18,0.0013,0.56,63.566,0.05,0.2,0.005,1e-05,2.35,0.13,0.008,100.0,0.05,0.04,0.8,,4.122,0.092,0.021,-16.65913333013104,K,0.0,,10.0,K0 
438,WASP-164 b,b,WASP-164,,,TIC 237320326,Gaia DR2 6491038642006989056,0.02818,0.00065,-0.00072,12.644,0.46,-0.482,676.9779,38.1396,-41.3179,1.128,0.041,-0.043,2.13,0.12,-0.13,Mass,0.0,,,1.7771255,2.8e-06,-2.8e-06,G2 V,4.08,2.38,-2.38,-0.01,0.19,-0.2,[Fe/H],-0.067,0.008,-0.008,5806.0,190.0,-200.0,0.93,0.03,-0.03,0.95,0.07,-0.07,,,,,,,327.506,4.012,-3.918,12.603,0.057,-0.057,10.959,0.021,-0.021,1,1,0,-1,,,-1,237320326,6.491038642006989e+18,0.00072,0.482,41.3179,0.043,0.13,,2.8e-06,2.38,0.2,0.008,200.0,0.03,0.07,,,4.012,0.057,0.021,-16.825495256821206,G,2.0, V,22.0,G2  V
439,OGLE-2012-BLG-0724L b,b,OGLE-2012-BLG-0724L,,,,,1.6,0.4,-0.3,14.3,,,150.0,170.0,-83.0,1.27,,,0.47,0.54,-0.26,Mass,,,,,,,M V,,,,,,,,,,,,,,,,,0.29,0.33,-0.16,,,,,,,6700.0,1100.0,-1200.0,,,,,,,1,1,0,-1,,,-1,-1,,0.4,,170.0,,0.54,,,,,,,,0.33,,,1200.0,,,,M,, V,,M V
440,Kepler-424 c,c,Kepler-424,,,TIC 264508014,Gaia DR2 2086877265710250496,0.73,0.08,-0.07,12.7,,,2215.18,197.05,-197.05,1.13,,,6.97,0.62,-0.62,Msini,,,,223.3,2.1,-2.1,,4.9,3.3,-2.4,0.44,0.14,-0.14,[Fe/H],-0.15,0.06,-0.07,5460.0,81.0,-81.0,0.94,0.06,-0.06,1.01,0.05,-0.05,0.5,1.0,-1.0,,,,698.646,10.125,-9.844,14.429,0.103,-0.103,12.47,0.022,-0.022,1,2,0,11046458,,Kepler-424 c,-1,264508014,2.0868772657102505e+18,0.08,,197.05,,0.62,,2.1,3.3,0.14,0.07,81.0,0.06,0.05,1.0,,10.125,0.103,0.022,-17.566571089041002,,,,,
441,HAT-P-9 b,b,HAT-P-9,,,TIC 371234684,Gaia DR2 898130030131443584,0.05287,0.00078,-0.00078,15.614,0.751,-0.729,238.05467,20.34112,-20.02329,1.393,0.067,-0.065,0.749,0.064,-0.063,Mass,0.084,0.052,-0.047,3.92281072,1.02e-06,-1.02e-06,F7,1.6,1.8,-1.4,0.12,0.2,-0.2,[Fe/H],0.418,0.041,-0.04,6350.0,150.0,-150.0,1.34,0.07,-0.06,1.28,0.06,-0.06,11.9,1.0,-1.0,,,,455.203,8.968,-8.635,12.344,0.047,-0.047,11.015,0.021,-0.021,1,1,0,-1,,,-1,371234684,8.981300301314436e+17,0.00078,0.751,20.34112,0.067,0.064,0.052,1.02e-06,1.8,0.2,0.041,150.0,0.07,0.06,1.0,,8.968,0.047,0.021,-16.626466966430243,F,7.0,,37.0,F7 
