pl-name,Ro,ASHC
GJ 3293 d,0.7211636974553162,2.2592656534590336
HD 23127 b,3.200839809971509,13.410458459440676
TOI-1227 b,0.012292557522217305,2.8821184487612346
WASP-47 c,2.6191151579405196,10.208725081803511
HD 125612 b,1.0308353401709835,9.14282967680571
HD 221585 b,2.9069946567324103,19.678931849063726
HD 238914 b,14.41062687210468,17.1380523803831
HD 190647 b,3.788779146920258,15.889116903720089
LHS 1140 b,1.396436833740384,1.0357465234516658
HD 180617 b,0.8961908733887164,3.890764008622348
HD 66428 b,3.4856485544811617,16.78921322195787
HD 92788 b,2.834778915013234,6.169357893699378
Kepler-419 c,0.5066946759499649,19.618353715588345
Kepler-705 b,0.5208712042678875,3.299932344656199
Kepler-438 b,0.8962330971484802,2.031685038831529
WASP-41 c,1.3686858850705377,8.680879231913313
HR 810 b,0.875239866645688,10.035424061766548
HD 48265 b,4.10168697656388,12.907533920506955
Kepler-1410 b,0.42628345718580996,3.7807681706828387
Kepler-296 f,0.9414816053345594,2.1323988575667667
Kepler-1868 b,1.1326241583537935,7.507915109142405
TRAPPIST-1 g,0.006685409831207669,1.7390125906250768
Kepler-283 c,0.7120140234467501,4.52684912193108
Kepler-967 c,1.1144614767758163,7.519129685746154
K2-18 b,0.6339971486344104,1.5570137614966457
HD 141937 b,1.2903748155604398,10.303109534217997
GJ 3323 c,0.263035241894798,1.735230611494603
HD 31527 d,2.0288317743399396,6.483694622343723
Kepler-1086 c,0.5003076128578972,7.218509676976535
TRAPPIST-1 e,0.006685409831207669,1.0828994749518248
GJ 357 d,1.3874891541943106,2.3372059569594477
TOI-904 c,0.4340063765998065,4.620261588319996
Kepler-88 d,2.5599573933489372,14.562519537958378
Kepler-62 e,2.415770040408471,4.328329480619527
TOI-700 e,0.918636632546387,1.582353061911998
HD 16175 b,1.9654691257304304,8.996417913598174
TOI-700 d,0.918636632546387,1.9631824535647981
GJ 96 b,0.7409547919214189,2.1443818283655336
GJ 514 b,0.6362942978758358,3.1586285699881613
HD 152079 b,2.9164980731134267,19.053662318798743
Kepler-62 f,2.415770040408471,7.278080953360236
HD 219828 c,3.0448034442859386,10.297912798532504
55 Cnc f,2.9165654420247304,6.895360369336626
Kepler-1318 b,1.2786000361231182,7.098468675775345
HD 216437 b,2.861681228524634,17.315353136774828
K2-3 d,1.169367723405567,2.1781654157861414
Kepler-61 b,1.4440745197603233,2.1174520492216975
Kepler-1634 b,1.5058564237648593,11.842369436760512
Kepler-440 b,0.5330394546886398,2.2602784680722388
Kepler-539 c,1.1181229530521293,14.539517247583413
TRAPPIST-1 f,0.006685409831207669,1.4178661645135977
HD 147379 b,0.8037897944757689,3.8668218170623527
HD 38801 b,3.4422931920619635,14.955713699393295
HD 147513 b,0.8514691662117387,12.465091313073343
Kepler-186 f,1.0272215087965737,5.077508483944184
HD 114729 b,3.202424628177662,18.13265815357174
HD 170469 b,1.253699210310907,23.357590753431296
HD 34445 b,2.1009836892471587,15.796955319874181
HD 45364 b,2.6555224560461523,6.291613784357745
HN Lib b,0.9983233591958967,1.607909141507486
Kepler-1652 b,0.6275178887831928,2.2578275712298663
HD 63765 b,1.8868085519585824,7.6477177592163255
Kepler-1341 b,2.1322491982881204,4.686872526188511
HD 11506 b,1.3331239941552513,19.709473347687386
Kepler-1143 c,1.3320227854128157,7.48777586541517
Kepler-1229 b,0.46612876481037785,4.381814465737222
Kepler-155 c,1.1892374208357144,2.8685814036997592
Wolf 1061 d,1.206350768712116,2.499148782123664
HD 191806 b,2.04699706688979,22.74709294135188
GJ 3293 b,0.7211636974553162,1.784283892432297
HD 214823 b,1.7702640449548217,28.05543380375939
HD 98649 b,2.55405219934086,10.025028056985867
HD 81040 b,1.4904821351902207,9.931633083548924
Kepler-150 f,1.4321056056477486,14.10761202025868
HD 187085 b,2.2193167693486835,16.245272636476116
HD 34445 f,2.1009836892471587,15.630392624412892
Kepler-296 e,0.9414816053345594,1.4132368899167984
Kepler-1090 b,1.2224167591959259,7.497962476861269
Kepler-436 b,0.8030742087482522,3.5496519798616935
HD 45364 c,2.6555224560461523,8.784040750060253
Kepler-1840 b,2.045828234121426,4.883412504505315
BD-11 4672 c,0.927235410466009,2.2541772547748575
Kepler-1690 b,1.6992008304127892,7.775134043949742
