hostname,GAIA,Prot,db
2MASS J04372171+2651014,1.51499478104075e+17,1.8386871732917167,lu22
K2-324,3.8623782629617884e+18,13.231591554113386,lu22
FU Tau,1.49629483705467e+17,104.33267356095944,lu22
K2-25,3.3118045155027886e+18,1.8837670115475047,lu22
