hostname,KOI,Prot,e_Prot,db
Kepler-261,988,12.368,0.001,mcq13
Kepler-408,1612,12.444,0.172,mcq13
Kepler-1281,2580,25.127,0.024,mcq13
Kepler-504,249,46.351,0.34,mcq13
Kepler-1400,2981,27.588,0.167,mcq13
Kepler-1855,2542,29.362,4.77,mcq13
Kepler-1849,2525,24.053,0.06,mcq13
Kepler-1752,1476,27.747,2.865,mcq13
Kepler-533,348,37.088,7.636,mcq13
Kepler-1351,2798,31.447,3.906,mcq13
Kepler-1363,2836,18.183,0.043,mcq13
Kepler-979,1849,26.773,0.432,mcq13
Kepler-1236,2432,27.409,0.2,mcq13
Kepler-1275,2552,7.65,0.005,mcq13
Kepler-1690,2757,23.147,0.182,mcq13
Kepler-1207,2356,17.011,0.459,mcq13
Kepler-1428,3109,5.464,0.007,mcq13
Kepler-1133,2180,27.964,0.484,mcq13
Kepler-725,918,17.459,0.022,mcq13
