index,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,e_pl_rade,e_pl_rade,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class
10,Kepler-263 c,Kepler-263,c,0.242,,0.0,,2.47,1.35,1.35,0.021,,0.22,1.35,1.35,6.66,,0.79,0.43,1.7584739584853228,1.0677902258357033,1.7584739584853228,0.7945509269528399,0.5231574761729764,0.7945509269528399,999,-1,-1,-1,mcq13,754.747,16.038,0.8,0.04,15.435,0.137,13.548,0.048,22.745,0.054,1.8870000000000005,0.14516542288024378,5265.0,-0.456,,7.9,3.9,12.93451056823816,5.8442636825344145,-0.031,0.014,,0.242,0.0,0.0919718460462045,0.10149172616559954,19.77718581071179,21.824295291610884,28.438342269792447,9.710100368894235,2.6312399979274623,0.2670490893456267,2,2,0,0,0,2,
11,Kepler-169 e,Kepler-169,e,0.105,,0.0,,2.2,0.29,0.29,0.0172,,0.196,0.29,0.29,5.48,,0.76,0.05,1.606562373181938,1.3081621862756168,1.606562373181938,0.8075740481061026,0.6733409114129624,0.8075740481061026,505,-1,-1,-1,mcq13,406.529,3.024,0.84,0.03,14.424,0.137,12.186,0.021,25.433,0.089,2.2379999999999995,0.1386001443000692,4997.0,-0.496,,13.8,1.9,15.830695667064395,7.957455872019201,0.05,0.104,,0.105,0.0,0.09015526120969235,0.11250339157252125,19.38655609741264,24.192191144529506,28.50661699862015,10.828406102041097,1.164657487440253,0.13102791735735955,2,2,0,0,0,2,
12,Kepler-219 c,Kepler-219,c,0.165,,0.0,,3.58,0.6,0.6,0.0394,,0.319,0.6,0.6,12.5,,1.49,0.25,1.7160166880277186,1.7126258977417237,1.7160166880277186,0.6641663939601098,1.3677013788848658,0.6641663939601098,718,-1,-1,-1,mcq13,787.07,10.579,1.17,0.06,13.823,0.103,12.389,0.02,17.101,0.09,1.434000000000001,0.10492378186092988,5786.0,0.214,,4.0,1.1,9.96552080134769,3.856694480729969,0.361,0.075,,0.165,0.0,0.09147685743907649,0.08744971457664832,19.67074582849769,18.804768291888156,28.456811385262657,8.322914621897903,1.8037348966637805,0.15773610188518786,3,3,0,0,0,3,
13,Kepler-910 b,Kepler-910,b,0.0382,,0.0,,0.82,0.04,0.04,0.0015,,0.073,0.04,0.04,0.477,,1.5,0.03,0.8564705471422733,0.8285265555064831,0.8564705471422733,0.2946943813172792,0.7312482146246969,0.2946943813172792,1618,-1,-1,-1,mcq13,400.289,4.954,1.26,0.03,11.44,0.013,10.329,0.017,7.087,0.021,1.1109999999999989,0.0214009345590327,6230.0,0.494,0.027,3.39,0.4,8.274656990420404,2.8470383531979278,0.12,0.084,,0.0382,0.0,0.07846424369702425,0.07837997552839489,16.872575617471362,16.85445499360051,28.981959174416204,7.536236631874402,0.48684595938377384,0.038158974382598125,0,1,0,0,0,0,
14,Kepler-992 b,Kepler-992,b,0.1339,,0.0,,1.62,0.27,0.27,0.0102,,0.145,0.27,0.27,3.26,,0.74,0.02,1.5974878610497885,1.2183934812536386,1.5974878610497885,0.8096622053754726,0.5922686406323396,0.8096622053754726,1877,-1,-1,-1,mcq13,259.639,1.096,0.8,0.03,13.557,0.103,11.274,0.022,25.953,0.023,2.2830000000000013,0.10532331175955302,4944.0,-0.57,0.017,3.02,2.64,16.24613283943516,8.234090509335546,-0.04,0.101,,0.1339,0.0,0.09004257423678352,0.11340840322409301,19.362324429815747,24.386800520805394,28.510897441298706,10.91971525087491,1.4870743216190743,0.16864672429037056,2,2,0,0,0,2,
15,Kepler-1310 b,Kepler-1310,b,0.0148,,0.0,,1.44,0.16,0.16,0.00839,,0.128,0.16,0.16,2.67,,0.88,0.1,1.6725540968043122,1.3157372596477643,1.6725540968043122,0.7747843551403703,0.7722545827771736,0.7747843551403703,2668,-1,-1,-1,mcq13,569.185,6.757,0.91,0.06,14.346,0.114,12.436,0.021,21.922,2.192,1.9100000000000001,0.11591807451816995,5549.0,-0.192,,4.17,5.36,13.106900423660772,5.928432345532614,-0.07,0.183,,0.0148,0.0,0.09096016304573643,0.10393892326788877,19.559638337849893,22.35052884990105,28.4761973056815,9.968195385580264,0.16270859137046942,0.01691175579348149,1,1,0,0,0,1,
16,LTT 1445 A b,LTT 1445 A,b,0.022,0.003,0.19,0.35,1.18,0.06,0.06,0.00859,0.00079,0.105,0.06,0.06,2.73,0.25,0.27,0.01,0.03023090276570716,0.0152403561614998,0.03023090276570716,0.024316928616101588,0.0029565353872345835,0.024316928616101588,-1,-1,98796344,-1,mar20,6.86929,0.003805,0.26,0.01,10.59,0.046,6.496,0.021,1.393,0.046,4.093999999999999,0.050566787519082126,3340.0,-2.046,0.123,,,46.07867686902717,37.03320666553103,-0.34,0.09,M3.0,0.01782,0.008074335886003257,0.03749837901287038,0.17994240027491956,8.063472043014817,38.69395296985478,31.508893864843547,19.160232856648708,0.4752205420368633,0.23168336966422592,1,1,0,0,0,1,
17,Kepler-176 c,Kepler-176,c,0.102,,0.0,,2.6,1.33,1.33,0.072,0.042,0.232,1.33,1.33,23.0,13.5,0.89,0.46,2.205554846382383,1.566920137594938,2.205554846382383,1.0939983932186796,0.774277669531803,1.0939983932186796,520,-1,-1,-1,mcq13,527.321,6.058,0.79,0.06,14.767,0.126,12.567,0.024,34.16,0.075,2.1999999999999993,0.1282653499585917,5232.0,-0.404,,13.7,2.9,15.488166189124811,7.682358461458455,0.16,0.15,,0.102,0.0,0.09668912538874729,0.11129812978734738,20.791566994619224,23.933017415821716,28.26715772751172,10.59535156310849,1.0549273208326155,0.11741143787024709,3,3,0,0,0,3,
18,K2-111 c,K2-111,c,0.11569,0.00094,0.071,,3.33,,,0.03486,0.00324,0.297,,,11.08,1.03,1.25,0.02,2.4385566630719104,1.50192017611953,2.4385566630719104,1.0400406553963104,0.7704369095534512,1.0400406553963104,-1,-1,-1,-1,nasa,200.394,2.763,0.84,0.02,11.13,0.034,9.377,0.021,29.2,0.8,1.7530000000000001,0.03996248240537617,5775.0,0.119,0.008,13.5,0.9,11.974296288533248,5.0964710085104485,-0.46,0.05,G2,0.10747601000000001,0.00087326,0.0988570898244205,0.09639938973519732,21.257755696037528,20.72926362567992,28.191267645900997,9.085910609434505,1.087185655483967,0.10517564955630053,3,3,0,0,0,3,
19,Kepler-107 d,Kepler-107,d,0.08377,0.00065,0.11,,0.86,0.06,0.06,0.02423,,0.077,0.06,0.06,7.7,,1.45,0.01,1.980368628333784,2.2953030718722616,1.980368628333784,0.8368355622530977,2.0139012911809937,0.8368355622530977,-1,-1,-1,-1,nasa,525.997,5.697,1.24,0.03,12.543,0.057,11.06,0.016,20.3,3.3,1.4829999999999988,0.05920304046246274,5854.0,0.364,0.019,4.29,0.7,10.250616834442456,3.998205489084191,0.321,0.065,,0.0745553,0.0005785,0.09441704695148077,0.09524636601223577,20.30299011634544,20.481322919980553,28.34854070145225,9.052291535714982,0.7896381258176041,0.07545932325340886,2,1,0,0,0,2,
