index,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,e_pl_rade,e_pl_rade,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class
174,Kepler-84 c,Kepler-84,c,0.1072,,0.0,,2.36,0.11,0.11,0.064,0.042,0.211,0.11,0.11,20.2,13.5,1.43,0.05,1.6377858781533976,1.3996102748648804,1.6377858781533976,0.6969886406666018,1.4884082909471745,0.6969886406666018,1589,-1,-1,-1,mcq13,1023.9,,1.0,0.42,14.92,0.092,13.193,0.026,19.32,0.444,1.7270000000000003,0.09560334722173695,6039.0,0.212,,3.98,1.91,11.796413839996768,5.012846569766677,-0.07,0.114,,0.1072,0.0,0.09053924328881295,0.09575619439906718,19.469125766862753,20.59095397743345,28.492071415002957,9.162768518898707,1.1840169644232674,0.11337695861710781,3,2,0,0,0,3,
175,Kepler-100 c,Kepler-100,c,0.110537,,0.02,0.15,2.2,0.05,0.05,0.02218,,0.196,0.05,0.05,7.05,,1.49,0.04,2.728861519639335,2.1190807058857875,2.728861519639335,1.0223281983347583,1.5297423735133127,1.0223281983347583,41,-1,-1,-1,mcq13,304.645,1.763,1.08,0.06,11.055,0.011,9.768,0.014,24.988,2.192,1.286999999999999,0.017804493814764857,5825.0,0.411,0.016,6.46,,9.156932229856276,3.3351419565818787,0.02,0.1,,0.10832626,0.01658055,0.101342964096393,0.08552158473846912,21.792306207877523,18.390152475025126,28.106271002164508,7.957064821872934,1.0689075553085736,0.18741482634005546,2,2,0,0,0,2,
176,Kepler-1221 b,Kepler-1221,b,0.0906,,0.0,,1.88,0.3,0.3,0.0132,,0.168,0.3,0.3,4.19,,0.82,0.05,1.467127109766983,1.2818250134291718,1.467127109766983,0.7559293290349838,0.6922973609969238,0.7559293290349838,2397,-1,-1,-1,mcq13,913.65,,0.87,0.04,15.909,0.229,13.665,0.051,23.306,0.114,2.2440000000000015,0.23461031520374376,5194.0,-0.355,,4.57,6.34,15.885467485977808,8.184532587404506,0.09,0.163,,0.0906,0.0,0.08836595295325536,0.11522277954971118,19.001791809410665,24.776955326486693,28.57522493613597,11.125973921938002,1.025281762625549,0.11813581451134295,2,2,0,0,0,2,
177,Kepler-221 d,Kepler-221,d,0.087,,0.0,,2.73,0.25,0.25,0.0249,,0.244,0.25,0.25,7.9,,0.82,0.07,0.6540058749230985,0.4619953980968497,0.6540058749230985,0.3131177101716603,0.23112310704474714,0.3131177101716603,720,-1,-1,-1,mcq13,385.231,2.8335,0.82,0.03,13.97,0.149,11.9,0.019,9.399,0.004,2.0700000000000003,0.15020652449211386,5243.0,-0.404,,4.57,3.67,14.371430533563913,6.880592079225025,0.062,0.031,,0.087,0.0,0.07392806108674696,0.10766659954007705,15.897136608563095,23.152110523495082,29.185766737114864,10.559965014185295,1.176819717994693,0.12670417730820102,2,3,0,0,0,2,
178,Kepler-1783 b,Kepler-1783,b,0.077,,0.0,,1.319,,,0.00723,,0.118,,,2.3,,1.78,1.11,1.0655808041596833,0.9403410347333303,1.0655808041596833,0.5226659387664346,0.6111928644365289,0.5226659387664346,2001,-1,-1,-1,mcq13,264.078,1.232,0.89,0.16,13.309,0.08,11.124,0.019,16.362,0.02,2.1849999999999987,0.08222530024268686,5129.0,-0.451,0.021,13.9,2.4,15.355006336570662,7.531586389183572,-0.16,0.3,,0.077,0.0,0.08234172528245944,0.10988414856532208,17.70637070900666,23.628961657858536,28.816878491735267,10.68136710789561,0.9351273577990314,0.10275567351188587,1,1,0,0,0,1,
179,TOI-1273 b,TOI-1273,b,0.0549,0.001,0.055,0.032,11.097,2.466,2.466,0.222,0.015,0.99,2.466,2.466,70.55791,4.76743,1.06,0.02,3.9129048778928324,3.4271513990334865,3.9129048778928324,1.8686090732476552,2.5586720133116962,1.8686090732476552,-1,-1,-1,-1,nasa,177.118,1.222,1.06,0.06,10.98,0.009,9.417,0.024,42.0,11.0,1.5630000000000006,0.025632011235952594,5690.0,0.029,0.004,3.1,1.6,10.733713522475847,4.28623708535957,0.07,0.04,,0.051880499999999996,0.001994836143646891,0.10973691104220108,0.1087768676119069,23.597300405222484,23.390857258504056,27.833930042128895,10.04485930241219,0.4727716454498024,0.05454493169526863,3,3,0,0,0,3,
180,Kepler-100 d,Kepler-100,d,0.217335,,0.38,0.16,1.61,0.05,0.05,0.00944,,0.144,0.05,0.05,3.0,,1.49,0.04,2.728861519639335,2.1190807058857875,2.728861519639335,1.0223281983347583,1.5297423735133127,1.0223281983347583,41,-1,-1,-1,mcq13,304.645,1.763,1.08,0.06,11.055,0.011,9.768,0.014,24.988,2.192,1.286999999999999,0.017804493814764857,5825.0,0.411,0.016,6.46,,9.156932229856276,3.3351419565818787,0.02,0.1,,0.1347477,0.0347736,0.101342964096393,0.08552158473846912,21.792306207877523,18.390152475025126,28.106271002164508,7.957064821872934,1.3296206717600432,0.3614789322832293,2,2,0,0,0,2,
181,Kepler-81 d,Kepler-81,d,0.128,,0.0,,1.21,0.27,0.27,0.00606,,0.108,0.27,0.27,1.92,,0.59,0.03,0.5904123316115394,0.4382081189866549,0.5904123316115394,0.3532695792332775,0.17026347426053318,0.3532695792332775,877,-1,-1,-1,mcq13,348.291,3.1665,0.65,0.03,15.258,0.092,12.392,0.021,13.417,0.001,2.8659999999999997,0.09436630754670863,4500.0,-0.889,0.05,3.63,5.43,22.724796352708445,13.597241713242282,-0.18,0.1,M0 V,0.128,0.0,0.07227698111714098,0.13375692960998942,15.542096270122597,28.7624502941705,29.26306837701238,13.232101678520173,1.770964946537369,0.23687883369575752,1,1,0,0,0,1,
182,Kepler-527 b,Kepler-527,b,0.1179,,0.0,,2.84,1.35,1.35,0.0266,,0.253,1.35,1.35,8.45,,1.45,0.69,0.726887195114489,0.8318844730716661,0.726887195114489,0.27659107425698004,0.8074765757615917,0.27659107425698004,333,-1,-1,-1,mcq13,750.04,7.677,1.28,0.22,13.471,0.137,12.125,0.017,6.886,0.176,1.346,0.13805071531868282,6388.0,0.323,0.022,2.4,0.727,9.473271845042497,3.5965756764585635,0.03,0.16,,0.1179,0.0,0.07567297454753596,0.08635315167770838,16.27235445207903,18.568968651696384,29.105926195459784,8.370025776589683,1.558019896864739,0.13453992847084836,2,3,0,0,0,2,
183,Kepler-1075 b,Kepler-1075,b,0.0208,,0.0,,1.42,0.33,0.33,0.00819,,0.127,0.33,0.33,2.6,,0.54,0.03,0.6734269924562563,0.5682958961744866,0.6734269924562563,0.47472692505778136,0.19176738806253044,0.47472692505778136,2058,-1,-1,-1,mcq13,291.275,4.987,0.56,0.03,15.909,0.137,12.415,0.016,21.968,0.15,3.4940000000000015,0.13793114224133723,3959.0,-1.113,0.11,2.95,4.34,32.62120503942671,22.99497653282938,-0.17,0.111,,0.0208,0.0,0.07440728097753693,0.15696778623395438,16.00018576144822,33.75360186948336,29.16365330280798,15.536124697582208,0.27954253571339854,0.0438791729891583,1,1,0,0,0,1,
184,Kepler-100 b,Kepler-100,b,0.073063,,0.13,0.27,1.32,0.04,0.04,0.023,0.01,0.118,0.04,0.04,7.34,3.2,1.49,0.04,2.728861519639335,2.1190807058857875,2.728861519639335,1.0223281983347583,1.5297423735133127,1.0223281983347583,41,-1,-1,-1,mcq13,304.645,1.763,1.08,0.06,11.055,0.011,9.768,0.014,24.988,2.192,1.286999999999999,0.017804493814764857,5825.0,0.411,0.016,6.46,,9.156932229856276,3.3351419565818787,0.02,0.1,,0.06356481,0.019727010000000003,0.101342964096393,0.08552158473846912,21.792306207877523,18.390152475025126,28.106271002164508,7.957064821872934,0.6272246975087479,0.20191166119741047,2,1,0,0,0,2,
185,Kepler-334 c,Kepler-334,c,0.107,,0.0,,1.43,0.26,0.26,0.00829,,0.128,0.26,0.26,2.63,,1.07,0.19,1.6819606943994034,1.2575980132209863,1.6819606943994034,0.6447243204021836,0.8245145246668131,0.6447243204021836,1909,-1,-1,-1,mcq13,426.59,4.496,1.02,0.02,12.834,0.069,11.409,0.013,16.675,0.115,1.424999999999999,0.07021395872616784,5828.0,0.056,0.016,1.6,1.7,9.91402477806078,3.7996002513633047,-0.012,0.013,,0.107,0.0,0.0910728706486954,0.08663451628487247,19.583874441634084,18.629471950865202,28.4719592413171,8.247257220345022,1.1748833570069612,0.10178545132544521,1,1,0,0,0,1,
186,Kepler-411 e,Kepler-411,e,0.186,0.003,0.016,0.002,3.28,,,0.03398,0.00346,0.293,,,10.8,1.1,0.82,0.02,0.6056204041137024,0.5741977662490583,0.6056204041137024,0.3154322535096326,0.310104199606644,0.3154322535096326,1781,-1,-1,-1,mcq13,153.676,0.455,0.87,0.04,12.448,0.069,10.062,0.023,10.44,0.002,2.386000000000001,0.07273238618387273,4832.69,-0.584,0.002,0.212,0.031,17.238520910269624,8.97853687417716,0.11,0.1,K2 V,0.183024,0.0029753467024869556,0.07268398966652137,0.11686381574406159,15.629617441586312,25.129835899542353,29.24384993974198,11.510779237305861,2.5180786145576954,0.29710583513677763,3,3,0,0,0,3,
187,Kepler-436 c,Kepler-436,c,0.1158,,0.0,,2.33,0.19,0.19,0.019,,0.208,0.19,0.19,6.04,,0.71,0.04,0.8030742087482522,0.6681603166685852,0.8030742087482522,0.4523628764790195,0.304856628239786,0.4523628764790195,2529,-1,-1,-1,mcq13,588.867,15.687,0.75,0.04,15.971,0.115,13.333,0.036,16.005,0.004,2.638,0.12050311199301038,4685.0,-0.731,,4.07,5.83,19.929665061647185,11.226160209074468,0.02,0.164,,0.1158,0.0,0.07735687936672006,0.12589789646521596,16.63445328914952,27.072481401748323,29.03060392686578,12.35764511753863,1.4969580074583344,0.18846386423576536,2,2,0,0,0,2,
188,Kepler-1384 b,Kepler-1384,b,0.1126,,0.0,,1.94,0.43,0.43,0.0139,,0.173,0.43,0.43,4.42,,0.74,0.04,1.083369270508201,0.9933962420915547,1.083369270508201,0.6146214830897622,0.47824012396432586,0.6146214830897622,2910,-1,-1,-1,mcq13,618.0,39.97,0.78,0.05,15.7578,0.0461,13.074,0.034,22.168,0.089,2.6837999999999997,0.057281847037259546,4919.0,-0.539,,4.57,6.24,20.46209044640997,11.608346111958792,-0.06,0.173,,0.1126,0.0,0.08264327932791478,0.12662960666005904,17.771215448405997,27.22982486178645,28.80436767519418,12.348924419654889,1.3624822358902524,0.17253058961210044,2,2,0,0,0,2,
189,Kepler-414 c,Kepler-414,c,0.0699,,0.0,,3.01,0.54,0.54,0.094,0.039,0.269,0.54,0.54,29.9,12.4,0.95,,1.6159858448045117,1.0663175381030565,1.6159858448045117,0.7068779092310405,,0.7068779092310405,341,-1,-1,-1,mcq13,413.46,3.023,0.89,,13.378,0.24,11.698,0.02,18.554,0.048,1.6799999999999997,0.2408318915758459,5536.0,-0.169,0.015,5.5,3.4,11.481536214968829,5.022260806418114,0.05,0.102,,0.0699,0.0,0.09027175782922395,0.09832181411580306,19.4116069731952,21.14265256823938,28.50219746648631,9.421485989594842,0.7743285572464068,0.07613338847013917,3,3,0,0,0,3,
190,Kepler-1276 b,Kepler-1276,b,0.1072,,0.0,,1.19,0.2,0.2,0.0057,,0.106,0.2,0.2,1.81,,1.21,0.14,0.9252988469819836,0.8349414484641776,0.9252988469819836,0.3481388769590159,0.6414612902201486,0.3481388769590159,2555,-1,-1,-1,mcq13,538.481,7.014,1.14,0.05,12.992,0.092,11.639,0.02,8.801,0.111,1.3530000000000015,0.09414881836751855,6188.0,0.22,0.02,3.09,1.3,9.511521632936136,3.5766493353875513,-0.02,0.096,,0.1072,0.0,0.07981489710419933,0.08521930952665652,17.163013665068593,18.325152659462145,28.923548090895196,8.223913076104397,1.3431076639746724,0.11445870774388218,1,1,0,0,0,1,
191,Kepler-252 b,Kepler-252,b,0.058,,0.0,,1.23,0.12,0.12,0.00642,,0.11,0.12,0.12,2.04,,0.55,0.03,0.4661854845402972,0.3259926038859773,0.4661854845402972,0.28407812241000585,0.11661765932577155,0.28407812241000585,912,-1,-1,-1,mcq13,379.424,3.512,0.61,0.01,15.406,0.069,12.466,0.018,11.055,0.003,2.9400000000000013,0.07130918594402828,4208.0,-0.786,,13.9,3.6,23.713737056616576,14.450371051371821,-0.13,0.088,M0 V,0.058,0.0,0.0686035609995224,0.13633889296336466,14.752181580463635,29.317663342416775,29.441586587789608,13.558396693599606,0.8454371632458523,0.11526596690702691,1,1,0,0,0,1,
192,TOI-1136 c,TOI-1136,c,0.0669,0.0005,0.11,0.01,2.879,0.062,0.062,0.01988,0.00409,0.257,0.062,0.062,6.32,1.3,0.97,0.04,0.7910990648047579,0.6175994081119434,0.7910990648047579,0.31656799448904516,0.4092405820141257,0.31656799448904516,-1,-1,142276270,-1,mar20,84.5362,0.1583,1.02,0.03,9.534,0.003,8.034,0.021,8.189,0.699,1.5,0.021213203435596427,5770.0,-0.027,0.023,0.7,0.15,10.351421666793442,4.0469131758228,0.07,0.06,,0.059541000000000004,0.000803483665048643,0.07710068990910028,0.09050128223188335,16.57936353370907,19.460962802773825,29.04195709168365,8.78265826439696,0.7722498990631251,0.07066228820567061,2,3,0,0,0,2,
193,TOI-776 c,TOI-776,c,0.1001,0.0024,0.089,0.054,2.047,0.081,0.081,0.02171,0.00818,0.183,0.081,0.081,6.9,2.6,0.55,0.02,0.5065816999723834,0.5182072647303294,0.5065816999723834,0.39197967974742515,0.17328676729898668,0.39197967974742515,-1,-1,-1,-1,nasa,27.1701,0.03205,0.54,0.04,11.536,0.041,7.615,0.02,21.13,0.06,3.9209999999999994,0.04561797891182818,3725.0,-1.31,0.018,6.1,15.1,41.710942185933504,32.27461960769133,-0.21,0.08,M1 V,0.0911911,0.0058308399154838745,0.06987398250579406,0.17221267143526728,15.02536694389362,37.031789056656585,29.378788682550216,17.179100107765368,1.3050794692064145,0.23974292573676265,2,2,0,0,0,2,
194,TOI-782 b,TOI-782,b,0.0578,0.0018,0.19,0.11,2.734,0.085,0.085,0.0601,,0.244,0.085,0.085,19.1,,0.41,0.01,0.8553563216481013,1.0840443979237686,0.8553563216481013,0.8181448595295405,0.2682905913309516,0.8181448595295405,-1,-1,-1,-1,nasa,52.5122,0.2044,0.4,0.01,14.83,0.024,9.86,0.024,65.26,0.06,4.970000000000001,0.03394112549695428,3370.0,-1.702,0.012,,,76.29568911615335,72.97648411352354,0.34,0.15,,0.046818,0.006523030584015378,0.07844169342646921,0.21207255777979842,16.867726515164286,45.6030683395973,28.982942906575012,20.949013033305228,0.5968509596734665,0.15144838348419334,3,3,0,0,0,3,
195,Kepler-185 b,Kepler-185,b,0.026,,0.0,,1.17,0.67,0.67,0.00537,,0.104,0.67,0.67,1.71,,0.81,0.46,2.2408041125191778,1.526732296901948,2.2408041125191778,1.061216046671367,0.759284809479985,1.061216046671367,569,-1,-1,-1,mcq13,466.735,4.744,0.81,0.04,14.562,0.126,12.515,0.013,31.78,0.665,2.046999999999999,0.12666885963013957,5208.0,-0.504,,11.9,3.9,14.182408815856729,6.710047201189125,0.16,0.15,,0.026,0.0,0.0970282207068253,0.10644915661750198,20.86448442969824,22.89031742127109,28.255176033825073,10.111896075801612,0.2679632771846868,0.028524464860771825,1,1,0,0,0,1,
196,Kepler-755 c,Kepler-755,c,0.0367,,0.0,,1.26,0.05,0.05,0.00669,,0.112,0.05,0.05,2.13,,0.77,0.02,1.7171896712813624,1.465123612200532,1.7171896712813624,0.9072729909980178,0.7383762768466098,0.9072729909980178,1050,-1,-1,-1,mcq13,399.034,2.6725,0.82,0.04,14.277,0.149,11.879,0.028,29.807,0.238,2.3979999999999997,0.15160804727981955,5043.0,-0.457,,4.9,3.54,17.358012628714505,9.170016450466271,-0.01,0.108,,0.0367,0.0,0.09149066016881863,0.11812601829082828,19.673713901473718,25.401253897237186,28.456295021834176,11.361397724542348,0.40113384177446243,0.047384343530520366,1,1,0,0,0,1,
197,Kepler-1111 b,Kepler-1111,b,0.0872,,0.0,,2.0,0.54,0.54,0.0147,,0.178,0.54,0.54,4.66,,1.15,0.31,1.7190770728963518,1.6951000950559325,1.7190770728963518,0.7661193227296457,1.3272421370495164,0.7661193227296457,2129,-1,-1,-1,mcq13,841.536,15.759,1.1,0.13,14.88,0.114,13.244,0.033,19.244,3.149,1.636000000000001,0.1186802426691149,6077.0,-0.09,,3.16,1.68,11.194378834671525,4.64038961772158,0.02,0.17,,0.0872,0.0,0.09151285418987602,0.10013644552696266,19.678486397593,21.53286222629526,28.455464901500125,9.582978105675819,0.9528716022677266,0.09541717529467184,2,2,0,0,0,2,
198,Kepler-353 b,Kepler-353,b,0.051,,0.0,,0.89,0.06,0.06,0.00201,,0.079,0.06,0.06,0.64,,0.5,0.02,1.0991875930121833,0.8162004270743973,1.0991875930121833,1.0285055130134881,0.26391112508641673,1.0285055130134881,2036,-1,-1,-1,mcq13,384.694,4.945,0.55,0.01,16.126,1.133,12.808,0.027,32.402,0.028,3.3180000000000014,1.133321666606617,3903.0,-1.187,0.065,3.39,4.48,29.47813476606523,27.582563143506988,-0.12,0.108,,0.051,0.0,0.08290821122920064,0.2074288446530069,17.828185137111422,44.60450648280844,28.79341384465703,20.359336211333545,0.6151381056697743,0.12759738656112057,1,1,0,0,0,1,
199,Kepler-285 c,Kepler-285,c,0.064,,0.0,,1.12,0.49,0.49,0.00459,,0.1,0.49,0.49,1.46,,0.81,0.35,2.093035231104983,1.324593253315662,2.093035231104983,0.9515957423320501,0.684498386975458,0.9515957423320501,1305,-1,-1,-1,mcq13,824.31,16.001,0.82,0.06,15.198,0.149,13.319,0.039,26.948,1.399,1.8789999999999996,0.15401947928752388,5411.0,-0.279,,0.6,3.8,12.875081890414837,5.8153524200251026,0.16,0.15,,0.064,0.0,0.09557764987493639,0.10225548829601376,20.552560617062646,21.98853104654831,28.306727630116928,9.725225375966646,0.6696126142852872,0.06847156484291236,1,1,0,0,0,1,
200,Kepler-191 c,Kepler-191,c,0.128,,0.0,,1.86,0.92,0.92,0.013,,0.166,0.92,0.92,4.12,,0.79,0.39,1.4496967895733899,1.020671943989263,1.4496967895733899,0.695089597539948,0.5178875816440496,0.695089597539948,582,-1,-1,-1,mcq13,594.464,7.885,0.81,0.06,14.987,0.092,12.883,0.04,21.246,0.009,2.104000000000001,0.10031948963187562,5282.0,-0.414,,0.9,3.9,14.655478409559128,7.026894649292193,0.13,0.058,,0.128,0.0,0.08813306799297059,0.1074299791472422,18.95171334159609,23.101228806134014,28.58425651919459,10.356805429551002,1.4523493044654836,0.1560258554932386,2,2,0,0,0,2,
201,Kepler-367 c,Kepler-367,c,0.253,,0.0,,1.2,0.16,0.16,0.00588,,0.107,0.16,0.16,1.87,,0.69,0.04,0.9171336626942375,0.600950407754782,0.9171336626942375,0.5195822256125008,0.24219932450573817,0.5195822256125008,2173,-1,-1,-1,mcq13,188.027,0.86,0.68,0.02,13.193,0.297,10.674,0.014,17.068,0.014,2.519,0.2973297832374012,4710.0,-0.617,0.024,2.29,1.99,18.61015541601627,10.543169690972816,0.197,0.014,,0.253,0.0,0.07965884653176059,0.12652836380195495,17.129457296465983,27.208054081892282,28.930246023935386,12.385618260568496,3.1760439802392444,0.40185964818272013,1,1,0,0,0,1,
202,Kepler-535 b,Kepler-535,b,0.0594,,0.0,,2.36,0.33,0.33,0.0194,,0.211,0.33,0.33,6.17,,1.27,0.18,1.0858821958581002,1.0595921019972439,1.0858821958581002,0.43322748252937543,0.8671563871459956,0.43322748252937543,355,-1,-1,-1,mcq13,685.599,5.968,1.18,0.06,13.209,0.092,11.845,0.019,10.394,1.346,1.363999999999999,0.09394147114027968,6123.0,0.341,0.023,3.24,1.28,9.57194071294844,3.6120893214063314,0.13,0.082,,0.0594,0.0,0.08268556736997996,0.09001971823243549,17.780308866679608,19.357409583976356,28.80261688769414,8.68382031872361,0.7183841375147402,0.06466873764172809,2,2,0,0,0,2,
203,Kepler-400 b,Kepler-400,b,0.087,,0.0,,1.65,0.3,0.3,0.0106,,0.147,0.3,0.3,3.36,,1.15,0.21,1.3209804515359291,1.1371359526661808,1.3209804515359291,0.5249732352773506,0.808984497974096,0.5249732352773506,2711,-1,-1,-1,mcq13,845.97,,1.08,0.04,13.762,0.16,12.296,0.023,13.409,0.03,1.466000000000001,0.16164467204334326,5886.0,0.152,,3.63,1.77,10.150793665726923,4.033981380413353,0.084,0.021,,0.087,0.0,0.0863421404875415,0.0896260250052709,18.56660085803681,19.272751675705805,28.654519087469946,8.605424572501542,1.007619217090795,0.09030890514677108,2,2,0,0,0,2,
204,Kepler-84 e,Kepler-84,e,0.181,,0.0,,2.6,0.49,0.49,0.0229,,0.232,0.49,0.49,7.27,,1.17,0.22,1.6377858781533976,1.5764896435554037,1.6377858781533976,0.6969886406666018,1.1027863510417946,0.6969886406666018,1589,-1,-1,-1,mcq13,1023.9,,1.06,0.06,14.92,0.092,13.193,0.026,19.32,0.444,1.7270000000000003,0.09560334722173695,6031.0,0.212,,3.98,1.91,11.796413839996768,5.012846569766677,-0.07,0.114,,0.181,0.0,0.09053924328881295,0.09575619439906718,19.469125766862753,20.59095397743345,28.492071415002957,9.162768518898707,1.9991331209012257,0.19142937975463165,2,3,0,0,0,2,
205,Kepler-1680 b,Kepler-1680,b,0.0784,,0.0,,1.36,,,0.00761,,0.121,,,2.42,,0.72,,1.3008640517804189,0.9998225152549699,1.3008640517804189,0.6394327278493681,,0.6394327278493681,2120,-1,-1,-1,mcq13,310.315,1.55,0.83,,13.85,0.114,11.673,0.021,19.883,0.015,2.1769999999999996,0.11591807451816995,5021.0,-0.524,,13.8,2.1,15.28445649088947,7.512983530772737,0.2,0.26,,0.0784,0.0,0.08605008311497445,0.1100579546528295,18.50379823774641,23.66633608748497,28.666115279647784,10.648018932646556,0.9110973187004026,0.10027350738584345,1,1,0,0,0,1,
206,Kepler-1418 b,Kepler-1418,b,0.131,,0.0,,1.66,0.14,0.14,0.0107,,0.148,0.14,0.14,3.39,,0.72,0.03,0.5747092995491204,0.5213738256503159,0.5747092995491204,0.33476109821428346,0.24480136258092824,0.33476109821428346,3049,-1,-1,-1,mcq13,499.0,25.122,0.77,0.04,15.461,0.206,12.755,0.035,11.911,0.039,2.7059999999999995,0.20895214763193987,4770.0,-0.616,,3.63,5.94,20.725260595825745,12.072018651629934,0.0,0.167,,0.131,0.0,0.07184806162202113,0.1303205439092845,15.449863473701829,28.023506351629955,29.28343889654062,12.890494495625095,1.8232920560775303,0.2376124124535014,2,2,0,0,0,2,
207,HD 80653 b,HD 80653,b,0.01661,0.00019,0.0,,1.613,0.071,0.071,0.018,0.00113,0.144,0.071,0.071,5.72,0.36,1.22,0.01,1.9617640050840264,1.9929791797235057,1.9617640050840264,0.7524665380250991,1.6037932851120624,0.7524665380250991,-1,-1,-1,-1,nasa,109.86,0.811,1.18,0.04,9.452,0.003,8.018,0.021,19.55,0.57,1.4339999999999993,0.021213203435596427,5959.0,0.24,0.02,2.67,1.2,9.96552080134768,3.8113788607016508,0.255,0.065,G2,0.01661,0.00019,0.09422047576075264,0.08681754601774819,20.260720387823195,18.66882978906875,28.35567344200776,8.21890789526575,0.17628864496690286,0.01543722385842221,2,2,0,0,0,2,
208,K2-18 c,K2-18,c,0.06,0.003,0.47,,2.65,,,0.02363,0.00418,0.236,,,7.51,1.33,0.41,0.04,0.6339971486344104,0.5707045101199794,0.6339971486344104,0.5629280950781248,0.15497396225421084,0.5629280950781248,-1,-1,-1,-1,nasa,38.0266,0.07955,0.36,0.05,13.477,0.042,8.899,0.019,38.6,0.5,4.578000000000001,0.046097722286464436,3457.0,-1.597,0.038,,,60.88355457613958,54.05294976449368,0.09,0.09,M2.5 V,0.0318,0.00159,0.07342260089603343,0.19712464141134847,15.788444867107376,42.3887399096417,29.209246897292388,19.598794326004278,0.4331091463925239,0.08808009453043919,2,3,0,0,0,2,
209,Kepler-248 c,Kepler-248,c,0.123,,0.0,,4.07,0.49,0.49,0.049,,0.363,0.49,0.49,15.6,,0.83,0.1,1.6666140369911466,1.4722617712184933,1.6666140369911466,0.8136868286293035,0.820894900765587,0.8136868286293035,896,-1,-1,-1,mcq13,738.792,12.7425,0.9,0.02,15.506,0.115,13.357,0.053,25.066,0.009,2.149000000000001,0.12662543188475212,5190.0,-0.418,,2.34,1.62,15.040074932558097,7.342976413978488,0.2,0.07,,0.123,0.0,0.0908887359960547,0.10937232090395868,19.544279006769848,23.518900685974153,28.478885845941434,10.50700922500528,1.3533030100158856,0.14801389109175064,3,3,0,0,0,3,
210,Kepler-1245 c,Kepler-1245,c,0.0372,,0.0,,1.44,0.13,0.13,0.00839,,0.128,0.13,0.13,2.67,,0.83,0.06,1.8001015358944736,1.386024804225573,1.8001015358944736,0.8483894147754216,0.7387145265279954,0.8483894147754216,2458,-1,-1,-1,mcq13,805.936,16.352,0.86,0.04,15.582,0.046,13.519,0.033,25.766,0.447,2.0630000000000006,0.056612719418872644,5306.0,-0.411,0.023,4.57,6.27,14.31363702892283,6.7414577142398135,-0.01,0.16,,0.0372,0.0,0.09244820134060108,0.10573297386561475,19.879618974491766,22.736312908288006,28.420662023147642,10.121992499111387,0.40238749332662926,0.042545626315754724,1,1,0,0,0,1,
211,Kepler-151 b,Kepler-151,b,0.116,,0.0,,3.06,1.53,1.53,0.0302,,0.273,1.53,1.53,9.59,,0.83,0.41,1.565683210912066,1.2540501214793847,1.565683210912066,0.7712800701395807,0.6823645233649103,0.7712800701395807,413,-1,-1,-1,mcq13,649.919,9.538,0.87,0.05,14.957,0.229,12.864,0.03,22.801,0.036,2.093,0.23095670589961229,5460.0,-0.334,,4.6,3.9,14.562971513705897,7.173910993271112,0.124,0.013,,0.116,0.0,0.08964364514814185,0.11030550036513789,19.276540626939806,23.71956713328249,28.526094030841012,10.619030252874056,1.294012529368954,0.14273669953080015,2,3,0,0,0,2,
212,Kepler-200 b,Kepler-200,b,0.08,,0.0,,2.13,0.41,0.41,0.0163,,0.19,0.41,0.41,5.18,,0.94,0.16,1.853792749277628,1.3170042582869348,1.853792749277628,0.7585976362086322,0.8382915604468386,0.7585976362086322,654,-1,-1,-1,mcq13,665.912,7.1445,0.98,0.04,13.932,0.103,12.455,0.021,18.937,2.194,1.4770000000000003,0.10511898020814318,5678.0,0.008,,6.3,1.5,10.215273529028112,4.009191264578964,-0.006,0.034,,0.08,0.0,0.09305008972097512,0.09229621671377794,20.009046172571335,19.84693692738419,28.39845235565843,8.781698822003436,0.8597519920710684,0.07935185618029363,2,2,0,0,0,2,
213,Kepler-582 b,Kepler-582,b,0.1254,,0.0,,3.68,0.55,0.55,0.0413,,0.328,0.55,0.55,13.1,,0.91,0.13,0.8493637697115213,0.7802337491592894,0.8493637697115213,0.40484942472120544,0.4668930341692372,0.40484942472120544,507,-1,-1,-1,mcq13,613.179,9.115,0.93,0.07,15.097,0.023,12.992,0.031,12.455,0.005,2.1049999999999986,0.03860051813123756,5564.0,-0.414,,4.47,4.74,14.663917209737152,6.989556833796828,0.01,0.165,,0.1254,0.0,0.07832001894711432,0.10700067334005631,16.841562217174502,23.008912939014554,28.98825571396305,10.441753507280142,1.6011232081631197,0.17132126137384496,3,3,0,0,0,3,
