,TIC,Teff,Tmag,Rvar,Period,Half-period flag,Adjusted period,Sectors in measurement,Period sigma,Period SEM,Period MAD,Period from 2-term LS,Period from ACF,Visual inspection flag
0,32051273.0,5390.83,11.5018,0.0041542329091378,0.919153030606121,1,1.838306061212242,1,0.0,,0.0,1.8253040608121625,1.815277777777777,X
1,38824311.0,5427.0,10.7137,0.00493443940489205,9.18853130626125,0,9.18853130626125,1,0.0,,0.0,9.16452730546109,9.13472222222222,X
2,31181554.0,3322.0,13.7063,0.04214309179243305,3.391565113022604,0,3.391565113022604,3,1.0317881781338756,0.729584417506577,0.09001500300059995,6.584097219443889,3.8166666666666655,X
3,220389494.0,5916.0,10.6658,0.0027102611124614,7.43023824764953,0,7.43023824764953,1,0.0,,0.0,7.502250250050009,7.979166666666666,X
4,32206761.0,0.0,10.0272,0.0230893141667247,9.19453230646129,0,9.19453230646129,1,0.0,0.0,0.0,9.12252030406081,8.856944444444444,X
5,141542826.0,0.0,13.8731,0.0114135323538515,5.629938187637527,0,5.629938187637527,1,0.0,,0.0,11.300883376675332,5.470833333333332,X
6,141805180.0,4836.12,11.4469,0.0036626547970535,1.0811800360072013,1,2.1623600720144025,2,0.08401400280056004,0.08401400280056004,0.08401400280056004,2.1613600720144026,4.184027777777777,X
7,350841061.0,5685.0,10.3427,0.0092898647025282,2.7044505901180234,1,5.408901180236047,2,0.009001500300059861,0.00900150030005986,0.009001500300059861,5.413902180436088,5.388194444444444,X
8,299798795.0,4690.0,10.9845,0.01659282520069065,1.2312050410082014,0,1.2312050410082014,1,0.0,,0.0,1.2312050410082014,1.2291666666666663,X
9,55603841.0,3296.0,11.5515,0.0031752646936099,1.693282056411282,1,3.386564112822564,3,0.39555044024206415,0.27969639859648787,0.21003500700139988,1.957326065213042,1.9263888888888887,X
10,294927880.0,6023.0,9.9581,0.0041710932953159,10.292715343068611,0,10.292715343068611,1,0.0,,0.0,10.292715343068611,10.516666666666666,X
11,278991584.0,3327.0,12.7068,0.0082347089473809,6.476079215843168,1,12.952158431686335,4,0.8070438933285824,0.4659470090611007,0.4020670134026809,10.967827865573113,11.152777777777775,X
12,260043481.0,3149.0,12.5071,0.0011204730713842,2.9234870974194838,0,2.9234870974194838,1,0.0,,0.0,2.8934820964192838,2.3041666666666663,X
13,382186170.0,3274.0,12.4193,0.00387747738103645,5.347891178235647,1,10.695782356471295,3,2.232651673402124,1.578723138290135,0.13202200440088063,10.556759351870372,10.006944444444445,X
14,441428622.0,4176.0,11.8786,0.0068216141527456,5.365894178835767,1,10.731788357671533,1,0.0,0.0,0.0,10.730788357671532,10.63611111111111,X
15,220457102.0,0.0,9.658,0.01927470910420475,5.119853170634126,0,5.119853170634126,7,0.2221842528466019,0.09070634139261591,0.11401900380076047,5.173862172434487,5.225,X
16,259901389.0,0.0,9.211,0.0256671174775223,5.737956191238247,0,5.737956191238247,2,0.04200700140028024,0.04200700140028024,0.04200700140028024,5.752958691738348,5.767361111111111,X
17,150249622.0,5669.0,11.2515,0.0100058242823207,6.080013202640528,1,12.160026405281055,1,0.0,,0.0,11.906984396879372,11.838888888888889,X
18,31505975.0,5530.1,9.235,0.009508299401110549,9.410568313662733,0,9.410568313662733,3,2.9120746186947324,2.059147710200275,0.8821470294058784,10.322720344068811,10.683333333333332,X
19,382528174.0,0.0,10.9965,0.0309573524072319,0.3190530106021204,0,0.3190530106021204,1,0.0,,0.0,0.3190530106021204,0.3166666666666666,X
20,469967301.0,4538.0,9.6472,0.01115054192506965,7.03417223444689,0,7.03417223444689,1,0.0,,0.0,6.860143228645729,6.758333333333333,X
21,402294760.0,0.0,12.5834,0.00195569297235125,0.9581595319063811,0,0.9581595319063811,2,0.0030005001000200093,0.003000500100020009,0.0030005001000200093,0.9581595319063811,1.4395833333333332,X
22,29779873.0,0.0,13.5081,0.0240256924149695,2.623437087417483,0,2.623437087417483,1,0.0,,0.0,2.623437087417483,2.597222222222222,X
23,238853227.0,3282.0,13.2797,0.0056345827295865,7.48424724944989,0,7.48424724944989,1,0.0,0.0,0.0,15.033505501100215,7.099999999999999,X
24,232066758.0,0.0,11.8908,0.0033660787972867,5.311885177035407,0,5.311885177035407,1,0.0,,0.0,10.610768353670732,21.23472222222222,X
25,177309964.0,6425.82,9.508,0.0943622590096018,0.4510750150030005,0,0.4510750150030005,3,0.0,0.0,0.0,0.9071510302060412,0.4527777777777777,X
26,232083054.0,5973.0,9.0075,0.0380438718107248,0.6251040208041607,0,0.6251040208041607,2,0.0,0.0,0.0,0.6251040208041607,0.6263888888888888,X
27,270676943.0,3436.0,11.6603,0.0145278051455804,0.739123024604921,0,0.739123024604921,1,0.0,,0.0,0.739123024604921,0.7333333333333333,X
28,374912514.0,0.0,13.0653,0.021469032909357803,4.036672634526905,0,4.036672634526905,2,0.003000500100020176,0.003000500100020176,0.003000500100020176,8.072345269053809,4.009722222222221,X
29,33837338.0,4578.0,11.0033,0.0180596602259137,9.206534306861371,0,9.206534306861371,4,0.3119798746581724,0.18012166461564152,0.13202200440088063,9.22453730746149,9.150694444444444,X
30,159777334.0,3636.0,12.0021,0.051679472138949,3.583597119423884,0,3.583597119423884,1,0.0,0.0,0.0,3.5895981196239246,3.569444444444444,X
31,179201107.0,0.0,12.0122,0.0478222628472484,3.967661132226445,0,3.967661132226445,2,1.0801800360072016,1.0801800360072016,1.0801800360072016,3.8926486297259455,7.16736111111111,X
32,370227293.0,0.0,8.338,0.0118275292217349,8.69944978995799,0,8.69944978995799,2,0.32105351070214105,0.32105351070214105,0.32105351070214105,12.984163932786556,8.482638888888888,X
33,350518530.0,0.0,14.5461,0.0021042768724967,5.329888177635527,0,5.329888177635527,1,0.0,,0.0,5.245874174834967,5.605555555555555,X
34,350620345.0,0.0,12.5595,0.0068445325777127,5.785964192838567,0,5.785964192838567,3,0.023155533189758444,0.016373434540468364,0.012002000400079815,8.82847129425885,5.345833333333332,X
35,418804476.0,3571.0,11.6826,0.0128176394261546,4.693782156431286,1,9.387564312862573,1,0.0,0.0,0.0,9.30855131026205,9.175,X
36,369964134.0,7000.0,10.2552,0.0045436857889332005,6.1850307061412275,0,6.1850307061412275,2,0.09301550310062012,0.09301550310062011,0.09301550310062012,12.321053410682135,12.487499999999999,X
37,389363695.0,3938.0,10.9401,0.07092064750666464,5.206867673534706,0,5.206867673534706,2,1.0171695339067814,1.0171695339067814,1.0171695339067814,10.328721344268851,11.430555555555555,X
38,364540782.0,6111.0,7.776,0.005189902886344,3.7216201240248044,1,7.443240248049609,4,0.8196144895254229,0.47320464615922064,0.07801300260052058,3.748624624924985,3.686111111111111,X
39,149600376.0,3900.0,11.605,0.0493127421430642,0.3130520104020803,0,0.3130520104020803,3,0.0,0.0,0.0,0.3130520104020803,0.3124999999999999,X
40,358174980.0,0.0,14.415,0.01719286808516265,2.521420084016803,0,2.521420084016803,9,0.21347930250994177,0.07547633122387708,0.01200200040008026,2.521420084016803,2.581944444444444,X
41,260659412.0,5297.48,11.4083,0.0083843311771995,5.449908181636327,1,10.899816363272654,3,1.3740616132360184,0.9716082844873158,0.10201700340067976,10.526754350870172,10.312499999999998,X
42,410150263.0,5115.0,10.6651,0.00684619234604765,5.941990198039607,1,11.883980396079213,1,0.0,,0.0,11.702950390078014,11.445833333333333,X
43,259962101.0,2828.0,14.7576,0.0053904499222845,4.201700140028006,0,4.201700140028006,1,0.0,,0.0,8.378396279255849,12.865277777777775,X
44,177022213.0,5307.5,9.6749,0.0130382552684602,5.527921184236847,0,5.527921184236847,4,0.050453924430114705,0.029129586851399762,0.03600600120023989,8.105350770154029,5.4215277777777775,X
45,55652785.0,4468.0,9.1971,0.0494245091847609,0.8471410282056411,0,0.8471410282056411,5,0.0,0.0,0.0,0.8471410282056411,1.6944444444444442,X
46,62481640.0,0.0,11.385,0.0065547850097785,7.262210242048409,0,7.262210242048409,1,0.0,0.0,0.0,14.631438487697537,7.287499999999999,X
47,176955610.0,3338.0,12.5941,0.0042836857425656,9.674612322464492,0,9.674612322464492,1,0.0,,0.0,10.568761352270451,10.17222222222222,X
48,278956474.0,6437.5,9.4937,0.0262785384219736,5.587931186237247,0,5.587931186237247,1,0.0,,0.0,5.575929185837167,5.494444444444444,X
