hostname,Prot,e_Prot,db
Kepler-61,35.55,0.38,arm15
Kepler-296,36.11,0.13,arm15
Kepler-186,34.27,0.07,arm15
Kepler-62,39.77,0.44,arm15
Kepler-438,37.04,0.08,arm15
Kepler-283,18.27,0.02,arm15
Kepler-440,17.61,0.02,arm15
