,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
10,HD 233832 b,HD 233832,b,2.827,0.045,0.359,0.046,13.5,,1.78,0.08,1.2,565.7374,25.4264,0.68,0.03,2.744946325603322,1.5542213007780046,2.744946325603322,,,,-1,-1,-1,-1,nasa,58.742,0.2626,0.71,0.02,10.15,0.03,8.013,0.02,41.0,,2.1370000000000005,0.0360555127546398,4981.0,-0.523,0.015,5.417,4.165,14.936539784976835,7.190332862516741,-0.66,0.1,G0,1.812107,0.1332026868685463,0.1014745568596893,,21.82060328620026,,28.101829896728905,,17.857747361297992,,3,3,0,0,0,3,,-15.788954193121095,G,0.0,,20.0,G0 
11,HD 4208 b,HD 4208,b,1.662,0.015,0.042,0.039,13.9,,0.81,0.015,1.24,257.4423,4.76745,0.85,0.03,2.2539278440148927,1.4056461540398728,2.2539278440148927,,,,-1,-1,-1,-1,nasa,34.1937,0.0681,0.88,0.02,7.783,0.019,6.163,0.021,25.0,,1.62,0.0283196045170125,5717.0,-0.1,0.001,3.813,2.97,11.091748152624008,4.514554326592291,-0.28,0.02,G7 V Fe-1 CH-0.5,1.592196,0.0663917918420643,0.0971534084822886,,20.89140421007672,,28.250763192331892,,16.38847287885183,,3,3,0,0,0,3,,-14.895948929374262,G,7.0, V,27.0,G7  V
12,nu Oct A b,nu Oct A,b,1.25,0.05,0.11,0.02,13.3,,2.4,0.3,1.18,762.78818,95.34852,5.81,0.12,8.672175051074937,,8.672175051074937,5.096190976356753,,5.096190976356753,-1,-1,-1,-1,nasa,21.1999,1.30061,1.61,0.15,3.73,0.03,1.458,0.306,140.0,35.0,2.272,0.3074670714076549,4860.0,1.23,,2.8,0.3,16.143585568264868,8.585455722416471,0.18,0.04,K1 IIIb-IV,1.1125,0.0510416496598611,0.1308180159548634,0.1373750909597291,28.1304803605686,29.540482402724567,27.23253602534111,12.094444974291296,8.504180344577685,1.231694890656366,3,3,0,0,0,3,,-13.1507243599612,K,1.0, III,11.0,K1  III
13,WASP-47 c,WASP-47,c,1.393,0.014,0.264,0.012,,,1.40642,0.06922,,447.0,22.0,1.16,0.01,2.61911515794052,2.545883896424876,2.61911515794052,1.1508101142977316,1.795239923872662,1.1508101142977316,-1,-1,-1,-1,nasa,264.78,4.888,1.06,0.05,11.936,0.046,10.192,0.026,31.2,3.5,1.7439999999999998,0.0528393792544916,5576.0,0.024,0.01,6.5,2.6,11.91242008027375,5.060723062215379,0.38,0.05,,1.025248,0.0196366257793949,0.100428603159022,0.0993242367071616,21.595686405907287,21.35820872702512,28.137289813829156,9.34262945176112,10.208725081803513,1.0326539617614223,3,-1,1,84,100,3,,-16.549827090892787,,,,,
14,HD 125612 b,HD 125612,b,1.349,0.059,0.446,0.011,13.2,,2.974,0.258,1.17,945.22168,81.99973,1.07,0.02,1.0308353401709835,0.8402611789047646,1.0308353401709835,,,,-1,-1,-1,-1,nasa,57.6207,0.1644,1.05,0.13,8.31,0.03,6.838,0.026,10.5,,1.4720000000000004,0.0396988664825584,5900.0,0.06,0.06,1.77,1.24,10.18591388054117,3.9501547267932553,0.23,0.014,G3 V,0.7473460000000001,0.0358966644272138,0.0817412143087308,,17.57723970186307,,28.84192942703955,,9.14282967680571,,3,3,1,44,65,3,,-15.18921379516054,G,3.0, V,23.0,G3  V
15,HD 221585 b,HD 221585,b,2.306,0.081,0.123,0.069,13.5,,1.61,0.14,1.21,511.7063,44.4962,1.85,0.04,2.9069946567324103,3.455041223669852,2.9069946567324103,1.359733569240544,2.9892827786589526,1.359733569240544,-1,-1,-1,-1,nasa,55.8535,0.1017,1.19,0.12,7.457,0.017,5.781,0.029,33.3,7.2,1.6760000000000002,0.0336154726279432,5620.0,0.422,0.031,6.2,0.5,11.45512941445536,4.751274621617635,0.29,0.02,G8 IV,2.022362,0.1742513138114028,0.1027678745732441,0.1056859123031841,22.09871214051649,22.726193015029978,28.058485841120245,9.91776186648583,19.678931849063726,2.6833758770172165,3,3,1,100,100,3,,-14.800157521040731,G,8.0, IV,28.0,G8  IV
16,HD 238914 b,HD 238914,b,5.7,0.9,0.56,0.07,12.8,,6.0,2.7,1.14,1906.98,858.141,12.73,3.89,14.41062687210468,,14.41062687210468,10.547817585912933,,10.547817585912933,-1,-1,-1,-1,nasa,519.452,8.2395,1.47,0.47,8.770001,0.03,6.325,0.034,257.0,130.0,2.4450010000000004,0.0453431361950185,4769.0,1.85,0.19,,,17.834061091227532,9.434808628437285,-0.25,0.09,K7,2.508,0.5621538935202709,0.146341016139661,0.1730492172405062,31.468472063379743,37.21167586485516,26.84877060782479,14.852199488732554,17.1380523803831,4.853026109331315,3,3,1,27,57,3,,-15.30914758069895,K,7.0,,17.0,K7 
17,HD 73267 c,HD 73267,c,12.688,0.812,0.089,0.023,12.8,,5.131,0.912,1.15,1630.77756,289.85951,0.96,0.03,3.419546041793603,2.6937014222279765,3.419546041793603,,,,-1,-1,-1,-1,nasa,50.4093,0.0729,0.93,0.12,8.9,0.03,7.062,0.023,43.0,,1.838,0.0378021163428715,5317.0,-0.175,0.001,8.14,3.505,12.57476854367659,5.50211772577444,0.03,0.02,K0 V,11.558768,0.7952136057689155,0.1065195008952505,,22.905443918254257,,27.93577369471276,,108.51316334430344,,3,3,0,0,0,3,,-15.308078068681189,K,0.0, V,10.0,K0  V
18,HIP 54597 b,HIP 54597,b,4.0,0.1,0.03,0.03,13.3,,2.4,0.4,1.18,762.78818,127.13136,0.66,0.03,2.3698044670225373,2.11257683722166,2.3698044670225373,1.3203770403153785,1.061315421832894,1.3203770403153785,-1,-1,-1,-1,nasa,39.7429,0.0664,0.8,0.04,9.83,0.03,7.276,0.018,45.0,5.0,2.5540000000000003,0.0349857113690718,4799.0,-0.682,0.004,4.3,4.0,18.98890842101364,10.367482802217728,-0.22,0.06,K5 V,3.88,0.1543016526159068,0.0982348103177988,0.1246963102029829,21.123943687714117,26.814098039911237,28.212879033452143,11.878668139538844,39.49720050812777,5.169563557059162,3,3,0,0,0,3,,-15.608575843166522,K,5.0, V,15.0,K5  V
19,BD-11 4672 b,BD-11 4672,b,2.36,0.04,0.05,0.05,14.1,,0.65,0.06,1.25,206.5895,19.0698,0.64,0.02,0.927235410466009,0.816516581550747,0.927235410466009,,,,-1,-1,-1,-1,nasa,27.1665,0.0346,0.65,0.03,10.03,0.03,6.867,0.024,25.0,,3.163,0.038418745424597,4550.0,-0.804,0.05,7.4,4.9,26.96186935681795,17.396423000253733,-0.35,0.15,K7 V,2.242,0.1239677377384938,0.0798517506193087,,17.170938468662634,,28.921968192331896,,28.077030028917942,,3,3,0,0,0,3,,-15.400124114488749,K,7.0, V,17.0,K7  V
20,HD 190647 b,HD 190647,b,2.231,0.019,0.224,0.014,13.4,,1.985,0.033,1.19,630.89255,10.48839,1.38,0.09,3.788779146920258,3.4940594527692586,3.788779146920258,,,,-1,-1,-1,-1,nasa,54.4738,0.1482,1.07,0.03,7.78,0.03,6.161,0.038,42.0,,1.6190000000000009,0.0484148737476408,5656.0,0.297,,7.957,1.096,11.085365066512272,4.517414575600485,0.23,0.02,G5 V,1.731256,0.0345390835431399,0.1089586042125893,,23.42993702774668,,27.858290042128896,,15.889116903720089,,3,3,1,43,52,3,,-14.903432079185427,G,5.0, V,25.0,G5  V
