pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax.1,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade.1,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj.1,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen.1,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff.1,st_rad,st_raderr1,st_raderr2,st_rad.1,st_mass,st_masserr1,st_masserr2,st_mass.1,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin.1,st_rotp,st_rotperr1,st_rotperr2,st_rotp.1,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum.1,sy_pnum.1,sy_mnum.1,KIC,koi_name,kepler_name,KOI,TIC,GAIA
L 98-59 d,d,L 98-59,,,TIC 307210830,Gaia DR2 5271055243163629056,1,4,0,1,0,0,1,0,0,0,0,0,0,0.0486,0.0018,-0.0019,0.0486,1.521,0.119,-0.098,1.521,1.94,0.28,-0.28,0.136,0.011,-0.009,0.136,0.0061,0.00088,-0.00088,Mass,0.074,0.057,-0.046,0.074,7.4507245,8.1e-06,-4.6e-06,88.449,0.058,-0.111,M3 V,0.8,,,-0.46,0.26,-0.26,[Fe/H],-1.948,0.016,-0.016,3415.0,135.0,-135.0,3415.0,0.3,0.03,-0.02,0.3,0.27,0.03,-0.03,0.27,0.0,1.9,-1.9,0.0,80.9,5.0,-5.3,80.9,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,1,4,0,-1,,,-1,307210830,5.27105524316363e+18
GJ 486 b,b,GJ 486,,HIP 62452,TIC 390651552,Gaia DR2 3735000631158990976,1,1,0,1,0,0,1,0,0,0,0,0,0,0.01714,0.00013,-0.00013,0.01714,1.289,0.019,-0.014,1.289,2.77,0.076,-0.073,0.115,0.002,-0.001,0.115,0.00872,0.00024,-0.00023,Mass,0.00086,0.0016,-0.00043,0.00086,1.46712127,3.1e-07,-3.5e-07,89.39,0.41,-0.42,M3.5 V,4.0,4.0,-3.0,-0.15,0.13,-0.12,[Fe/H],-1.939,0.017,-0.018,3317.0,36.0,-37.0,3317.0,0.32,0.0,-0.0,0.32,0.31,0.01,-0.01,0.31,2.0,,,2.0,130.1,1.6,-1.2,130.1,8.07426,0.004095,-0.004095,11.39,0.1,-0.1,6.362,0.018,-0.018,1,1,0,-1,,,-1,390651552,3.735000631158991e+18
HIP 12961 b,b,HIP 12961,,HIP 12961,TIC 204614039,Gaia DR2 5077642283022422656,1,1,0,1,0,0,0,0,0,0,0,0,0,0.25,0.01,-0.01,0.25,13.2,,,13.2,114.4188,22.2481,-22.2481,1.18,,,1.18,0.36,0.07,-0.07,Msini,0.17,0.03,-0.03,0.17,57.435,0.042,-0.042,,,,M0,,,,-0.14,,,[Fe/H],-1.003,0.043,-0.031,3901.0,175.0,-175.0,3901.0,0.65,0.06,-0.06,0.65,0.69,0.19,-0.19,0.69,,,,,,,,,23.371,0.0185,-0.0184,10.25,0.03,-0.03,6.736,0.018,-0.018,1,1,0,-1,,,-1,204614039,5.077642283022423e+18
HD 11755 b,b,HD 11755,HD 11755,HIP 9242,TIC 137121812,Gaia DR2 558504529130235136,1,1,0,1,0,0,0,0,0,0,0,0,0,1.09,0.04,-0.04,1.09,12.8,,,12.8,1789.3829,292.4036,-292.4036,1.14,,,1.14,5.63,0.92,-0.92,Msini,0.19,0.1,-0.1,0.19,433.70001,3.2,-3.2,,,,G5,10.2,1.3,-1.3,-0.74,,,[Fe/H],2.169,0.005,-0.005,4312.0,5.0,-5.0,4312.0,20.58,2.27,-2.27,20.58,0.72,0.17,-0.17,0.72,2.3,,,2.3,,,,,235.045,1.616,-1.595,6.88269,0.023,-0.023,3.76,0.28,-0.28,1,1,0,-1,,,-1,137121812,5.5850452913023514e+17
HD 29985 b,b,HD 29985,HD 29985,,TIC 170867837,Gaia DR2 4868261081155110400,1,1,0,1,0,0,0,0,0,0,0,0,0,13.39,2.071,-3.68,13.39,12.8,,,12.8,1739.47487,617.85842,-367.72747,1.14,,,1.14,5.473,1.944,-1.157,Mass,0.261,0.144,-0.169,0.261,20608.14049,4708.95644,-7737.11195,52.658,32.134,-27.013,,,,,-0.22,0.07,-0.07,[M/H],-0.846,0.019,-0.013,4678.0,122.98,-107.02,4678.0,0.57,0.04,-0.04,0.57,0.75,0.09,-0.09,0.75,,,,,,,,,31.2707,0.0217,-0.0217,9.98,0.03,-0.03,6.972,0.024,-0.024,1,1,0,-1,,,-1,170867837,4.868261081155111e+18
HD 115954 b,b,HD 115954,HD 115954,HIP 65042,TIC 180655149,Gaia DR2 1476407794119745536,1,1,0,1,0,0,0,1,0,0,0,0,0,5.0,1.3,-0.36,5.0,12.6,,,12.6,2685.65004,193.87533,-146.20107,1.12,,,1.12,8.45,0.61,-0.46,Mass,0.487,0.095,-0.041,0.487,3700.0,1500.0,-390.0,79.0,7.7,-11.0,G0 V,,,,0.34,0.02,-0.02,[Fe/H],0.481,0.013,-0.012,5957.0,26.0,-26.0,5957.0,1.21,0.08,-0.08,1.21,1.18,0.06,-0.06,1.18,5.3,1.0,-1.0,5.3,,,,,87.6437,0.2763,-0.2747,8.34,0.03,-0.03,6.87,0.02,-0.02,1,1,0,-1,,,-1,180655149,1.4764077941197455e+18
HIP 97233 b,b,HIP 97233,HD 186641,HIP 97233,TIC 251662732,Gaia DR2 4238527753544691712,1,1,0,1,0,0,0,1,0,0,0,0,0,2.491,0.049,-0.051,2.491,12.1,,,12.1,6098.17365,1157.84889,-102.9764,1.08,,,1.08,19.187,3.643,-0.324,Mass,0.63,0.044,-0.042,0.63,1062.26506,8.8071,-9.63078,86.083,20.58,-20.89,K0/1 III,,,,0.29,0.13,-0.13,[Fe/H],1.204,0.132,-0.191,5020.0,100.0,-100.0,5020.0,5.34,0.55,-0.55,5.34,1.81,0.1,-0.1,1.81,2.2,0.9,-0.9,2.2,,,,,102.275,0.407,-0.404,7.34,0.03,-0.03,5.09,0.027,-0.027,1,1,0,-1,,,-1,251662732,4.2385277535446917e+18
HD 95872 b,b,HD 95872,HD 95872,,TIC 52198580,Gaia DR2 3537576785745979904,1,1,0,1,0,0,0,0,0,0,0,0,0,5.15,0.16,-0.16,5.15,13.0,,,13.0,1188.6842,295.5819,-295.5819,1.16,,,1.16,3.74,0.93,-0.93,Msini,0.06,0.04,-0.04,0.06,4375.0,170.0,-170.0,,,,K0 V,10.0,3.7,-3.7,0.41,,,[Fe/H],-0.242,0.002,-0.002,5312.0,100.0,-100.0,5312.0,0.84,0.04,-0.04,0.84,0.7,0.25,-0.25,0.7,,,,,,,,,72.2195,0.1792,-0.1784,9.955,0.007,-0.007,7.956,0.026,-0.026,1,1,0,-1,,,-1,52198580,3.53757678574598e+18
OGLE-2015-BLG-0966L b,b,OGLE-2015-BLG-0966L,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,2.7,,,2.7,4.86,,,4.86,21.0,2.0,-2.0,0.433,,,0.433,0.066,0.006,-0.006,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.04,-0.04,0.38,,,,,,,,,3300.0,,,,,,,,,1,1,0,-1,,,-1,-1,
Teegarden's Star c,c,Teegarden's Star,,,TIC 257870150,Gaia DR2 35227046884571776,1,3,0,1,0,0,0,0,0,0,0,0,0,0.0455,0.0015,-0.0016,0.0455,1.02,,,1.02,1.05,0.14,-0.13,0.091,,,0.091,0.0033,0.00044,-0.00041,Msini,0.04,0.07,-0.03,0.04,11.416,0.003,-0.003,,,,M7.0 V,8.0,,,-0.11,0.28,-0.28,[Fe/H],-3.141,0.003,-0.003,3034.0,45.0,-45.0,3034.0,0.12,0.01,-0.01,0.12,0.1,0.01,-0.01,0.1,2.0,,,2.0,96.2,,,96.2,3.83078,0.00398,-0.00397,15.13,0.2,-0.2,7.585,0.046,-0.046,1,3,0,-1,,,-1,257870150,3.5227046884571776e+16
TOI-1470 b,b,TOI-1470,,,TIC 284441182,Gaia DR2 427224073427887360,1,2,0,1,0,0,1,0,0,0,0,0,0,0.0285,0.0004,-0.0004,0.0285,2.18,0.04,-0.04,2.18,7.32,1.21,-1.24,0.194,0.004,-0.004,0.194,0.02303,0.00381,-0.0039,Mass,0.3,,,0.3,2.527093,4e-06,-3e-06,87.42,0.12,-0.12,M1.5 V,1.3,0.7,-0.7,0.0,0.03,-0.03,[Fe/H],-1.425,0.001,-0.001,3709.0,11.0,-11.0,3709.0,0.47,0.0,-0.0,0.47,0.47,0.01,-0.01,0.47,2.0,,,2.0,29.0,3.0,-3.0,29.0,51.9503,0.0745,-0.0745,13.459,0.036,-0.036,9.283,0.02,-0.02,1,2,0,-1,,,-1,284441182,4.2722407342788736e+17
HR 810 b,b,HR 810,HD 17051,HIP 12653,TIC 166853853,Gaia DR2 4745373133284418816,1,1,0,1,0,0,1,1,0,0,0,0,0,0.92,0.02,-0.02,0.92,12.7,,,12.7,1970.53612,158.9142,-158.9142,1.14,,,1.14,6.2,0.5,-0.5,Mass,0.14,0.13,-0.13,0.14,302.79999,2.3,-2.3,87.0,6.0,-6.0,G0V,2.72,,,0.16,,,[Fe/H],0.253,0.001,-0.001,6167.0,24.0,-24.0,6167.0,1.13,0.02,-0.02,1.13,1.34,0.13,-0.13,1.34,6.5,0.5,-0.5,6.5,7.9,,,7.9,17.3181,0.0162,-0.0162,5.4,0.03,-0.03,4.138,0.036,-0.036,1,1,0,-1,,,-1,166853853,4.745373133284419e+18
