hostname,Prot,e_Prot,KOI,KIC,TIC,GAIA,db
Kepler-1813,14.742,0.008,2248,-1,-1,-1,mcq13
Kepler-325,14.168,0.009,1832,-1,-1,-1,mcq13
Kepler-191,21.246,0.009,582,-1,-1,-1,mcq13
Kepler-242,15.773,0.009,853,-1,-1,-1,mcq13
Kepler-995,18.436,0.009,1881,-1,-1,-1,mcq13
Kepler-49,18.507,0.009,248,-1,-1,-1,mcq13
Kepler-703,7.654,0.009,851,-1,-1,-1,mcq13
Kepler-289,8.648,0.009,1353,-1,-1,-1,mcq13
Kepler-248,25.066,0.009,896,-1,-1,-1,mcq13
HD 189733,11.95,0.01,-1,-1,-1,-1,nasa
TOI-837,2.97,0.01,-1,-1,-1,-1,nasa
Kepler-551,16.064,0.01,430,-1,-1,-1,mcq13
Kepler-1765,18.881,0.01,1704,-1,-1,-1,mcq13
Kepler-1190,15.605,0.01,2318,-1,-1,-1,mcq13
TOI-942,3.39,0.01,-1,-1,-1,-1,nasa
K2-25,1.88,0.01,-1,-1,-1,-1,nasa
Kepler-636,17.312,0.01,652,-1,-1,-1,mcq13
Kepler-419,4.49,0.01,-1,-1,-1,-1,nasa
Kepler-709,23.065,0.01,867,-1,-1,-1,mcq13
HD 284149 A,1.05,0.01,-1,-1,-1,-1,nasa
Kepler-1647,11.23,0.01,-1,-1,-1,-1,nasa
NGTS-10,17.29,0.01,-1,-1,-1,-1,nasa
Kepler-1071,16.887,0.01,2048,-1,-1,-1,mcq13
Kepler-198,15.369,0.01,624,-1,-1,-1,mcq13
eps Ind A,-35.73,0.01,-1,-1,-1,-1,nasa
AF Lep,1.01,0.01,-1,-1,-1,-1,nasa
Kepler-83,22.045,0.011,898,-1,-1,-1,mcq13
Kepler-570,20.845,0.011,480,-1,-1,-1,mcq13
Kepler-1712,16.367,0.011,247,-1,-1,-1,mcq13
Kepler-66,10.527,0.011,1958,-1,-1,-1,mcq13
Kepler-27,14.741,0.011,841,-1,-1,-1,mcq13
Kepler-1298,11.059,0.011,2632,-1,-1,-1,mcq13
Kepler-484,15.757,0.011,180,-1,-1,-1,mcq13
Kepler-345,13.019,0.012,1977,-1,-1,-1,mcq13
Kepler-322,18.991,0.012,1820,-1,-1,-1,mcq13
Kepler-317,15.151,0.012,1760,-1,-1,-1,mcq13
Kepler-319,13.371,0.012,1805,-1,-1,-1,mcq13
Kepler-1057,13.602,0.013,2019,-1,-1,-1,mcq13
Kepler-960,18.626,0.013,1815,-1,-1,-1,mcq13
Kepler-138,19.394,0.013,314,-1,-1,-1,mcq13
Kepler-1197,18.057,0.013,2339,-1,-1,-1,mcq13
Kepler-962,12.786,0.013,1819,-1,-1,-1,mcq13
Kepler-1027,20.582,0.013,1961,-1,-1,-1,mcq13
Kepler-39,4.464,0.013,423,-1,-1,-1,mcq13
