2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14354720-2652592 ",,,4676.0,0.749,0.75,"DWARF   ",18.112,16.923,14.244,5094
"14353414-2653227 ",,,4895.0,0.865,0.8,"DWARF   ",18.064,16.709,14.5,5095
"14353943-2653286 ",,,5335.0,0.846,0.92,"DWARF   ",14.965,14.205,12.023,5096
"14352536-2653384 ",,,4756.0,1.134,0.76,"DWARF   ",19.568,18.678,15.525,5097
"14353497-2653412 ",,,5209.0,2.521,,"GIANT   ",18.153,17.422,14.906,5098
"14352469-2653444 ",,,5749.0,0.584,1.03,"DWARF   ",17.9,17.19,15.2,5099
"14352710-2653482 ",,,6211.0,1.196,1.2,"DWARF   ",17.991,17.306,15.36,5100
"14355463-2653499 ",,,3435.0,0.364,0.35,"DWARF   ",20.684,19.663,14.665,5101
"14353602-2653534 ",,,6127.0,1.313,1.16,"DWARF   ",16.919,15.817,14.666,5102
"14355089-2653541 ",,,5703.0,0.64,1.02,"DWARF   ",18.124,17.823,15.281,5103
"14355022-2653542 ",,,3497.0,0.902,0.46,"DWARF   ",,20.278,15.293,5104
"14353866-2653554 ",,,,,,"DWARF   ",16.71,16.016,13.865,5105
"14353023-2654014 ",,,4537.0,0.652,0.71,"DWARF   ",18.86,17.516,14.518,5106
"14353799-2654023 ",,,5829.0,,,"DWARF   ",18.296,17.612,15.565,5107
"14353178-2654098 ",,,4892.0,0.71,0.8,"DWARF   ",18.222,17.238,14.629,5108
"14354338-2654160 ",,,4181.0,0.809,0.65,"DWARF   ",18.996,17.809,14.363,5109
"14353884-2654191 ",,,5374.0,0.829,0.93,"DWARF   ",17.742,17.119,15.081,5110
"14354970-2654242 ",,,5087.0,0.83,0.85,"DWARF   ",16.186,15.271,12.937,5111
"14352940-2654301 ",,,4501.0,1.123,0.71,"DWARF   ",19.21,18.233,15.108,5112
"14355415-2654362 ",,,,,,"DWARF   ",15.855,15.123,13.234,5113
"14354628-2654395 ",,,5860.0,0.872,1.06,"DWARF   ",15.184,14.607,12.793,5114
"14355166-2654510 ",,,4996.0,7.161,,"GIANT   ",15.537,14.756,11.986,5116
"14352568-2655007 ",,,3561.0,0.462,0.459,"DWARF   ",19.267,17.726,13.462,5117
"14353775-2655096 ",,,5607.0,0.897,0.99,"DWARF   ",16.262,15.56,13.499,5118
"14353554-2655117 ",,,4839.0,0.528,0.79,"DWARF   ",18.767,17.867,15.076,5119
"14354651-2655178 ",,,4522.0,0.71,0.71,"DWARF   ",18.756,17.984,14.789,5120
"14352989-2655181 ",,,5656.0,1.16,1.0,"DWARF   ",16.467,15.632,13.809,5121
"14355182-2655256 ",,,3831.0,0.841,0.59,"DWARF   ",20.58,19.728,15.679,5122
"14352862-2655351 ",,,3551.0,1.162,0.49,"DWARF   ",,20.478,15.374,5124
"14354219-2655374 ",,,,,,"DWARF   ",,20.241,15.71,5125
"14355531-2655439 ",,,3826.0,,,"DWARF   ",21.101,19.847,15.352,5126
"14353469-2655468 ",,,4014.0,0.92,0.63,"DWARF   ",20.479,18.886,14.915,5127
"14354805-2656002 ",,,4395.0,1.204,0.69,"DWARF   ",19.551,18.697,15.426,5128
"14353225-2656055 ",,,5872.0,1.582,1.06,"DWARF   ",15.568,14.737,13.119,5129
"14353097-2656091 ",,,5257.0,2.349,,"GIANT   ",17.722,16.676,14.667,5130
"14354220-2656213 ",,,5175.0,0.858,0.88,"DWARF   ",17.584,16.47,14.42,5131
"14354117-2656254 ",,,4338.0,,,"DWARF   ",19.206,18.305,14.902,5132
"14352543-2656263 ",,,3677.0,0.708,0.54,"DWARF   ",21.241,20.305,15.595,5133
"14353591-2656265 ",,,4734.0,0.982,0.76,"DWARF   ",17.9,16.631,13.814,5134
"14353839-2656289 ",,,5121.0,1.883,,"GIANT   ",18.61,17.793,15.331,5135
"14353736-2656367 ",,,5763.0,0.73,1.03,"DWARF   ",18.098,17.581,15.78,5136
"14355457-2656477 ",,,4640.0,0.887,0.74,"DWARF   ",18.996,18.014,15.161,5137
"14352563-2656481 ",,,3775.0,0.536,0.533,"DWARF   ",19.473,18.222,14.133,5138
"14355026-2656519 ",,,5857.0,0.644,1.06,"DWARF   ",18.243,17.89,16.007,5139
"14353057-2657054 ",,,5994.0,1.247,1.1,"DWARF   ",17.294,16.463,14.963,5140
"14353093-2657297 ",,,5891.0,1.219,1.07,"DWARF   ",,17.055,14.723,5141
"14355724-2657304 ",,,4668.0,0.791,0.74,"DWARF   ",19.689,18.991,15.347,5142
"14353132-2657338 ",,,5534.0,1.355,0.97,"DWARF   ",16.063,15.459,13.553,5143
"14352728-2657401 ",,,3900.0,0.585,0.576,"DWARF   ",18.609,17.514,13.856,5144
"14355040-2657512 ",,,4454.0,1.042,0.7,"DWARF   ",20.035,18.975,16.348,5145
"14354302-2657514 ",,,5829.0,0.573,1.05,"DWARF   ",17.652,17.048,15.373,5146
"14352911-2657571 ",,,3431.0,0.722,0.42,"DWARF   ",,20.957,16.357,5147
"14354953-2657578 ",,,5595.0,0.975,0.99,"DWARF   ",18.615,18.247,16.126,5148
"14353731-2658018 ",,,6277.0,1.029,1.23,"DWARF   ",15.643,14.918,13.576,5149
"14354807-2658082 ",,,5387.0,2.806,,"GIANT   ",17.551,16.542,14.366,5150
"14352413-2658173 ",,,5003.0,,,"DWARF   ",19.225,18.328,15.479,5151
"14354815-2658390 ",,,,,,"DWARF   ",17.44,16.555,14.3,5152
"14354057-2658420 ",,,5613.0,1.927,0.99,"DWARF   ",16.262,15.341,13.635,5153
"14354439-2658421 ",,,6008.0,0.62,1.11,"DWARF   ",18.072,17.744,16.709,5154
"14352668-2658578 ",,,4449.0,1.312,0.7,"DWARF   ",19.759,18.854,15.547,5155
"14352557-2659000 ",,,5046.0,0.849,0.84,"DWARF   ",18.047,16.685,14.486,5156
"14353685-2659012 ",,,5988.0,1.113,1.1,"DWARF   ",16.531,15.964,14.168,5157
"14353096-2659037 ",,,4624.0,1.026,0.73,"DWARF   ",19.589,18.675,15.693,5158
"14355133-2659170 ",,,3414.0,0.443,0.439,"DWARF   ",20.087,19.14,13.989,5159
"14352647-2659186 ",,,5233.0,0.96,0.89,"DWARF   ",18.735,18.061,15.986,5160
"14355540-2659195 ",,,4277.0,1.418,0.67,"DWARF   ",19.398,18.128,14.608,5161
"14352452-2659279 ",,,3684.0,0.637,0.54,"DWARF   ",20.041,20.304,15.3,5162
"14353081-2659312 ",,,5735.0,0.832,1.02,"DWARF   ",18.016,17.829,15.274,5163
"14354617-2659336 ",,,6080.0,0.936,1.14,"DWARF   ",18.116,17.883,15.558,5164
"14353585-2659351 ",,,5809.0,1.229,1.04,"DWARF   ",17.211,16.299,14.846,5165
"14353823-2659389 ",,,5751.0,1.33,1.03,"DWARF   ",15.409,14.75,12.931,5166
"14353035-2659569 ",,,6031.0,1.137,1.118,"DWARF   ",12.726,12.248,10.63,5167
"14354614-2700099 ",,,,,,"DWARF   ",15.97,15.598,13.971,5168
"14354165-2700108 ",,,5492.0,0.777,0.96,"DWARF   ",15.996,15.238,13.232,5169
"14353990-2700113 ",,,4603.0,0.998,0.73,"DWARF   ",18.324,17.625,14.72,5170
"14355206-2700157 ",,,3334.0,0.433,0.428,"DWARF   ",19.804,18.702,13.703,5171
"14355243-2700300 ",,,3803.0,,,"DWARF   ",,20.0,15.299,5172
"14352916-2700335 ",,,3705.0,0.686,0.653,"DWARF   ",19.398,18.068,14.162,5173
"14353696-2700447 ",,,4624.0,,,"DWARF   ",19.178,18.707,16.383,5174
"14352953-2700526 ",,,3500.0,0.401,0.46,"DWARF   ",20.757,20.618,15.799,5175
