2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14351032-2959174 ",,,5155.0,0.767,0.87,"DWARF   ",,16.91,14.721,1
"14351267-2959110 ",,,3673.0,0.526,0.523,"DWARF   ",19.27,18.281,14.179,2
"14351563-2958222 ",,,5381.0,3.625,,"GIANT   ",16.028,16.121,13.904,3
"14351523-2958205 ",,,5750.0,1.178,1.03,"DWARF   ",15.699,18.004,15.426,4
"14351455-2958087 ",,,4439.0,10.545,,"GIANT   ",14.462,13.089,10.052,5
"14350580-2957560 ",,,3717.0,0.541,0.537,"DWARF   ",19.03,18.245,14.255,7
"14345487-2957556 ",,,5523.0,1.272,0.97,"DWARF   ",18.023,18.24,17.094,8
"14350699-2957541 ",,,4757.0,1.042,0.76,"DWARF   ",17.882,17.383,14.658,9
"14351672-2957482 ",,,5741.0,0.685,1.03,"DWARF   ",17.529,17.588,15.901,10
"14351189-2957463 ",,,5530.0,1.162,0.97,"DWARF   ",15.981,15.286,13.28,11
"14350451-2957452 ",,,4125.0,0.767,0.65,"DWARF   ",19.654,19.087,15.569,12
"14350611-2957350 ",,,4424.0,,,"DWARF   ",19.706,19.198,15.836,13
"14350671-2957217 ",,,4838.0,0.634,0.79,"DWARF   ",18.247,17.324,14.893,14
"14350900-2957103 ",,,3669.0,1.314,,"GIANT   ",20.294,19.574,15.041,15
"14350389-2957027 ",,,5799.0,1.445,1.04,"DWARF   ",16.937,16.348,14.55,16
"14350323-2956160 ",,,,,,"DWARF   ",21.135,20.053,15.509,17
"14351588-2955504 ",,,4340.0,0.564,0.68,"DWARF   ",19.377,18.768,15.562,18
"14350383-2955118 ",,,4234.0,0.642,0.66,"DWARF   ",19.593,19.039,15.743,19
"14350338-2955097 ",,,3922.0,0.635,0.61,"DWARF   ",20.306,19.486,15.58,20
"14351757-2955036 ",,,,,,"DWARF   ",15.689,18.87,13.953,21
"14351401-2954217 ",,,6364.0,1.198,1.27,"DWARF   ",16.772,17.242,15.503,22
"14350729-2953303 ",,,,,,"DWARF   ",17.878,17.954,15.732,23
"14351875-2953158 ",,,5586.0,1.009,0.99,"DWARF   ",16.362,15.686,13.795,24
"14351541-2953129 ",,,4373.0,0.895,0.68,"DWARF   ",19.909,19.122,15.663,25
"14350795-2953125 ",,,5479.0,1.325,0.96,"DWARF   ",17.713,17.666,15.189,26
"14351579-2953042 ",,,5315.0,0.734,0.92,"DWARF   ",17.824,17.383,15.201,27
"14350422-2952511 ",,,3395.0,0.29,0.265,"DWARF   ",20.718,20.285,15.401,28
"14350657-2952311 ",,,3664.0,0.416,0.41,"DWARF   ",19.839,19.651,15.384,29
"14351475-2952267 ",,,4742.0,8.517,,"GIANT   ",15.785,14.619,11.835,30
"14350663-2952252 ",,,5826.0,1.676,1.05,"DWARF   ",17.571,16.99,15.148,31
"14350321-2952202 ",,,5318.0,0.581,0.92,"DWARF   ",18.259,18.158,15.605,32
"14351379-2952157 ",,,5697.0,1.016,1.01,"DWARF   ",16.346,16.234,14.289,33
"14350051-2952141 ",,,,,,,19.66,20.714,15.325,34
"14351145-2952106 ",,,4997.0,6.386,,"GIANT   ",15.966,15.122,12.646,35
"14351073-2952057 ",,,4060.0,0.797,0.64,"DWARF   ",16.029,16.739,13.481,36
"14350718-2952019 ",,,5687.0,0.914,1.01,"DWARF   ",17.888,16.967,14.592,37
"14350459-2952011 ",,,,,,,,20.572,15.545,38
"14350616-2951560 ",,,4626.0,9.27,,"GIANT   ",15.845,14.651,11.778,39
"14350956-2951516 ",,,5486.0,1.601,0.96,"DWARF   ",17.65,17.338,15.244,40
"14350209-2951458 ",,,4476.6,10.729,,"GIANT   ",13.054,11.713,8.766,41
"14345778-2951414 ",,,,,,,17.296,16.648,15.077,42
"14350694-2951370 ",,,3607.0,0.607,0.594,"DWARF   ",19.474,18.611,14.326,43
"14352100-2951216 ",,,3530.0,,,"DWARF   ",,20.6,15.508,44
"14350656-2951199 ",,,5808.0,1.709,1.04,"DWARF   ",16.193,15.927,14.338,45
"14350552-2951182 ",,,3907.0,0.674,0.645,"DWARF   ",17.144,15.879,12.213,46
"14351445-2951176 ",,,5625.0,0.903,1.0,"DWARF   ",17.303,16.467,14.533,47
"14352227-2951039 ",,,5546.0,2.658,0.98,"DWARF   ",,16.923,14.944,48
"14350395-2950592 ",,,5739.0,0.869,1.03,"DWARF   ",15.62,14.999,13.152,49
"14350517-2950509 ",,,3639.0,0.493,0.491,"DWARF   ",19.26,18.34,14.187,50
"14350426-2950474 ",,,5732.0,1.189,1.02,"DWARF   ",17.426,17.324,15.106,51
"14345989-2950423 ",,,4416.0,0.699,0.69,"DWARF   ",18.176,18.008,14.969,52
"14350428-2950341 ",,,5185.0,2.394,,"GIANT   ",16.021,15.054,12.936,53
"14350137-2950311 ",,,3962.0,0.74,0.62,"DWARF   ",20.14,19.521,15.789,54
"14345371-2950286 ",,,5545.0,0.889,0.98,"DWARF   ",16.372,15.696,13.758,55
"14345513-2950170 ",,,5267.0,0.572,0.9,"DWARF   ",18.49,18.168,15.687,57
"14345285-2950077 ",,,5258.0,3.304,,"GIANT   ",17.443,16.535,14.774,58
"14345717-2950036 ",,,5911.0,1.345,1.08,"DWARF   ",17.521,17.302,15.797,60
"14350855-2950016 ",,,5192.0,1.939,0.88,"DWARF   ",17.129,16.422,14.505,61
"14351291-2949572 ",,,4987.0,1.415,0.83,"DWARF   ",17.449,16.945,14.351,62
"14350695-2949529 ",,,,,,"DWARF   ",17.761,19.405,15.064,63
"14351634-2949453 ",,,5775.0,1.086,1.03,"DWARF   ",16.452,15.948,13.91,64
"14345235-2949313 ",,,4773.0,0.674,0.77,"DWARF   ",17.892,17.198,14.817,65
"14352235-2949226 ",,,4435.0,0.602,0.69,"DWARF   ",20.048,19.301,16.578,66
"14350140-2949222 ",,,5156.0,0.738,0.87,"DWARF   ",,16.671,14.509,67
"14350823-2949139 ",,,5646.0,1.14,1.0,"DWARF   ",16.263,15.571,13.779,68
"14352500-2949136 ",,,3843.0,0.479,0.59,"DWARF   ",20.869,19.993,15.923,69
"14351561-2949135 ",,,4820.0,0.594,0.78,"DWARF   ",18.292,17.819,15.097,70
"14350696-2949130 ",,,,,,"GIANT   ",17.719,19.163,14.473,71
"14351972-2949123 ",,,5917.0,1.073,1.08,"DWARF   ",15.572,15.102,13.217,72
"14351482-2949093 ",,,4296.0,1.103,0.67,"DWARF   ",18.135,17.182,13.986,73
"14345285-2949093 ",,,4764.0,8.488,,"GIANT   ",16.058,15.047,12.308,74
"14352046-2949084 ",,,4591.0,0.837,0.73,"DWARF   ",17.727,17.131,14.214,75
"14350741-2949060 ",,,4557.0,0.825,0.72,"DWARF   ",19.116,18.495,15.682,76
"14345477-2949043 ",,,5270.0,2.588,,"GIANT   ",,16.608,14.598,77
"14351246-2948452 ",,,5094.0,0.89,0.85,"DWARF   ",17.863,17.823,15.659,78
"14350665-2948393 ",,,5932.0,0.925,1.08,"DWARF   ",17.297,17.281,15.319,79
"14345882-2948351 ",,,4989.0,0.831,0.83,"DWARF   ",18.044,17.672,15.269,80
"14350043-2948282 ",,,5755.0,1.071,1.03,"DWARF   ",17.407,17.189,15.324,81
"14351976-2948158 ",,,3919.0,0.69,0.657,"DWARF   ",19.356,18.56,14.936,82
"14350865-2948120 ",,,3660.0,0.397,0.53,"DWARF   ",21.027,20.04,15.424,83
"14351109-2948116 ",,,5685.0,1.032,1.01,"DWARF   ",17.536,17.29,15.725,84
"14351233-2948091 ",,,5375.0,1.001,0.93,"DWARF   ",17.418,16.201,14.316,85
"14351351-2948079 ",,,5766.0,1.174,1.03,"DWARF   ",15.169,14.452,13.745,86
"14350163-2948073 ",,,5117.0,1.409,0.86,"DWARF   ",18.584,17.939,15.635,87
"14350350-2948043 ",,,5714.0,0.931,1.02,"DWARF   ",17.402,17.374,15.542,88
"14351339-2948036 ",,,5656.0,1.859,1.0,"DWARF   ",15.12,14.539,12.669,89
"14350430-2948030 ",,,7147.0,1.031,1.59,"DWARF   ",17.215,17.349,17.054,90
"14345336-2948001 ",,,5035.0,3.419,,"GIANT   ",14.408,13.464,11.046,91
"14351587-2947554 ",,,,,,"DWARF   ",20.04,19.801,15.819,92
"14345544-2947525 ",,,5547.0,1.256,0.98,"DWARF   ",17.436,17.202,15.479,93
"14350152-2947481 ",,,5923.0,1.426,1.08,"DWARF   ",17.07,17.046,15.301,94
"14350092-2947469 ",,,4930.0,1.909,,"GIANT   ",16.364,15.49,13.126,95
"14350439-2947247 ",,,,,,"GIANT   ",15.796,18.761,13.977,96
"14351983-2947217 ",,,4976.0,0.707,0.82,"DWARF   ",18.244,17.902,15.292,97
"14345560-2947125 ",,,3662.0,0.613,0.53,"DWARF   ",,20.555,15.822,98
"14351125-2947122 ",,,5675.0,1.141,1.01,"DWARF   ",17.484,16.81,14.848,99
"14345509-2947105 ",,,5542.0,1.248,0.98,"DWARF   ",15.48,14.797,12.756,100
"14350083-2947101 ",,,6138.8,1.081,1.16,"DWARF   ",12.448,12.123,10.391,101
"14350990-2947045 ",,,5424.0,0.6,0.94,"DWARF   ",17.526,17.567,15.357,102
"14345687-2947042 ",,,5804.0,1.436,1.04,"DWARF   ",15.593,14.966,13.181,103
"14345476-2947015 ",,,,,,,17.958,16.795,12.89,104
"14352002-2947009 ",,,5258.0,2.619,,"GIANT   ",17.234,16.763,14.277,105
"14350017-2946522 ",,,4551.0,0.863,0.72,"DWARF   ",19.077,18.767,15.308,106
"14350153-2946520 ",,,5595.0,1.213,0.99,"DWARF   ",16.786,16.577,14.918,107
"14352015-2946369 ",,,,,,,19.349,19.438,15.03,108
"14352190-2946356 ",,,6553.0,0.99,1.36,"DWARF   ",17.248,17.392,15.766,109
"14345732-2946314 ",,,5846.0,1.006,1.06,"DWARF   ",17.799,17.625,16.366,110
"14351297-2946048 ",,,5835.0,1.003,1.05,"DWARF   ",15.017,14.365,12.633,111
"14351217-2946042 ",,,3930.0,0.432,0.61,"DWARF   ",20.895,19.758,15.541,112
"14352117-2945565 ",,,3386.0,0.422,0.416,"DWARF   ",21.087,20.095,14.993,113
"14350267-2945501 ",,,6282.0,2.101,1.23,"DWARF   ",13.868,13.42,11.883,114
"14350772-2945119 ",,,5931.0,1.452,1.08,"DWARF   ",17.468,17.039,15.218,116
"14345347-2945088 ",,,5497.0,0.95,0.96,"DWARF   ",16.987,16.244,14.259,117
"14351675-2945056 ",,,5244.0,0.716,0.9,"DWARF   ",17.505,17.126,14.863,118
"14350262-2945031 ",,,4051.0,0.604,0.63,"DWARF   ",18.777,19.274,15.66,119
"14350243-2945005 ",,,4066.0,0.482,0.64,"DWARF   ",19.177,19.433,15.579,120
"14351010-2944536 ",,,3711.0,,,"DWARF   ",21.147,20.061,15.193,121
"14350986-2944445 ",,,5463.0,0.806,0.95,"DWARF   ",15.982,15.552,13.18,122
"14352204-2944362 ",,,4814.0,0.779,0.78,"DWARF   ",18.698,18.083,15.587,123
"14351766-2944281 ",,,5435.0,1.098,0.95,"DWARF   ",18.295,18.144,16.501,124
"14345613-2944251 ",,,5626.0,1.682,1.0,"DWARF   ",15.4,14.805,12.836,127
"14351427-2944249 ",,,5057.0,0.726,0.84,"DWARF   ",17.822,17.462,15.158,128
"14351290-2944239 ",,,3780.0,0.634,0.615,"DWARF   ",17.997,16.501,12.6,129
"14350635-2944188 ",,,4083.0,0.621,0.64,"DWARF   ",19.843,19.243,15.749,130
"14345968-2943478 ",,,4810.0,1.234,0.78,"DWARF   ",18.867,18.589,16.281,131
"14351656-2943317 ",,,4935.0,1.047,0.81,"DWARF   ",17.777,17.661,15.129,132
"14352353-2943253 ",,,5583.0,1.152,0.99,"DWARF   ",17.332,17.023,15.137,133
"14345792-2943119 ",,,5395.0,0.988,0.94,"DWARF   ",17.575,17.362,15.23,134
"14345858-2943009 ",,,5603.0,1.934,0.99,"DWARF   ",16.586,16.032,14.035,135
"14350562-2943003 ",,,5261.0,0.969,0.9,"DWARF   ",18.443,18.427,15.945,136
"14345254-2942479 ",,,4924.0,3.547,,"GIANT   ",13.808,12.831,10.278,138
"14350951-2942337 ",,,3934.0,0.608,0.594,"DWARF   ",18.823,18.17,14.563,139
"14351449-2942216 ",,,3510.0,0.491,0.489,"DWARF   ",19.557,18.298,13.863,140
"14350469-2942160 ",,,5885.0,1.349,1.07,"DWARF   ",17.84,17.666,15.89,141
"14345982-2942091 ",,,4687.0,0.673,0.75,"DWARF   ",18.629,18.326,15.741,142
"14345817-2942087 ",,,3944.0,1.103,0.61,"DWARF   ",20.197,19.436,15.264,143
"14351892-2941530 ",,,5637.0,0.891,1.0,"DWARF   ",16.727,16.216,14.116,144
"14350144-2941513 ",,,3629.0,0.507,0.505,"DWARF   ",14.862,18.464,14.291,145
"14351252-2941500 ",,,,,,"DWARF   ",17.158,15.771,12.495,146
"14350110-2941495 ",,,6029.0,1.164,1.12,"DWARF   ",15.778,15.239,13.558,147
"14345457-2941474 ",,,5685.0,1.041,1.01,"DWARF   ",17.616,17.395,15.343,148
"14345680-2941450 ",,,5240.0,1.516,0.89,"DWARF   ",17.858,17.666,15.345,149
"14351254-2941354 ",,,6178.0,1.999,1.18,"DWARF   ",13.878,13.382,11.727,150
"14350438-2941249 ",,,5301.0,1.012,0.91,"DWARF   ",17.608,17.195,15.014,151
"14350249-2941191 ",,,,,,"GIANT   ",16.662,15.689,13.793,152
"14350006-2941162 ",,,5592.0,1.132,0.99,"DWARF   ",17.388,16.425,14.62,153
"14350256-2941006 ",,,4165.0,1.065,0.65,"DWARF   ",19.909,19.321,15.629,154
"14350319-2940583 ",,,5154.0,1.13,0.87,"DWARF   ",17.562,16.883,14.638,155
"14350349-2940491 ",,,5210.0,1.011,0.89,"DWARF   ",18.357,18.229,16.034,156
"14350056-2940466 ",,,5448.0,1.883,0.95,"DWARF   ",17.132,16.304,14.383,157
"14351851-2940403 ",,,4534.0,1.094,0.71,"DWARF   ",18.147,19.088,15.384,158
"14350435-2940402 ",,,6155.0,1.142,1.17,"DWARF   ",12.931,12.418,10.863,159
"14345750-2940117 ",,,3989.0,0.986,0.62,"DWARF   ",19.998,19.172,15.801,161
"14345200-2940088 ",,,4984.0,0.875,0.82,"DWARF   ",18.363,16.672,14.702,162
"14351790-2940007 ",,,5848.0,1.159,1.06,"DWARF   ",17.232,16.86,15.034,163
"14350433-2939547 ",,,5613.0,0.928,0.99,"DWARF   ",14.28,13.639,11.676,164
"14351452-2939395 ",,,5004.0,0.582,0.83,"DWARF   ",17.757,17.268,14.788,165
"14350407-2939347 ",,,4966.0,0.982,0.82,"DWARF   ",18.678,18.082,15.315,166
"14351637-2939299 ",,,4963.0,1.121,0.82,"DWARF   ",,16.868,14.282,167
"14351764-2939239 ",,,4832.0,0.552,0.78,"DWARF   ",18.622,17.868,15.408,168
"14345997-2939226 ",,,5304.0,0.844,0.91,"DWARF   ",18.093,17.745,15.474,169
"14352186-2939178 ",,,5882.0,0.797,1.07,"DWARF   ",15.337,14.693,12.886,170
"14350569-2939072 ",,,4809.0,0.653,0.78,"DWARF   ",18.901,18.554,15.587,171
"14351498-2939066 ",,,5852.0,0.953,1.06,"DWARF   ",17.233,16.179,14.816,172
"14350930-2939067 ",,,5169.0,,,"DWARF   ",18.975,18.596,16.171,173
"14352307-2939041 ",,,,,,"DWARF   ",19.629,19.271,14.941,174
"14350175-2938561 ",,,5232.0,0.972,0.89,"DWARF   ",18.637,18.563,15.623,175
"14345820-2938560 ",,,5374.0,0.856,0.93,"DWARF   ",17.964,17.737,15.233,176
"14351870-2938449 ",,,5981.0,0.995,1.1,"DWARF   ",17.26,16.823,14.979,177
"14350566-2938305 ",,,5335.0,0.829,0.92,"DWARF   ",15.301,14.611,12.42,178
"14352130-2938277 ",,,4155.0,0.887,0.65,"DWARF   ",19.088,18.44,14.951,179
"14350518-2938189 ",,,4131.0,0.728,0.65,"DWARF   ",18.505,17.325,13.921,180
"14351000-2937574 ",,,4914.0,3.572,,"GIANT   ",16.257,15.21,12.718,181
"14352124-2937572 ",,,5563.0,0.87,0.98,"DWARF   ",16.009,15.322,13.256,182
"14351957-2937450 ",,,4735.0,0.917,0.76,"DWARF   ",18.697,18.241,15.504,184
"14345833-2937446 ",,,5559.8,1.127,0.98,"DWARF   ",12.98,12.34,10.556,185
"14345528-2937438 ",,,4309.0,0.907,0.67,"DWARF   ",18.353,17.314,14.126,186
"14350307-2937364 ",,,4907.0,0.821,0.8,"DWARF   ",17.86,17.285,14.972,187
"14351357-2937339 ",,,4748.0,0.886,0.76,"DWARF   ",18.677,18.367,15.447,188
"14352061-2937309 ",,,4196.0,0.701,0.66,"DWARF   ",18.983,18.381,15.167,189
"14350631-2937109 ",,,5845.0,1.477,1.05,"DWARF   ",17.108,16.493,14.467,190
"14345374-2937104 ",,,5977.0,0.791,1.1,"DWARF   ",18.047,17.74,15.502,191
"14345778-2937070 ",,,5733.0,0.897,1.02,"DWARF   ",17.777,16.645,15.15,192
"14350966-2937060 ",,,5717.0,1.249,1.02,"DWARF   ",17.46,17.031,15.059,193
"14350428-2936506 ",,,3886.0,0.745,0.6,"DWARF   ",20.63,19.737,15.571,194
"14350953-2936500 ",,,3620.0,0.587,0.52,"DWARF   ",21.656,20.513,15.772,195
"14345257-2936479 ",,,5494.0,2.515,0.96,"DWARF   ",15.058,14.32,12.295,196
"14352093-2936446 ",,,4136.0,0.658,0.65,"DWARF   ",18.701,18.083,14.667,197
"14345969-2936384 ",,,5966.0,1.486,1.09,"DWARF   ",15.822,15.434,13.592,198
"14351055-2936378 ",,,4913.0,0.873,0.81,"DWARF   ",16.385,15.371,12.918,199
"14345952-2936341 ",,,5032.0,1.382,0.84,"DWARF   ",14.7,17.204,14.808,200
"14350755-2936332 ",,,5622.0,1.28,1.0,"DWARF   ",17.873,16.774,14.772,201
"14350589-2936288 ",,,3465.0,0.422,0.44,"DWARF   ",,20.667,15.312,202
"14350012-2936277 ",,,4493.0,0.832,0.71,"DWARF   ",18.268,17.529,14.46,203
"14350407-2936112 ",,,3689.0,0.72,0.54,"DWARF   ",20.104,19.315,14.845,204
"14345849-2936063 ",,,4625.0,0.798,0.73,"DWARF   ",16.988,15.924,13.108,205
"14352325-2936051 ",,,5166.0,3.15,,"GIANT   ",17.431,16.274,14.033,206
"14345176-2936015 ",,,5040.0,0.796,0.84,"DWARF   ",18.163,17.939,15.262,208
"14350489-2935599 ",,,5559.0,0.995,0.98,"DWARF   ",15.696,15.087,12.969,209
"14350216-2935448 ",,,5679.0,1.252,1.01,"DWARF   ",17.888,17.984,16.231,210
"14350078-2935428 ",,,3754.0,0.749,0.57,"DWARF   ",20.467,19.648,15.403,211
"14350615-2935389 ",,,5666.0,1.918,1.01,"DWARF   ",17.628,17.468,15.657,212
"14350232-2935306 ",,,5400.0,0.8,0.94,"DWARF   ",16.456,15.654,13.554,213
"14351742-2935055 ",,,5110.0,2.889,,"GIANT   ",16.826,15.988,13.557,215
"14352012-2935040 ",,,3661.0,0.542,0.538,"DWARF   ",20.287,19.352,15.033,216
"14345255-2935032 ",,,5164.0,1.072,0.87,"DWARF   ",17.708,17.309,15.27,217
"14345485-2935022 ",,,5900.0,1.204,1.07,"DWARF   ",14.668,14.113,12.302,218
"14352543-2934526 ",,,3886.0,0.798,0.6,"DWARF   ",20.411,19.594,15.577,219
"14351917-2934500 ",,,5318.0,2.168,0.92,"DWARF   ",15.876,15.061,12.862,220
"14350497-2934429 ",,,3609.0,0.484,0.51,"DWARF   ",20.952,20.104,15.146,221
"14345276-2934336 ",,,5294.0,1.501,0.91,"DWARF   ",17.601,17.139,14.807,222
"14351114-2934283 ",,,5613.0,0.805,0.99,"DWARF   ",16.727,16.177,13.944,223
"14345983-2934252 ",,,5823.0,1.14,1.05,"DWARF   ",17.214,16.515,14.776,224
"14351211-2934145 ",,,5508.0,0.696,0.97,"DWARF   ",17.146,16.413,14.447,225
"14351888-2934066 ",,,5967.0,2.146,1.09,"DWARF   ",17.194,16.445,15.272,226
"14350712-2933544 ",,,,,,"GIANT   ",17.414,16.321,14.078,227
"14351265-2933474 ",,,4006.0,0.99,0.63,"DWARF   ",20.202,19.188,15.353,228
"14350639-2933454 ",,,3489.0,0.612,0.45,"DWARF   ",20.393,20.849,15.503,229
"14350600-2933453 ",,,5126.0,1.551,0.86,"DWARF   ",17.993,17.596,15.138,230
"14345349-2933342 ",,,3980.0,0.688,0.62,"DWARF   ",20.346,19.405,15.324,231
"14350863-2933231 ",,,3604.0,1.082,0.51,"DWARF   ",20.961,20.329,15.349,232
"14350424-2933166 ",,,3445.0,0.505,0.503,"DWARF   ",18.192,16.283,12.053,233
"14351206-2933082 ",,,4628.0,0.916,0.73,"DWARF   ",18.499,17.844,15.144,234
"14350802-2933021 ",,,5537.0,0.942,0.97,"DWARF   ",17.717,17.699,15.773,235
"14345288-2933003 ",,,6006.0,1.754,1.11,"DWARF   ",17.131,16.431,14.788,236
"14345361-2932566 ",,,6281.0,0.801,1.23,"DWARF   ",17.826,17.659,16.403,237
"14351929-2932492 ",,,3797.0,0.514,0.58,"DWARF   ",20.8,19.898,15.29,238
"14345414-2932412 ",,,5006.0,2.648,,"GIANT   ",14.537,13.71,11.205,239
"14350224-2932361 ",,,4492.0,1.04,0.71,"DWARF   ",19.24,18.615,15.232,240
"14345428-2932343 ",,,5089.0,2.053,,"GIANT   ",,16.867,14.318,241
"14345639-2932317 ",,,5841.0,1.621,1.05,"DWARF   ",13.94,13.299,11.56,242
"14351694-2932285 ",,,3946.0,0.479,0.61,"DWARF   ",20.714,19.888,15.852,243
"14345944-2932266 ",,,4454.0,0.551,0.7,"DWARF   ",18.025,18.797,15.558,244
"14345774-2932246 ",,,5505.0,1.185,0.97,"DWARF   ",17.645,17.414,15.629,245
"14351981-2932227 ",,,3969.0,1.062,0.62,"DWARF   ",19.985,19.021,15.104,246
"14351614-2932192 ",,,5814.0,2.197,1.05,"DWARF   ",17.227,16.491,14.62,247
"14351210-2932191 ",,,5059.0,0.782,0.84,"DWARF   ",17.543,16.948,14.751,248
"14351237-2932068 ",,,5826.0,1.44,1.05,"DWARF   ",14.991,14.419,12.542,249
"14352380-2932035 ",,,6033.0,1.128,1.12,"DWARF   ",17.532,17.183,15.211,250
"14351641-2931592 ",,,3555.0,0.548,0.544,"DWARF   ",19.084,18.138,13.832,251
"14350974-2931571 ",,,5787.0,0.839,1.04,"DWARF   ",16.711,16.024,14.347,252
"14345683-2931568 ",,,5288.0,1.316,0.91,"DWARF   ",18.086,17.444,15.416,253
"14350248-2931527 ",,,5081.0,0.956,0.85,"DWARF   ",16.774,15.78,13.632,254
"14350754-2931427 ",,,3799.0,1.521,,"GIANT   ",20.445,19.603,15.121,255
"14351680-2931352 ",,,5209.0,2.226,,"GIANT   ",16.595,15.601,13.586,256
"14351257-2931209 ",,,5356.0,0.894,0.93,"DWARF   ",17.194,16.746,14.859,257
"14345272-2931143 ",,,3862.0,0.928,0.6,"DWARF   ",20.034,19.146,15.042,258
"14351187-2931095 ",,,,,,"DWARF   ",21.789,21.359,15.678,259
"14352217-2930590 ",,,3563.0,0.872,0.49,"DWARF   ",,20.707,15.483,260
"14345197-2930566 ",,,5444.0,0.905,0.95,"DWARF   ",17.762,17.513,15.336,261
"14345963-2930531 ",,,4572.0,0.756,0.72,"DWARF   ",17.662,16.729,14.032,262
"14345698-2930503 ",,,4500.0,0.578,0.71,"DWARF   ",18.466,17.755,14.99,263
"14345609-2930444 ",,,4538.0,0.714,0.71,"DWARF   ",17.626,17.588,14.968,264
"14345365-2930422 ",,,4520.0,0.869,0.71,"DWARF   ",19.002,18.593,15.189,265
"14345656-2930414 ",,,5954.0,1.827,1.09,"DWARF   ",16.92,16.142,14.647,266
"14350444-2930141 ",,,5266.0,,,"DWARF   ",18.772,18.553,15.88,267
"14351588-2930131 ",,,5685.0,1.384,1.01,"DWARF   ",17.946,17.02,15.63,268
"14351520-2930073 ",,,3556.0,0.499,0.49,"DWARF   ",21.147,20.182,15.092,269
"14350848-2930034 ",,,5843.0,,,"DWARF   ",17.81,17.596,15.679,270
"14352239-2929567 ",,,4636.0,0.884,0.74,"DWARF   ",18.308,17.7,14.974,271
"14345738-2929515 ",,,5757.0,0.936,1.03,"DWARF   ",17.472,17.034,15.469,272
"14352220-2929439 ",,,5359.0,2.836,,"GIANT   ",18.114,17.52,15.52,273
"14350967-2929415 ",,,4145.0,0.631,0.65,"DWARF   ",19.402,18.595,15.162,274
"14350146-2929377 ",,,3769.0,0.518,0.516,"DWARF   ",19.747,18.648,14.742,275
"14351649-2929352 ",,,5224.0,0.663,0.89,"DWARF   ",17.356,17.207,14.791,276
"14351690-2929342 ",,,5026.0,0.731,0.84,"DWARF   ",17.887,18.037,15.457,277
"14350326-2929337 ",,,5030.0,0.717,0.84,"DWARF   ",17.39,16.374,14.111,278
"14352069-2929250 ",,,3891.0,0.484,0.482,"DWARF   ",18.869,18.009,14.476,279
"14350342-2929055 ",,,4658.0,0.772,0.74,"DWARF   ",17.716,16.102,13.81,281
"14345565-2928587 ",,,5743.0,1.241,1.03,"DWARF   ",15.524,14.947,13.04,282
"14351198-2928530 ",,,5824.0,1.442,1.05,"DWARF   ",15.906,15.397,13.525,283
"14352240-2928441 ",,,5422.0,0.659,0.94,"DWARF   ",17.898,17.801,15.937,285
"14345626-2928408 ",,,4724.0,0.766,0.76,"DWARF   ",17.591,16.508,13.68,286
"14345266-2928356 ",,,3995.0,0.96,0.62,"DWARF   ",20.207,19.433,17.037,287
"14352171-2928344 ",,,4415.0,0.798,0.69,"DWARF   ",18.774,18.036,14.944,288
"14351358-2928219 ",,,4733.0,0.928,0.76,"DWARF   ",17.872,17.265,14.792,289
"14345913-2928209 ",,,4015.0,1.043,0.63,"DWARF   ",20.395,19.409,16.432,290
"14351122-2928118 ",,,3722.0,0.598,0.587,"DWARF   ",18.853,17.813,13.771,291
"14351397-2927327 ",,,,,,,21.02,20.354,15.436,292
"14352167-2927267 ",,,5832.0,1.904,1.05,"DWARF   ",16.904,16.266,14.409,293
"14351576-2927213 ",,,4015.0,0.871,0.63,"DWARF   ",19.808,19.049,15.606,294
"14345768-2927107 ",,,5601.0,0.946,0.99,"DWARF   ",17.109,16.294,14.645,295
"14345438-2926599 ",,,5311.0,2.59,,"GIANT   ",17.487,17.102,14.819,296
"14352288-2926554 ",,,3495.0,,,"DWARF   ",,20.659,15.627,297
"14351734-2926529 ",,,5317.0,0.881,0.92,"DWARF   ",16.002,15.094,13.117,298
"14352051-2926418 ",,,5058.0,3.34,,"GIANT   ",17.099,16.244,13.735,299
"14351168-2926370 ",,,4533.0,0.773,0.71,"DWARF   ",17.561,16.353,13.736,300
"14345817-2926331 ",,,3919.0,0.675,0.61,"DWARF   ",20.245,19.292,15.088,301
"14351717-2926248 ",,,4867.0,3.115,,"GIANT   ",15.374,14.351,11.816,302
"14351225-2926194 ",,,5273.0,1.925,0.9,"DWARF   ",18.016,17.541,15.198,303
"14351285-2926176 ",,,3882.0,0.648,0.625,"DWARF   ",19.371,18.571,14.804,304
"14351446-2926076 ",,,,,,,18.65,18.362,15.606,305
"14350362-2926022 ",,,,,,"GIANT   ",13.566,19.404,14.376,306
"14345647-2926016 ",,,5857.0,1.672,1.06,"DWARF   ",16.639,16.244,14.18,307
"14345963-2926011 ",,,4374.0,0.615,0.68,"DWARF   ",17.241,16.285,13.056,308
"14350463-2925547 ",,,3767.0,0.528,0.57,"DWARF   ",20.477,19.72,15.013,309
"14352050-2925487 ",,,5893.0,1.012,1.07,"DWARF   ",17.072,16.378,14.808,310
"14350641-2925234 ",,,4576.0,0.736,0.72,"DWARF   ",18.883,18.381,15.437,311
"14351732-2925201 ",,,4582.0,0.658,0.72,"DWARF   ",18.521,18.028,15.475,312
